country,cases,recovered,deaths,critical,tests
World,13028182,7575523,571080,58925,0
China,83594,78634,4634,3,90410000
USA,3413995,1517084,137782,15822,42469607
Brazil,1866176,1213512,72151,8318,4572796
India,879466,554429,23187,8944,11587153
Russia,727162,501061,11335,2300,23031056
Peru,326326,217111,11870,1315,1925231
Chile,315041,283902,6979,1995,1292798
Spain,300988,0,28403,617,5734599
Mexico,295268,180852,34730,378,723668
UK,289603,0,44819,185,11990257
South Africa,276242,134874,4079,539,2154391
Iran,257303,219993,12829,3359,1972207
Pakistan,248872,156700,5197,2118,1562638
Italy,243061,194928,34954,68,5938811
Saudi Arabia,232259,167138,2223,2245,2270719
Turkey,212993,194515,5363,1209,3975455
Germany,199950,184600,9134,278,6376054
Bangladesh,183795,93614,2352,1,943524
France,170752,78388,30004,496,1384633
Colombia,150445,63451,5307,875,1031230
Canada,107590,71467,8783,2158,3212879
Qatar,103598,99743,147,140,412682
Argentina,100166,42694,1845,735,466308
Egypt,82070,24419,3858,41,135000
Iraq,77506,44724,3150,400,671478
Indonesia,75699,35638,3606,0,1061367
Sweden,74898,0,5526,85,600019
Ecuador,67870,30283,5047,308,182523
Belarus,64932,55380,464,89,1134653
Belgium,62606,17196,9782,32,1361830
Kazakhstan,58253,33814,375,221,1694586
Oman,56015,36098,257,143,238614
Kuwait,54894,44610,390,151,433336
UAE,54854,45140,333,1,3816000
Philippines,54222,14037,1372,333,959684
Ukraine,53521,26118,1383,89,796680
Netherlands,51022,0,6137,20,681931
Bolivia,47200,14333,1754,71,105257
Portugal,46512,30907,1660,64,1316425
Singapore,45961,42285,26,1,866414
Panama,45633,23039,909,160,164927
Dominican Republic,44532,21459,897,226,189391
Israel,38670,19008,362,151,1221430
Poland,37891,27148,1571,65,1779643
Afghanistan,34451,21216,1010,31,79732
Bahrain,32941,28425,108,47,666248
Switzerland,32883,29600,1968,17,683873
Nigeria,32558,13447,740,7,181248
Romania,32535,21545,1884,243,847586
Armenia,31969,19633,565,10,134989
Guatemala,29355,4214,1219,5,64590
Honduras,27583,2901,771,58,49308
Ireland,25628,23364,1746,9,500578
Ghana,24518,20187,139,8,328383
Azerbaijan,24041,15093,306,66,568234
Japan,21502,18003,982,32,558622
Moldova,19382,12667,642,373,101180
Algeria,19195,13743,1011,50,0
Austria,18897,16952,708,10,696740
Serbia,18360,13876,393,144,491428
Nepal,16801,8589,38,0,595917
Morocco,15745,12283,250,19,878626
Cameroon,15173,11928,359,52,120837
South Korea,13417,12178,289,15,1402144
Czech Republic,13174,8247,352,12,597096
Uzbekistan,12997,7852,60,43,1377915
Denmark,12946,12077,609,4,1206863
Cote d'Ivoire,12766,6654,84,0,76250
Kyrgyzstan,10629,3387,132,24,249996
Sudan,10250,5341,650,0,401
Kenya,10105,2881,185,44,215037
Australia,9796,7727,108,17,3053860
El Salvador,9674,5634,260,319,192206
Venezuela,9465,2671,89,23,1386563
Norway,8981,8138,252,2,372389
Malaysia,8718,8519,122,3,847510
Senegal,8135,5446,148,32,90627
