country,cases,recovered,deaths,critical,tests
World,4178154,1490444,283734,47040,0
China,82901,78120,4633,13,0
USA,1367638,256336,80787,16514,9444525
Spain,264663,176439,26621,1650,2467761
UK,219183,0,31855,1559,1821280
Italy,219070,105186,30560,1027,2565912
Russia,209688,34306,1915,2300,5448463
France,176970,56217,26380,2776,1384633
Germany,171879,144400,7569,1581,2755770
Brazil,162699,64957,11123,8318,339552
Turkey,138657,92691,3786,1154,1370598
Iran,107603,86143,6640,2675,586699
Canada,68848,32096,4870,502,1135984
Peru,67307,21349,1889,774,504930
India,67161,20969,2212,0,1609037
Belgium,53081,13642,8656,476,566101
Netherlands,42627,0,5440,507,254573
Saudi Arabia,39048,11457,246,143,449644
Mexico,33460,21824,3353,378,128148
Pakistan,30334,8063,659,111,283517
Switzerland,30305,26600,1833,101,309595
Ecuador,29559,3433,2127,181,84287
Chile,28866,13112,312,544,280684
Portugal,27581,2549,1135,112,517660
Sweden,26322,4971,3225,360,148500
Singapore,23336,2721,20,23,175604
Ireland,22996,17110,1458,72,214761
Belarus,22973,6406,131,92,263543
Qatar,22520,2753,14,72,127769
UAE,18198,4804,198,1,1200000
Israel,16477,11430,252,74,455267
Poland,15996,5698,800,160,476904
Austria,15871,13991,618,72,316508
Japan,15777,8127,624,287,214256
Romania,15362,7051,961,242,256749
Ukraine,15232,3060,391,201,176403
Bangladesh,14657,2650,228,1,122657
Indonesia,14032,2698,973,0,158273
Colombia,11063,2705,463,130,144912
South Korea,10874,9610,256,55,663886
Philippines,10794,1924,719,31,163177
Denmark,10429,8217,529,40,317834
Dominican Republic,10347,2763,388,134,42615
Serbia,10114,3006,215,43,140592
South Africa,10015,4173,194,77,341336
Egypt,9400,2075,525,41,90000
Kuwait,8688,2729,58,114,196397
Panama,8282,4501,237,85,40356
Czech Republic,8123,4474,280,40,302493
Norway,8105,32,219,22,195921
Australia,6941,6163,97,17,827872
Malaysia,6656,5025,108,18,256937
Morocco,6063,2554,188,1,65924
Argentina,6034,1757,305,148,83018
Finland,5962,4000,267,45,121500
Algeria,5723,2678,502,22,6500
Kazakhstan,5090,1941,31,31,398411
Bahrain,4941,2070,8,2,184029
Moldova,4927,1958,169,237,20447
Afghanistan,4402,558,120,7,15560
Nigeria,4399,778,143,4,23835
Ghana,4263,378,22,5,155201
Luxembourg,3886,3586,101,14,55250
Oman,3399,1117,17,17,50000
Armenia,3313,1325,45,10,31590
Hungary,3263,933,413,50,108257
Thailand,3009,2794,56,61,227860
Iraq,2767,1734,109,0,127153
Greece,2716,1374,151,30,98897
Cameroon,2579,1465,114,28,0
Azerbaijan,2519,1650,32,33,193411
Bolivia,2437,258,114,3,7651
Uzbekistan,2418,1881,10,8,325000
Croatia,2187,1764,90,13,44886
Guinea,2146,714,11,0,0
Bosnia and Herzegovina,2117,1106,107,4,41282
Bulgaria,1965,444,91,58,57231
Honduras,1830,195,108,10,5653
Iceland,1801,1773,10,0,54195
Cuba,1766,1193,77,5,67335
Estonia,1739,750,60,5,63372
Senegal,1709,650,19,6,18969
Cote d'Ivoire,1700,794,21,0,13663
North Macedonia,1642,1136,91,21,18821
New Zealand,1494,1371,21,2,190326
Lithuania,1479,828,50,17,183913
Slovenia,1457,256,102,10,62828
Slovakia,1457,941,26,5,119859
Sudan,1365,149,70,0,0
Djibouti,1210,847,3,0,15304
Somalia,1054,118,51,2,0
Hong Kong,1048,982,4,1,168291
Tunisia,1032,660,45,19,29297
Mayotte,1023,492,11,9,4000
Kyrgyzstan,1002,675,12,13,59490
Congo,991,136,41,0,0
Guatemala,967,104,24,5,7200
Latvia,939,464,18,2,76592
Cyprus,898,401,16,10,76139
El Salvador,889,293,17,4,41090
Albania,868,650,31,7,10438
Sri Lanka,856,321,9,1,35323
Lebanon,845,234,26,4,51182
Maldives,835,29,3,2,11775
Niger,821,624,46,0,5562
Costa Rica,792,501,6,6,17170
Andorra,755,550,48,14,1673
Burkina Faso,751,577,49,0,0
Guinea-Bissau,726,26,3,0,1500
Paraguay,713,165,10,0,15446
Diamond Princess,712,651,13,4,0
Uruguay,707,517,19,8,28024
Mali,704,351,38,0,2172
Kenya,672,239,32,1,31041
Gabon,661,110,8,1,724
Georgia,635,309,10,6,29736
San Marino,628,126,41,3,2956
Tajikistan,612,0,20,0,0
Channel Islands,545,447,41,0,5342
Jordan,540,389,9,5,111285
Tanzania,509,183,21,7,0
Jamaica,498,78,9,0,6889
Malta,496,433,5,0,40493
Taiwan,440,366,6,0,67133
Equatorial Guinea,439,13,4,0,854
Reunion,436,354,0,5,17200
Venezuela,414,193,10,2,512181
Palestine,375,263,2,0,34511
Mauritius,332,320,10,3,69773
Isle of Man,330,271,23,21,3773
Montenegro,324,290,9,2,7816
Chad,322,53,31,0,0
Benin,319,62,2,0,19474
Sierra Leone,307,67,18,0,0
Vietnam,288,241,0,8,261004
Rwanda,284,140,0,0,42425
Congo,274,33,10,0,0
Zambia,267,117,7,1,10270
Cabo Verde,246,56,2,0,791
Ethiopia,239,99,5,1,34860
Sao Tome and Principe,208,4,5,0,175
Liberia,199,79,20,0,0
Madagascar,193,101,0,1,3968
Faeroe Islands,187,187,0,0,8450
Martinique,186,83,14,3,0
Haiti,182,17,15,0,1296
Myanmar,180,72,6,0,11222
Togo,174,89,11,0,10377
Eswatini,172,27,2,0,714
Guadeloupe,154,104,13,4,0
Gibraltar,146,143,0,0,4099
French Guiana,144,122,1,0,0
CAR,143,10,0,0,3498
Brunei,141,134,1,2,15898
Cambodia,122,120,0,1,13448
Uganda,121,55,0,0,58606
South Sudan,120,2,0,0,1247
Bermuda,118,64,7,4,4020
Trinidad and Tobago,116,107,8,0,2307
Nepal,110,31,0,0,72239
Guyana,104,35,10,6,914
Aruba,101,89,3,4,1874
Monaco,96,82,4,1,0
Bahamas,92,37,11,1,1500
Mozambique,91,34,0,0,3923
Barbados,84,57,7,4,2990
Liechtenstein,82,55,1,0,900
Cayman Islands,81,41,1,3,3423
Sint Maarten,76,46,15,7,329
Libya,64,24,3,0,3093
French Polynesia,60,56,0,1,2950
Malawi,56,14,3,1,1188
Yemen,51,1,8,0,120
Syria,47,29,3,0,0
Macao,45,40,0,1,0
Angola,43,13,2,0,3000
Mongolia,42,14,0,0,9600
Saint Martin,39,30,3,1,0
Eritrea,39,37,0,0,0
Zimbabwe,36,9,4,0,20537
Antigua and Barbuda,25,19,3,1,183
Timor-Leste,24,21,0,0,738
Botswana,23,12,1,0,9540
Grenada,21,13,0,4,1406
Gambia,20,9,1,0,849
Laos,19,13,0,0,3187
Belize,18,16,2,0,1043
Fiji,18,14,0,0,1300
New Caledonia,18,18,0,0,5213
Saint Lucia,18,17,0,0,620
St. Vincent Grenadines,17,9,0,0,137
Nicaragua,16,7,5,0,0
Curaçao,16,14,1,0,389
Dominica,16,15,0,0,420
Namibia,16,11,0,0,1543
Burundi,15,7,1,0,284
Saint Kitts and Nevis,15,14,0,0,327
Falkland Islands,13,13,0,0,402
Turks and Caicos,12,8,1,0,109
Vatican City,12,2,0,0,0
Comoros,11,0,1,0,0
Montserrat,11,8,1,1,36
Greenland,11,11,0,0,1394
Seychelles,11,10,0,0,0
Suriname,10,9,1,0,404
MS Zaandam,9,0,2,0,0
Mauritania,8,6,1,0,1842
Papua New Guinea,8,8,0,0,2402
British Virgin Islands,7,4,1,0,167
Bhutan,7,5,0,0,11655
Caribbean Netherlands,6,0,0,0,110
St. Barth,6,6,0,0,0
Western Sahara,6,5,0,0,0
Anguilla,3,3,0,0,0
Saint Pierre Miquelon,1,0,0,0,0
Total:,668733,371674,22189,4995,0
Total:,1496765,320723,89987,17680,0
Total:,1628576,658498,152740,13992,0
Total:,310070,108625,16384,10114,0
Total:,64750,22643,2301,235,0
Total:,8539,7630,118,20,0
Total:,721,651,15,4,0
Total:,4178154,1490444,283734,47040,0
