country,cases,recovered,deaths,critical,tests
World,92006020,65840266,1969166,110092,0
China,87591,82260,4634,18,160000000
USA,23379883,13816238,389830,29222,275604865
India,10495816,10128457,151564,8944,182652887
Brazil,8195637,7273707,204726,8318,28600000
Russia,3448203,2825430,62804,2300,94289973
UK,3164051,1406967,83203,3363,61160735
France,2806590,204390,68802,2688,38441562
Turkey,2346285,2218464,23152,2701,26555992
Italy,2303262,1653404,79819,2636,28124690
Spain,2137220,0,52683,2651,28775103
Germany,1957567,1570000,43203,5230,35118592
Colombia,1816082,1646892,46782,3482,8769587
Argentina,1744704,1527861,44848,3619,5314594
Mexico,1541633,1160373,134368,3913,3879629
Poland,1395852,1138126,31593,1637,7718916
Iran,1299022,1088465,56360,4507,8262166
South Africa,1259748,1019123,34334,546,7287060
Ukraine,1124430,812368,20019,177,5733555
Peru,1040231,971000,38399,1517,5697183
Netherlands,883135,0,12563,695,6352647
Indonesia,846765,695807,24645,0,7991379
Czech Republic,844886,707958,13620,1099,5114219
Romania,676968,605045,16881,1073,5048928
Canada,674473,576447,17233,843,14714036
Belgium,665223,46417,20122,378,7315972
Chile,649135,608804,17182,951,6981084
Iraq,604549,560583,12911,130,4932392
Bangladesh,524020,468681,7819,0,3385779
Sweden,512203,0,9804,345,4717676
Israel,510063,430161,3770,1063,9046902
Pakistan,506701,461977,10717,2340,7162626
Portugal,496552,378084,8080,599,6077195
Philippines,491247,458126,9553,727,7096319
Switzerland,487357,317600,8470,364,3900061
Morocco,453789,427351,7784,626,5085166
Austria,383833,357562,6819,378,3936835
Saudi Arabia,364096,355857,6300,310,11437165
Serbia,363924,31536,3639,189,2424147
Hungary,344352,209852,10853,356,2860814
Jordan,309846,292104,4076,185,3463184
Japan,292212,225396,4094,881,5442315
Panama,285093,223635,4561,223,1460912
Nepal,265698,259358,1932,0,1992855
Georgia,241637,227208,2820,0,2013142
UAE,236225,210561,717,0,22695403
Lebanon,226948,144857,1705,618,2255553
Azerbaijan,225346,210798,2941,0,2279907
Ecuador,222567,193581,14196,440,781748
Croatia,220982,211633,4446,185,1087992
Belarus,215724,197851,1535,0,4144027
Slovakia,211479,153755,3102,493,1552630
Bulgaria,209881,140548,8279,367,1239980
Dominican Republic,184788,139867,2427,322,919721
Denmark,183801,158743,1623,135,11474108
Costa Rica,181093,139297,2367,247,535554
Bolivia,175288,138809,9415,71,454291
Tunisia,164936,120999,5343,359,704961
Kazakhstan,163711,149843,2349,221,5250104
Armenia,162643,150602,2941,0,611815
Lithuania,161348,95627,2280,177,1751038
Ireland,155591,23364,2397,160,2663724
Kuwait,155335,149575,946,47,1347854
Egypt,151723,119635,8304,90,1000000
Moldova,150138,139427,3176,220,581082
Palestine,148968,133599,1630,95,939826
Qatar,146279,142938,246,26,1296060
Greece,146020,9989,5329,337,3654883
Guatemala,144982,131974,5080,5,678803
Slovenia,141587,114330,3053,192,723607
Malaysia,141533,110584,559,190,3690390
Myanmar,131737,115061,2878,0,2037930
Oman,130944,123187,1508,23,571472
Ethiopia,128992,114262,2004,221,1859648
Honduras,128701,59301,3285,192,333360
Paraguay,117590,93258,2437,182,592028
Venezuela,117299,111175,1078,91,2450838
Bosnia and Herzegovina,116200,82822,4373,0,548818
Libya,106030,82229,1622,0,581915
Algeria,102641,69608,2816,42,0
Nigeria,102601,81574,1373,10,1033858
Kenya,98432,81255,1716,32,1097647
Bahrain,96195,92920,356,20,2486420
North Macedonia,87117,68364,2647,138,421153
Kyrgyzstan,82495,78181,1374,50,616755
Uzbekistan,77663,76134,617,158,1377915
South Korea,69651,53569,1165,390,4814085
Albania,64627,38421,1252,39,292707
Singapore,58946,58694,29,1,5837181
Norway,56615,46611,482,34,3064639
Ghana,56421,54753,338,46,697087
Afghanistan,53690,44608,2308,672,217752
Montenegro,53338,42995,730,68,199980
Latvia,50777,36260,882,73,981910
El Salvador,49539,43810,1437,105,650658
Sri Lanka,49537,42621,244,0,1401970
Luxembourg,48181,44848,538,24,1758293
Finland,39011,31000,602,30,2591810
Uganda,37948,13018,303,0,789755
Estonia,34136,23811,292,41,684214
Zambia,29757,21074,495,234,718848
Namibia,28871,24938,264,32,231809
Australia,28633,25839,909,1,12126938
Cyprus,27897,2057,157,58,871140
Uruguay,27846,20099,269,103,714493
Cameroon,27336,24892,451,46,149000
Cote d'Ivoire,24186,22740,140,0,283759
Sudan,23316,13524,1468,0,0
Zimbabwe,23239,13396,551,0,227383
Mozambique,22996,18170,201,0,293201
Senegal,21685,18502,480,32,290212
Congo,19707,14766,625,0,0
Angola,18343,15512,422,17,174111
Madagascar,18001,17447,267,16,102830
French Polynesia,17403,4842,124,19,26355
Botswana,16768,13310,59,1,573333
Mauritania,15707,13835,392,57,132738
Cuba,15494,12252,155,25,1620169
Malta,14769,12016,234,18,550267
French Guiana,14370,9995,74,4,111787
Maldives,14218,13402,49,54,348464
Guinea,14025,13255,81,24,112043
Jamaica,13760,11526,315,6,147640
Tajikistan,13308,13215,90,0,0
Syria,12558,6185,790,0,0
Cabo Verde,12506,11815,115,23,107817
Eswatini,11919,7898,319,67,103050
Belize,11366,10502,277,2,63446
Thailand,10834,6732,67,1,1217873
Haiti,10415,8840,238,0,43211
Rwanda,9950,6974,125,0,771275
Gabon,9740,9549,66,6,394166
Reunion,9359,8830,42,4,71252
Hong Kong,9344,8524,160,40,5845073
Malawi,9027,5838,235,4,97429
Guadeloupe,8776,2242,154,3,105991
Andorra,8682,7930,86,15,180088
Burkina Faso,8463,6028,92,0,0
Bahamas,8004,6331,175,11,55277
Mali,7687,5354,303,0,136739
Trinidad and Tobago,7286,6883,128,3,76763
Suriname,7178,6398,138,11,30550
Congo,7160,5846,112,0,73120
Guyana,6653,6047,170,3,42132
Mayotte,6232,2964,56,4,39759
Martinique,6184,98,43,4,79166
Aruba,6154,5511,52,4,73633
Nicaragua,6152,4225,167,0,0
Lesotho,5937,1572,85,0,41012
Iceland,5912,5734,29,0,454568
Djibouti,5879,5801,61,0,103260
Equatorial Guinea,5296,5154,86,0,79425
CAR,4973,4885,63,2,35523
Somalia,4726,3639,130,0,0
Curaçao,4469,4023,19,4,40295
Togo,4045,3656,73,0,189056
Niger,3969,2507,135,3,67052
Gambia,3876,3678,125,1,31058
South Sudan,3670,3181,63,1,80036
Benin,3363,3222,46,0,400805
Gibraltar,3324,2213,17,110,135664
Channel Islands,3310,2948,75,10,287870
Sierra Leone,2864,2006,77,0,0
San Marino,2706,2333,65,10,29247
Chad,2668,2016,108,0,0
Guinea-Bissau,2478,2400,45,5,39578
Liechtenstein,2355,2196,49,13,21443
New Zealand,2222,2120,25,0,1441163
Yemen,2107,1416,612,23,17404
Liberia,1876,1697,84,2,59172
Eritrea,1596,934,6,0,23693
Sint Maarten,1589,1460,27,3,11535
Vietnam,1520,1361,35,0,1431631
Mongolia,1456,909,2,14,770542
Comoros,1166,889,21,0,0
Monaco,1092,900,7,9,51953
Sao Tome and Principe,1090,990,17,0,7498
Saint Martin,1025,855,12,7,12433
Burundi,1019,773,2,0,90019
Turks and Caicos,1011,819,6,2,12477
Barbados,968,408,7,1,84879
Taiwan,838,730,7,0,133005
Bhutan,831,481,1,0,336947
Papua New Guinea,823,755,9,0,39761
Diamond Princess,712,699,13,0,0
Bermuda,656,554,12,7,150982
Faeroe Islands,646,618,1,1,211803
Seychelles,601,314,1,0,5200
Mauritius,546,516,10,0,289552
Tanzania,509,183,21,7,0
Saint Lucia,490,310,5,0,21259
Isle of Man,406,351,25,0,24101
Cambodia,392,374,0,0,355903
Cayman Islands,362,316,2,1,62435
St. Vincent Grenadines,253,106,0,0,23174
Caribbean Netherlands,249,181,3,0,4453
St. Barth,206,172,1,0,8518
Antigua and Barbuda,176,152,5,1,7046
Brunei,174,153,3,0,85871
Grenada,132,123,1,0,6781
British Virgin Islands,114,95,1,0,13223
Dominica,109,101,0,0,8114
Fiji,53,47,2,0,21925
Timor-Leste,49,44,0,0,17789
Macao,46,46,0,0,4238
Laos,41,40,0,0,96568
New Caledonia,40,40,0,0,19408
Saint Kitts and Nevis,34,31,0,0,6091
Falkland Islands,29,27,0,0,5689
Greenland,29,28,0,0,16170
Vatican City,27,15,0,0,0
Solomon Islands,17,10,0,0,4500
Saint Pierre Miquelon,16,15,0,0,3246
Anguilla,15,13,0,0,6449
Montserrat,13,12,1,0,626
Western Sahara,10,8,1,0,0
MS Zaandam,9,7,2,0,0
Marshall Islands,4,4,0,0,0
Wallis and Futuna,4,1,0,0,1149
Samoa,2,2,0,0,0
Micronesia,1,0,0,0,0
Vanuatu,1,1,0,0,0
Total:,21639007,20096905,350833,24507,0
Total:,26675692,16369126,562394,35156,0
Total:,14134609,12607653,379714,18792,0
Total:,26385390,14181930,600583,29057,0
Total:,3121398,2550285,74558,2560,0
Total:,49203,33661,1069,20,0
Total:,721,706,15,0,0
Total:,92006020,65840266,1969166,110092,0
