country,cases,recovered,deaths,critical,tests
World,207948802,186404788,4374324,106699,0
China,94379,87821,4636,64,160000000
USA,37466718,30153576,637561,20044,555433475
India,32225175,31403959,431674,8944,493624440
Brazil,20364099,19218630,569218,8318,56023684
Russia,6600836,5884316,170499,2300,171600000
France,6471035,5886632,112656,1807,111773788
UK,6267437,4824915,130953,882,255418374
Turkey,6078653,5605004,53159,633,71803889
Argentina,5084635,4746994,109041,3574,20754639
Colombia,4867761,4690855,123459,8155,23419020
Spain,4693540,3888717,82470,1922,58466967
Italy,4440669,4183709,128432,384,80606903
Iran,4425821,3728940,97828,7323,27177565
Indonesia,3854354,3351959,117588,0,29368871
Germany,3828263,3679500,92373,516,67658074
Mexico,3091971,2419614,248167,4798,9082292
Poland,2885333,2655313,75299,45,19181429
South Africa,2605586,2375633,77141,546,15595731
Ukraine,2265912,2196827,53255,177,11667597
Peru,2133812,0,197393,1561,16129668
Netherlands,1901900,1759493,17909,199,16254958
Iraq,1775764,1596050,19672,996,13746332
Philippines,1741236,1608134,30339,2723,17634702
Czech Republic,1676220,1643595,30374,16,34522411
Chile,1629192,1585156,36380,996,19473194
Canada,1451969,1408243,26701,212,39330648
Bangladesh,1418902,1292698,24175,1456,8408521
Malaysia,1404899,1145128,12510,1059,20362627
Belgium,1149869,1071747,25287,132,17901281
Japan,1126710,955251,15400,1563,19792469
Sweden,1110147,1079668,14621,31,11448153
Pakistan,1098410,986795,24406,4792,16848371
Romania,1087223,1049893,34348,112,10958031
Portugal,1003335,940406,17562,157,16112555
Israel,940805,884799,6668,525,17622306
Thailand,907157,688662,7552,5615,8129670
Hungary,810316,765952,30038,14,6423992
Jordan,783448,761540,10213,697,8813260
Morocco,759456,667230,11017,1411,8343836
Switzerland,735375,695341,10922,75,9329040
Nepal,732272,682682,10292,0,3757572
Serbia,732044,713480,7167,27,4819797
UAE,701776,679760,2001,0,69844594
Kazakhstan,687259,566613,7554,221,11575012
Austria,668732,649417,10756,55,71577449
Tunisia,623940,564271,21827,630,2395859
Lebanon,583012,541455,7976,54,4759054
Saudi Arabia,538525,523050,8412,1356,26407885
Greece,537125,487856,13191,241,14113110
Cuba,517668,473116,4023,475,7158719
Ecuador,493767,443880,31870,759,1719064
Bolivia,482131,421378,18178,200,2181571
Georgia,481578,421532,6406,0,7385391
Belarus,461303,455521,3604,0,7542035
Paraguay,456695,432592,15439,226,1732679
Panama,447824,430318,6951,133,3519764
Bulgaria,433234,400156,18344,141,3873835
Costa Rica,428295,350100,5211,380,1866579
Guatemala,413040,359364,11155,5,2018075
Kuwait,406540,397247,2389,205,3599098
Slovakia,393529,380160,12544,8,3237612
Uruguay,383292,375858,6003,23,3207026
Azerbaijan,368002,338925,5153,0,4210440
Croatia,367022,356836,8283,21,2405704
Sri Lanka,354968,309732,6096,0,4575585
Myanmar,354279,271228,13263,0,3346965
Dominican Republic,346176,336243,3980,152,1896388
Denmark,330777,315363,2560,15,78596461
Ireland,324747,276895,5059,48,4729538
Palestine,320411,313264,3624,17,2051737
Venezuela,319094,305397,3799,681,3359014
Honduras,316235,104096,8373,670,921448
Oman,300194,288389,3993,116,1550000
Lithuania,289806,273002,4451,67,4225929
Ethiopia,289274,265371,4478,388,3114870
Egypt,285358,234114,16619,90,3068679
Libya,281930,205476,3904,0,1417500
Vietnam,275044,102504,5774,0,13629949
