country,cases,recovered,deaths,critical,tests
World,141287252,120029752,3023315,106891,0
China,90483,85538,4636,4,160000000
USA,32361280,24909770,580751,9824,428132055
India,14782461,12805094,177168,8944,264972022
Brazil,13900134,12344861,371889,8318,28600000
France,5260182,4081203,100593,5877,71808202
Russia,4693469,4319389,105193,2300,125100000
UK,4385938,4145810,127260,332,140944028
Turkey,4212645,3643734,35608,3240,43467516
Italy,3857437,3235459,116676,3340,54864328
Spain,3407283,3129234,76981,2180,44285495
Germany,3137907,2765100,80526,4740,52737238
Argentina,2677747,2343808,59164,3977,10090767
Poland,2675872,2285221,61825,3372,13503602
Colombia,2636076,2457888,67931,4299,13774899
Mexico,2299939,1823732,211693,4798,6378763
Iran,2215445,1772688,66327,4694,14277782
Ukraine,1936228,1475556,39536,177,8915393
Peru,1697626,1619680,56797,2616,10374315
Czech Republic,1600347,1495596,28413,971,15507408
Indonesia,1599763,1450192,43328,0,13797813
South Africa,1565680,1489457,53711,546,10305641
Netherlands,1395328,1162739,16904,795,11292587
Chile,1117348,1045807,25055,3277,12206029
Canada,1113907,1003553,23591,1089,29803243
Romania,1027039,936515,26072,1505,7883209
Iraq,970987,849718,14948,505,8767925
Belgium,943213,794506,23681,930,11907015
Philippines,926035,706477,15810,750,11103200
Sweden,900138,724648,13788,391,7847033
Israel,836882,827964,6331,202,13929118
Portugal,830560,788274,16942,103,9690372
Pakistan,750158,654956,16094,4149,11072531
Hungary,746802,450791,24979,1093,5096421
Bangladesh,715252,608815,10283,0,5150663
Jordan,683466,631944,8178,729,6459718
Serbia,660299,584098,5954,228,3673249
Switzerland,632399,568416,10505,222,6538153
Austria,591347,552619,9870,548,28615969
Japan,525218,478378,9584,702,10833896
Lebanon,508503,423848,6886,774,3814173
Morocco,505447,491537,8944,235,6157491
UAE,495224,478063,1550,0,41563833
Saudi Arabia,404054,387795,6810,1018,16123732
Bulgaria,385963,305237,15138,797,2357428
Slovakia,375336,255300,11043,450,2486691
Malaysia,372859,352395,1370,225,8540200
Panama,360597,350347,6187,105,2292939
Ecuador,358157,298604,17641,618,1225383
Belarus,342923,333373,2413,0,5647213
Greece,313444,267947,9397,824,7443639
Croatia,306225,283418,6523,182,1693080
Azerbaijan,298522,262480,4107,0,3096740
Georgia,294540,280132,3925,0,3856967
Bolivia,287360,236455,12625,71,1037899
Kazakhstan,284173,244517,3364,221,9464077
Tunisia,283976,234012,9717,462,1223338
Nepal,283658,275038,3075,0,2340417
Palestine,279753,245295,2983,172,1670034
Dominican Republic,260627,218306,3414,154,1367138
Kuwait,255860,239027,1440,250,2213624
Paraguay,248364,203982,5251,499,1013989
Moldova,245494,230090,5548,272,932952
Ireland,243238,223965,4835,49,4271454
Denmark,241731,230638,2452,40,31634853
Ethiopia,240236,178705,3328,1027,2494258
Lithuania,232905,211306,3754,172,2591368
Slovenia,231593,215272,4153,151,1127521
Costa Rica,228577,196974,3071,236,895974
Egypt,215484,162714,12694,90,2677262
Guatemala,212307,190388,7190,5,1161896
Armenia,207973,187256,3859,0,931583
Honduras,199682,76235,4934,576,555870
Qatar,195757,173257,376,469,1834731
Bosnia and Herzegovina,188994,145863,7788,0,862452
Venezuela,181903,164530,1888,274,3359014
Oman,176668,156845,1821,267,1550000
Libya,171131,156344,2882,0,926632
Nigeria,164207,154325,2061,11,1838174
Bahrain,163113,151286,588,91,3887079
Uruguay,162400,129336,1848,523,1620817
Kenya,151287,101362,2463,264,1599668
North Macedonia,146733,122121,4419,124,688876
Myanmar,142619,131889,3206,0,2558235
Albania,129456,101142,2340,18,600930
Algeria,119486,83286,3152,16,230861
Estonia,117011,101471,1082,53,1224645
South Korea,113444,103594,1794,108,8377779
Latvia,110997,101944,2048,94,2117688
Norway,107144,88952,708,51,4967185
Sri Lanka,96439,92832,617,0,2374627
Montenegro,95377,90608,1427,69,359610
Cuba,92474,87061,512,64,3341813
Ghana,91663,89530,771,9,1043734
Kyrgyzstan,91639,86773,1546,25,926793
Zambia,90844,88555,1234,58,1341506
Uzbekistan,86338,83838,636,23,1377915
Finland,84131,46000,887,34,4264615
Mozambique,69134,61207,798,68,503001
El Salvador,67404,63685,2072,63,886223
Cameroon,64809,57821,939,385,1257949
Luxembourg,64746,60627,785,30,2548684
Singapore,60808,60463,30,2,9036706
Afghanistan,57793,52116,2540,1124,381098
Cyprus,55407,39061,288,65,4280069
Namibia,46515,44437,602,29,370004
Cote d'Ivoire,45519,45064,274,0,557294
Botswana,44075,39493,671,1,969789
Jamaica,43684,19599,721,32,313384
Uganda,41340,40898,338,24,983862
Thailand,40585,28750,99,1,8124896
Senegal,39731,38441,1090,16,462560
Zimbabwe,37699,35005,1552,12,401364
Malawi,33934,31739,1138,15,226695
Sudan,31790,25539,2208,0,232965
Madagascar,31617,25471,538,294,164826
Malta,29927,28910,409,0,844016
Australia,29494,26423,910,0,16329169
Congo,28894,25841,745,0,144524
Maldives,26145,23482,69,53,683386
Angola,24300,22576,561,20,445121
Rwanda,23866,22082,322,6,1253747
Gabon,21858,18507,133,20,687026
Guinea,21460,18882,138,24,419860
Syria,21004,14721,1437,0,103566
Mongolia,20655,11450,41,88,2529624
Cabo Verde,20254,17964,190,23,141125
Mayotte,19757,2964,168,6,165683
French Polynesia,18696,4842,141,1,26355
Reunion,18425,16794,135,54,100098
Eswatini,18415,17682,671,3,178172
Mauritania,18121,17473,452,14,220359
French Guiana,18081,9995,95,13,200985
Tajikistan,13308,13218,90,0,0
Burkina Faso,13114,12750,154,0,176583
Mali,12980,7385,429,0,245703
Haiti,12918,11791,251,0,60085
Somalia,12837,5346,656,0,102486
Andorra,12771,12159,123,29,193595
Guadeloupe,12717,2242,176,13,164128
Belize,12538,12143,318,1,109796
Togo,12496,10163,119,0,299315
Curaçao,11837,9011,88,22,89140
Guyana,11762,10161,268,13,107093
Hong Kong,11654,11258,209,4,11193673
Lesotho,10709,5028,315,0,71629
South Sudan,10452,10215,114,0,142254
Djibouti,10412,8990,114,0,143650
Aruba,10305,9725,92,14,140062
Congo,10084,8208,139,0,92500
Martinique,9890,98,64,24,140946
Bahamas,9634,8984,194,3,81855
Suriname,9545,8805,187,13,47316
Papua New Guinea,9515,846,84,0,70260
Trinidad and Tobago,8806,7908,150,8,119953
Benin,7611,6728,95,35,575088
Equatorial Guinea,7259,6885,106,11,116266
