country,cases,recovered,deaths,critical,tests
World,2248863,571573,154145,56963,0
China,82692,77994,4632,85,0
USA,709735,60510,37154,13509,3572257
Spain,190839,74797,20002,7371,930230
Italy,172434,42727,22745,2812,1244108
France,147969,34420,18681,6027,463662
Germany,141397,83114,4352,5013,1728357
UK,108692,0,14576,1559,438991
Iran,79494,54064,4958,3563,319879
Turkey,78546,8631,1769,1845,558413
Belgium,36138,7961,5163,1140,139387
Brazil,33682,14026,2141,6634,62985
Russia,32008,2590,273,8,1718019
Canada,31927,10543,1310,557,507701
Netherlands,30449,250,3459,1279,154911
Switzerland,27078,16400,1327,386,206400
Portugal,19022,519,657,222,221049
Austria,14595,9704,431,227,169272
India,14352,2041,486,0,335123
Ireland,13980,77,530,156,90646
Peru,13489,6541,300,137,127513
Sweden,13216,550,1400,482,74600
Israel,12982,3126,151,168,187250
South Korea,10635,7829,230,55,546463
Japan,9787,935,190,193,100703
Chile,9252,3621,116,384,103873
Ecuador,8450,838,421,168,27868
Poland,8379,866,332,160,179654
Romania,8067,1508,411,258,85805
Saudi Arabia,7142,1049,87,74,150000
Denmark,7073,3389,336,93,87024
Pakistan,7025,1765,135,46,84704
Norway,6937,32,161,63,136236
Czech Republic,6549,1174,173,82,154307
Australia,6533,3821,65,60,391530
UAE,6302,1188,37,1,767000
Mexico,6297,2125,486,207,40091
Indonesia,5923,607,520,0,37134
Philippines,5878,487,387,1,48171
Serbia,5690,534,110,120,32566
Malaysia,5251,2967,86,51,96695
Singapore,5050,708,11,22,94796
Belarus,4779,342,42,65,86813
Qatar,4663,464,7,37,58328
Ukraine,4662,246,125,45,47096
Dominican Republic,4126,268,200,146,13282
Panama,4016,98,109,99,17850
Finland,3489,1700,82,73,52500
Luxembourg,3480,579,72,29,32394
Colombia,3439,634,153,98,52085
Egypt,2844,646,205,0,25000
South Africa,2783,903,50,7,100827
Thailand,2700,1689,47,61,100498
Argentina,2669,666,123,126,28650
Morocco,2564,281,135,1,12952
Algeria,2418,846,364,60,3359
Moldova,2264,276,56,80,9848
Greece,2224,269,108,71,50771
Bangladesh,1838,58,75,1,19193
Croatia,1814,600,36,30,20953
Hungary,1763,207,156,63,41590
Iceland,1754,1224,9,6,39536
Bahrain,1740,725,7,3,79564
Kuwait,1658,258,5,32,0
Kazakhstan,1546,347,17,22,85735
Iraq,1482,906,81,0,51737
Estonia,1459,145,38,11,37594
New Zealand,1409,816,11,2,74401
Uzbekistan,1405,156,4,8,136000
Azerbaijan,1340,528,15,26,86607
Slovenia,1304,174,66,28,39330
Bosnia and Herzegovina,1214,320,46,4,15751
Armenia,1201,402,19,30,10793
Lithuania,1149,210,33,14,53101
North Macedonia,1117,139,49,15,10859
Oman,1069,176,6,3,0
Slovakia,1049,175,9,5,37732
Hong Kong,1022,533,4,9,131786
Cameroon,996,164,22,0,0
Cuba,923,192,31,17,23317
Afghanistan,906,99,30,0,0
Tunisia,864,43,37,89,14640
Bulgaria,846,141,41,37,18502
Cyprus,750,77,12,8,29075
Djibouti,732,76,2,0,7486
Diamond Princess,712,644,13,7,0
Andorra,696,191,35,17,1673
Cote d'Ivoire,688,193,6,0,0
