country,cases,recovered,deaths,critical,tests
World,80257970,56474756,1757249,105790,0
China,86913,81959,4634,6,160000000
USA,19273243,11265016,338513,28643,243268253
India,10169818,9739382,147379,8944,166305762
Brazil,7448560,6459335,190515,8318,28600000
Russia,2992706,2398254,53659,2300,88094380
France,2547771,189445,62427,2625,33086957
UK,2221312,0,70195,1529,52257588
Turkey,2118255,1970803,19371,4702,23426941
Italy,2028354,1377109,71359,2584,25904694
Spain,1869610,0,49824,1907,25991493
Germany,1632737,1206100,29968,5354,33708381
Colombia,1574707,1430709,41690,2578,7802635
Argentina,1574554,1384277,42422,3390,4646871
Mexico,1362564,1015256,121172,3913,3483572
Poland,1248909,984683,26992,1603,6976460
Iran,1189203,933736,54440,5345,7303238
Ukraine,1012167,646772,17581,177,5348820
Peru,1005546,941668,37368,1141,5446927
South Africa,983359,830251,26276,546,6378007
Netherlands,744057,0,10924,600,5514008
Indonesia,700097,570304,20847,0,6987576
Czech Republic,664906,565610,10911,618,3600093
Belgium,634904,43749,19038,514,6748910
Romania,612373,530308,15023,1233,4706490
Chile,595831,565002,16358,678,6261315
Iraq,589943,528872,12755,192,4334173
Canada,535213,444065,14719,715,13343345
Bangladesh,507265,448803,7398,0,3149348
Philippines,467599,430789,9062,708,6631160
Pakistan,467222,418958,9753,2382,6482889
Switzerland,428197,311500,7159,428,3476677
Morocco,428193,391920,7170,828,4369571
Sweden,396048,0,8279,302,3989420
Israel,394391,357867,3186,527,7465561
Portugal,391782,315126,6478,504,5323341
Saudi Arabia,361903,352815,6168,376,10822229
Austria,349055,318154,5783,409,3729944
Serbia,320167,31536,2931,300,2218185
Hungary,314164,123989,8833,489,2597804
Jordan,285306,256312,3711,282,3057169
Nepal,257200,248292,1816,0,1900392
Panama,226660,181749,3756,188,1232494
Georgia,218724,196220,2313,0,1876048
Azerbaijan,211764,160245,2416,0,2129291
Japan,209980,177793,3105,644,4613939
Ecuador,208828,181618,13984,355,734766
Croatia,203962,186553,3548,280,989014
UAE,199665,175865,653,0,20029666
Bulgaria,196915,108866,7073,512,1124847
Belarus,183006,161832,1367,0,3883776
Lebanon,168069,118947,1367,421,1884026
Slovakia,165608,115663,1732,373,1375946
Dominican Republic,165035,127106,2404,242,850082
Costa Rica,162990,128842,2086,228,475338
Armenia,156763,137815,2733,0,578776
Bolivia,153121,129387,9076,71,398398
Kazakhstan,150198,136365,2196,221,5170746
Denmark,149333,105425,1134,98,10093817
Kuwait,149277,145130,926,39,1239132
Qatar,142734,140542,244,23,1215910
Moldova,140250,125212,2871,261,542901
Guatemala,135080,123345,4757,5,623321
Greece,134852,9989,4507,470,3264307
Palestine,130598,106718,1260,118,849345
Egypt,130126,108985,7309,90,1000000
Tunisia,128578,98426,4385,311,575405
Oman,128290,120441,1491,36,571472
Lithuania,126581,60946,1205,193,1570101
Ethiopia,121880,107599,1897,225,1769613
Myanmar,120546,100940,2552,0,1703287
Honduras,118421,55433,3060,121,300566
Slovenia,113819,91261,2507,201,652091
Venezuela,111603,105804,1010,51,2402756
Bosnia and Herzegovina,108891,74667,3901,0,499883
Paraguay,103888,75509,2154,179,544368
Malaysia,101565,82540,449,108,3223216
Libya,97653,68289,1415,0,527741
Algeria,97441,65144,2716,42,0
Kenya,95713,76811,1653,37,1029748
Bahrain,91304,89152,351,13,2309696
Ireland,84098,23364,2194,25,2270523
Nigeria,82747,70248,1246,10,912114
North Macedonia,80896,58182,2401,138,390377
Kyrgyzstan,80025,74177,1340,78,576347
Uzbekistan,76568,73911,612,169,1377915
Singapore,58509,58352,29,0,5236487
Albania,55380,30790,1134,39,245236
South Korea,54770,38048,773,311,3939357
Ghana,54221,52777,333,13,646687
Afghanistan,51764,40665,2148,93,191135
