country,cases,recovered,deaths,critical,tests
World,137249443,110428973,2958241,103910,0
China,90426,85495,4636,3,160000000
USA,31990143,24560856,576298,9321,420822699
India,13686073,12250440,171089,8944,257806986
Brazil,13521409,11957068,355031,8318,28600000
France,5067216,310934,99135,5916,70140847
Russia,4649710,4272165,103263,2300,123900000
UK,4373343,3981812,127100,406,136821861
Turkey,3903573,3372629,34182,2891,41892922
Italy,3779594,3140565,114612,3593,53245501
Spain,3370256,3111026,76525,2163,44285495
Germany,3021064,2683900,79110,4662,51559277
Poland,2586647,2197782,58481,3483,13062929
Colombia,2552937,2395733,66156,3079,13367485
Argentina,2551999,2247124,57957,3819,9655684
Mexico,2280213,1809921,209338,4798,6273107
Iran,2093452,1720084,64764,4440,13770167
Ukraine,1861105,1416215,37301,177,8677716
Peru,1653320,1575242,55230,2073,10026470
Czech Republic,1581184,1466296,27918,1157,14397254
Indonesia,1571824,1419796,42656,0,13433306
South Africa,1559113,1484356,53356,546,10154978
Netherlands,1357340,0,16791,789,11292587
Chile,1082920,1012904,24483,3203,11971224
Canada,1071016,972525,23356,928,29142269
Romania,1008490,910298,25248,1529,7700501
Iraq,932899,820532,14757,451,8552580
Belgium,925476,59754,23473,899,11704200
Philippines,876225,703625,15149,751,10814501
Sweden,857401,0,13621,376,7847033
Israel,836158,826494,6304,250,13778191
Portugal,827765,785063,16918,119,9530238
Pakistan,725602,634835,15501,4201,10779474
Hungary,725241,429074,23708,1249,4961146
Bangladesh,691957,581113,9822,0,5037833
Jordan,669300,604044,7855,729,6348440
Serbia,645173,560934,5773,254,3601063
Switzerland,623126,560294,10466,193,6412371
Austria,578950,538609,9706,611,26848583
Japan,506286,465916,9400,563,10454733
Morocco,502277,488632,8909,240,6106431
Lebanon,497854,406095,6703,827,3719848
UAE,485675,470175,1533,0,40403698
Saudi Arabia,399277,384027,6765,950,15857235
Bulgaria,375115,289356,14619,776,2287726
Slovakia,371168,255300,10630,507,2441472
Malaysia,362173,345005,1333,188,8240262
Panama,358792,348554,6167,105,2243777
Ecuador,347070,290314,17298,593,1195370
Belarus,336881,327087,2363,0,5563117
Greece,297086,254804,8961,781,7109471
Croatia,292938,274761,6333,191,1642311
Georgia,288755,277829,3883,0,3685088
Azerbaijan,287144,251760,3944,0,3026132
Bolivia,282095,231546,12451,71,989217
Nepal,280524,274165,3053,0,2317284
Tunisia,272940,226070,9332,415,1186045
Kazakhstan,271809,234665,3236,221,9217159
Palestine,270856,234698,2883,186,1636553
Dominican Republic,258039,216780,3392,151,1348754
Kuwait,248729,232556,1412,228,2169047
Moldova,241820,223822,5409,303,905532
Ireland,241330,23364,4785,46,4196113
Denmark,238306,227244,2443,40,29457120
Paraguay,237542,194987,4889,446,981681
Ethiopia,230944,171980,3208,983,2453287
Slovenia,226786,208842,4126,142,1105344
Lithuania,226783,205965,3697,150,2499215
Costa Rica,222544,194760,3018,199,842015
Egypt,211307,159999,12487,90,2677262
Armenia,203327,182836,3753,0,906177
Guatemala,203309,186127,7020,5,1108633
Honduras,195780,75796,4804,539,541304
Qatar,190998,170194,335,473,1808736
Bosnia and Herzegovina,184698,141602,7487,0,846536
Venezuela,175812,158399,1795,237,3359014
Oman,173029,153986,1789,234,1550000
Libya,168676,153644,2828,0,915250
Nigeria,163837,154177,2061,11,1838174
Bahrain,157729,145953,562,85,3798472
Uruguay,147173,113125,1533,494,1532512
Kenya,146156,99210,2368,248,1564827
Myanmar,142596,131869,3206,0,2555312
North Macedonia,142034,117794,4262,124,670333
