country,cases,recovered,deaths,critical,tests
World,135290063,108867671,2927751,102038,0
China,90386,85471,4636,3,160000000
USA,31802772,24346766,574840,9078,416789330
Brazil,13375414,11791885,348934,8318,28600000
India,13202783,11987940,168467,8944,254041584
France,4980501,303639,98395,5729,68007540
Russia,4623984,4248700,102247,2300,123000000
UK,4365461,3957317,127040,421,134289127
Turkey,3745657,3268678,33454,2658,40994845
Italy,3736526,3086586,113579,3603,52480874
Spain,3347512,3095922,76328,2050,43458915
Germany,2974110,2647600,78689,4439,51559277
Poland,2528006,2107776,57427,3376,12807584
Colombia,2504206,2365566,65283,2603,13174589
Argentina,2497881,2203926,57350,3718,9451754
Mexico,2267019,1802033,206146,4798,6216314
Iran,2029412,1693005,64039,4278,13494296
Ukraine,1823674,1395104,36381,177,8568004
Peru,1628519,1547807,54285,2313,9876422
Czech Republic,1573181,1448463,27682,1311,14038491
Indonesia,1558145,1405659,42348,0,13280778
South Africa,1556242,1481637,53226,546,10086459
Netherlands,1334771,0,16731,785,10795845
Chile,1060421,991676,24108,3075,11751801
Canada,1045278,954017,23251,928,28725621
Romania,998555,896573,24867,1496,7630875
Belgium,913057,58902,23348,908,11571305
Iraq,911376,804772,14641,449,8428859
Sweden,857401,0,13621,377,7530772
Philippines,840554,647683,14520,785,10632956
Israel,835674,825195,6280,270,13729129
Portugal,826327,783523,16904,128,9363361
Pakistan,710829,625789,15229,4116,10639825
Hungary,705815,420275,22966,1364,4861310
Bangladesh,673594,568541,9584,0,4915758
Jordan,659250,581170,7646,729,6269269
Serbia,636418,545508,5659,264,3563364
Switzerland,617543,557566,10450,189,6339396
Austria,571616,529191,9624,580,26161838
Morocco,500948,487414,8885,239,6079500
Japan,496206,458840,9334,483,10317762
Lebanon,491928,398699,6592,853,3674827
UAE,480006,464971,1526,0,39784257
Saudi Arabia,396758,382198,6737,898,15676905
Bulgaria,370179,284869,14308,812,2257555
Slovakia,369393,255300,10411,545,2420747
Panama,358098,347483,6156,105,2225209
Malaysia,357607,341489,1313,169,8104421
Ecuador,342678,290314,17158,602,1183906
Belarus,333430,323748,2334,0,5516682
Greece,290964,245351,8758,790,6994041
Croatia,288364,268929,6235,175,1619663
Georgia,287183,276426,3858,0,3620829
Azerbaijan,281387,247459,3846,0,2990285
Nepal,279388,273735,3038,0,2306244
Bolivia,279207,229036,12412,71,965046
Tunisia,268837,223391,9179,392,1168876
Palestine,264395,229876,2812,190,1623732
Kazakhstan,263943,231324,3190,221,9051176
Dominican Republic,256563,215726,3382,155,1339875
Kuwait,244325,228627,1393,224,2142326
Ireland,240192,23364,4769,60,4153203
Moldova,240056,220881,5339,316,894243
Denmark,236346,225255,2436,37,28412565
Paraguay,232142,189971,4698,445,962987
Ethiopia,225516,167945,3111,895,2430217
Slovenia,224699,206688,4100,138,1096266
Lithuania,224313,204340,3662,161,2462223
Costa Rica,222544,194760,3018,199,842015
Egypt,208876,158454,12362,90,2507491
Guatemala,201295,183917,6977,5,1095962
Armenia,201158,180160,3697,0,894461
Honduras,193783,74759,4715,512,533891
Qatar,188100,168534,324,433,1792416
Bosnia and Herzegovina,181927,139419,7298,0,835478
Venezuela,172461,155662,1739,237,3359014
Oman,168005,149969,1747,204,1550000
Libya,166888,152328,2807,0,905959
Nigeria,163652,154073,2059,11,1803177
Bahrain,154280,142741,550,86,3744274
Kenya,144154,98183,2309,236,1549388
Myanmar,142558,131845,3206,0,2549607
North Macedonia,140065,113430,4150,124,660522
Uruguay,137946,104241,1363,453,1504177
Albania,127795,96672,2304,18,579303
Algeria,118251,82392,3123,19,230861
Estonia,113098,92862,1006,70,1186998
South Korea,108269,98786,1764,113,8059113
Latvia,106574,97612,1981,87,2003893
Norway,102719,88952,684,61,4824081
Sri Lanka,94564,91272,593,0,2374627
Montenegro,93803,87768,1354,69,349633
Ghana,91109,88971,752,32,1020874
Kyrgyzstan,89811,85719,1516,24,891875
Zambia,89783,85559,1226,56,1293121
Cuba,84532,78916,448,66,3170526
Uzbekistan,84529,82415,634,23,1377915
Finland,81261,46000,868,41,4108220
Mozambique,68506,58336,789,68,493153
El Salvador,65491,62340,2044,30,856658
Luxembourg,63467,58874,763,30,2490226
Cameroon,61731,56926,919,385,1187367
Singapore,60601,60304,30,1,8789647
Afghanistan,57144,51961,2521,1120,366190
Cyprus,50589,36872,268,20,3838911
Namibia,45193,43483,559,27,358301
Cote d'Ivoire,45089,44197,260,0,548998
Botswana,42674,38203,636,1,944985
Jamaica,41843,18690,661,47,298981
Uganda,41086,40685,337,0,960758
Senegal,39307,38031,1074,21,450876
Zimbabwe,37147,34831,1535,3,390833
Malawi,33779,31239,1126,29,222695
Thailand,30869,28128,96,1,8124896
Sudan,30111,24214,2063,0,232965
Malta,29511,28561,401,0,828497
Australia,29388,26343,909,0,16026364
Congo,28511,25841,745,0,143000
Madagascar,27034,23293,486,246,151659
Maldives,25436,22276,67,82,665151
Rwanda,23260,20991,314,5,1207093
Angola,23242,21589,549,13,436405
Guinea,20746,18408,132,24,412617
Gabon,20636,17456,127,20,662689
Syria,20008,13780,1360,0,0
Mayotte,19643,2964,167,7,162430
French Polynesia,18652,4842,141,2,26355
Cabo Verde,18629,17077,177,23,133611
Mauritania,18005,17307,450,14,213675
French Guiana,17549,9995,94,9,169271
Reunion,17508,16011,123,54,100098
Eswatini,17370,16642,669,3,172552
Mongolia,13494,8522,19,88,2357529
Tajikistan,13308,13218,90,0,0
Burkina Faso,12924,12571,152,0,174792
Haiti,12840,11447,251,0,54379
Belize,12485,12106,318,1,103373
Andorra,12456,11732,120,12,193595
Somalia,12271,5129,605,0,98053
