country,cases,recovered,deaths,critical,tests
World,145324712,123590402,3084699,110083,0
China,90547,85608,4636,5,160000000
USA,32669189,25236658,584285,9962,435438612
India,16257309,13641606,186928,8944,272705103
Brazil,14172139,12673785,383757,8318,43090398
France,5408606,4243176,102164,5981,73468365
Russia,4736121,4361807,107103,2300,126800000
Turkey,4501382,3909935,37329,3463,45040704
UK,4398431,4171798,127345,276,147468783
Italy,3920942,3330392,118357,3021,56250055
Spain,3456886,3156955,77496,2283,44374223
Germany,3238054,2845300,81693,5049,54061332
Argentina,2796768,2449793,60620,4791,10521258
Poland,2731264,2380787,64168,3229,13767550
Colombia,2720619,2538020,70026,5306,14134970
Iran,2335905,1837590,68366,5038,14854140
Mexico,2315811,1839381,213597,4798,6463391
Ukraine,1990353,1533303,41266,177,9089301
Peru,1734606,1661792,58604,2614,10650847
Indonesia,1626812,1481449,44172,0,14111521
Czech Republic,1612851,1523611,28847,862,16478838
South Africa,1571348,1496756,53995,546,10447673
Netherlands,1435854,1196384,17002,828,11781337
Canada,1155834,1045244,23822,1312,30411387
Chile,1148320,1081117,25532,3375,12574563
Romania,1039998,959126,26943,1405,8022449
Iraq,1010304,884181,15128,525,8989021
Philippines,971021,846600,16370,750,11352726
Belgium,960169,815404,23867,926,12107176
Sweden,938343,752021,13891,403,8151774
Israel,837807,829424,6346,161,14014683
Portugal,832891,791171,16956,104,10047412
Pakistan,778238,676605,16698,4593,11377423
Hungary,760967,469592,26001,876,5205923
Bangladesh,736074,642449,10781,0,5277112
Jordan,697487,658287,8474,729,6564997
Serbia,673520,608270,6130,219,3741146
Switzerland,644396,575624,10555,248,6692508
Austria,602494,565513,10026,527,29905570
Japan,546433,491661,9764,805,11177177
Lebanon,516600,437808,7057,717,3870650
Morocco,507938,493873,8976,221,6195702
UAE,504872,486920,1565,0,42496398
Saudi Arabia,409093,392448,6869,1182,16414039
Bulgaria,394594,321400,15721,781,2419383
Malaysia,384688,361267,1407,248,8849606
Slovakia,378150,255300,11357,387,2527366
Ecuador,365393,309541,17965,636,1244265
Panama,361992,351949,6198,105,2330456
Belarus,348486,338927,2463,0,5723427
Greece,326395,284050,9788,822,7692455
Croatia,316308,293454,6738,226,1734234
Azerbaijan,307980,272575,4274,0,3153877
Georgia,300264,283557,3981,0,3974715
Kazakhstan,297839,254971,3483,221,9709890
Tunisia,294138,244517,10063,498,1257117
Bolivia,293061,241563,12731,71,1082188
Nepal,292152,276345,3117,0,2379402
Palestine,287680,256559,3115,153,1698129
Dominican Republic,262935,220159,3441,183,1381990
Kuwait,262766,245824,1493,229,2256129
Paraguay,260382,213710,5633,503,1045978
Moldova,248009,235054,5668,242,955644
Ethiopia,247989,185107,3496,1059,2528645
Denmark,245761,233614,2467,44,33781913
Ireland,245310,226628,4866,48,4351054
Lithuania,237985,215031,3819,201,2671655
Costa Rica,235274,199779,3125,281,932115
Slovenia,234811,219232,4187,154,1144379
Egypt,219774,165348,12914,90,2677262
Guatemala,218145,194075,7345,5,1198336
Armenia,211399,191158,3969,0,951500
Honduras,203359,77020,4981,546,567813
Qatar,199980,177164,407,449,1862459
Bosnia and Herzegovina,194371,152007,8164,0,884114
Venezuela,188063,171043,1987,293,3359014
Oman,185278,165051,1942,266,1550000
Uruguay,175891,145464,2160,514,1693215
Libya,174216,159630,2936,0,940305
Bahrain,168201,156981,614,97,3967761
Nigeria,164588,154578,2061,11,1870915
Kenya,154392,105367,2560,226,1624663
North Macedonia,149221,126234,4595,124,700728
Myanmar,142674,131914,3206,0,2561910
Albania,130114,103582,2364,18,613386
Algeria,120363,83900,3181,19,230861
Estonia,119218,105471,1120,58,1249765
South Korea,116661,106459,1808,125,8537505
Latvia,113561,103230,2088,78,2180142
Norway,109581,88952,735,42,5009274
Sri Lanka,98722,93884,634,0,2374627
Cuba,97967,92050,559,70,3450918
Montenegro,96187,91905,1451,69,365576
Kyrgyzstan,93006,87554,1566,25,950899
Ghana,91928,89729,777,9,1055797
Zambia,91189,89117,1240,44,1365448
Uzbekistan,87935,85007,640,23,1377915
Finland,85077,46000,902,37,4337925
Mozambique,69523,62394,805,43,508573
El Salvador,68161,64208,2089,74,897456
Luxembourg,65813,61936,790,30,2598881
Cameroon,64809,57821,939,385,1257949
Singapore,60904,60603,30,1,9278789
Cyprus,59792,39061,296,74,4564235
Afghanistan,58542,52348,2565,1124,390541
Thailand,48113,29848,117,1,8124896
Namibia,47172,45136,616,37,376317
Botswana,45855,41338,691,1,982095
Cote d'Ivoire,45715,45283,277,0,573182
Jamaica,44502,20170,751,26,320168
Uganda,41529,40898,341,24,998791
Senegal,39975,38719,1097,9,469269
Zimbabwe,38018,35073,1555,12,404405
Madagascar,34069,27152,579,336,172240
Malawi,33989,31864,1145,15,228966
Sudan,32695,26411,2300,0,232965
Malta,30096,29166,411,0,853286
Australia,29588,26458,910,0,16481110
Congo,29350,26135,752,0,145994
Maldives,27084,24065,71,90,698905
Mongolia,26692,13772,61,88,2606797
Angola,25051,22901,572,24,449666
Rwanda,24262,22649,328,6,1273629
Gabon,22228,18908,136,28,703735
Guinea,21745,19080,139,24,423364
Syria,21725,15376,1496,0,103566
Cabo Verde,21500,18689,199,23,142081
Mayotte,19849,2964,169,7,165683
Reunion,19343,17653,141,36,100098
French Polynesia,18725,4842,141,4,26355
French Guiana,18693,9995,97,14,207166
Eswatini,18426,17722,671,3,180857
Mauritania,18192,17553,454,14,225642
Guadeloupe,13669,2242,185,23,171662
Somalia,13459,5593,689,0,107545
Mali,13420,7732,456,0,248587
Tajikistan,13308,13218,90,0,0
Burkina Faso,13212,12862,156,0,178033
Haiti,12944,11945,251,0,60085
Andorra,12942,12375,123,25,193595
Togo,12698,10512,121,0,303681
Belize,12596,12164,320,1,113007
Guyana,12234,10555,277,12,112862
Curaçao,12022,10011,99,22,90143
Hong Kong,11719,11316,209,3,11193673
Lesotho,10723,6267,316,0,75930
Djibouti,10697,10007,130,0,146154
Martinique,10611,98,68,24,149454
South Sudan,10504,10250,114,0,146233
Aruba,10469,10024,95,14,142931
Papua New Guinea,10338,7364,99,0,73276
Congo,10084,8208,139,0,92500
Bahamas,9868,9140,194,3,83288
Suriname,9865,8965,191,14,48529
Trinidad and Tobago,9383,8065,157,8,123913
Cambodia,8193,2924,59,0,811284
Benin,7720,7510,97,35,581843
Equatorial Guinea,7505,7016,106,11,116266
Nicaragua,6835,4225,181,0,0
Iceland,6379,6223,29,3,584081
CAR,6175,5112,85,2,40907
Yemen,6020,2393,1157,23,22934
Gambia,5820,5272,173,3,62186
Seychelles,5170,4675,26,0,21504
Niger,5143,4812,191,18,96568
San Marino,5046,4822,88,4,59457
Chad,4735,4376,169,0,111158
Saint Lucia,4455,4290,70,0,39263
Gibraltar,4282,4173,94,2,228585
