country,cases,recovered,deaths,critical,tests
World,115287584,91101015,2559436,90613,0
China,89923,85087,4636,0,160000000
USA,29370705,19905322,529214,15088,361948812
India,11139323,10810162,157385,8944,217618057
Brazil,10647845,9527173,257562,8318,28600000
Russia,4268215,3838040,86896,2300,111500000
UK,4188400,3005720,123296,1806,91520691
France,3783528,259893,87220,3586,53496344
Spain,3130184,2722304,69801,2796,39313189
Italy,2955434,2426150,98288,2327,40639503
Turkey,2723316,2586073,28706,1227,33440843
Germany,2462061,2264600,71325,2848,43950029
Colombia,2259599,2156057,59972,2240,11528886
Argentina,2118676,1916936,52192,3505,7510854
Mexico,2089281,1639943,186152,4798,5460692
Poland,1719708,1438032,44008,1540,9945404
Iran,1648174,1406845,60267,3738,10972109
South Africa,1514815,1433320,50271,546,9114026
Ukraine,1357470,1176918,26212,177,6948980
Indonesia,1347026,1160863,36518,0,10868049
Peru,1338297,1244029,46894,2140,7648496
Czech Republic,1252242,1082617,20701,1568,8176797
Netherlands,1096433,0,15649,540,6970400
Canada,872747,820450,22045,567,24620804
Chile,832512,787700,20684,1683,9455215
Romania,808040,744040,20509,1044,6375052
Portugal,805647,723465,16389,446,8260373
Israel,785218,738452,5790,705,12108835
Belgium,772294,52585,22106,407,9483745
Iraq,703778,643156,13458,426,6920965
Sweden,669113,0,12882,234,6139911
Pakistan,582528,547406,12938,1529,9022124
Philippines,580442,534463,12369,785,8840496
Switzerland,558622,511437,10005,171,5109623
Bangladesh,547316,498391,8423,0,4072922
Morocco,484159,469868,8645,253,5671101
Serbia,466885,400347,4475,168,2970536
Austria,462769,433873,8605,296,5456284
Hungary,435689,324202,15188,581,3693390
Japan,433504,412115,7933,413,8319692
Jordan,402282,354143,4756,353,4678877
UAE,396771,383998,1253,0,31066043
Lebanon,380036,296237,4805,890,3055313
Saudi Arabia,378002,368926,6505,486,13727492
Panama,342019,328100,5871,195,1921987
Slovakia,311002,255300,7388,694,2060990
Malaysia,304135,278431,1141,204,6321134
Belarus,289136,279450,1993,0,4915522
Ecuador,286725,247898,15850,517,1014204
Nepal,274294,270543,2777,0,2165985
Georgia,271379,265686,3532,0,2752944
Bulgaria,252029,208411,10391,423,1695947
Bolivia,249767,193652,11666,71,727400
Croatia,243458,235017,5548,65,1354191
Dominican Republic,240201,192651,3118,191,1211817
Azerbaijan,235014,228982,3225,0,2610880
Tunisia,234231,199476,8047,265,985763
Ireland,220630,23364,4333,112,3560558
Kazakhstan,214089,197782,2540,221,7419449
Denmark,212224,202914,2367,39,17283186
Costa Rica,205514,183911,2820,141,690013
Lithuania,199825,185770,3263,153,2132358
Greece,194582,169525,6557,422,5315053
Kuwait,193372,181119,1092,160,1800627
Slovenia,191056,175210,3863,85,918299
Moldova,187847,167442,4002,326,723995
Palestine,187309,168763,2063,114,1183235
Egypt,183591,141655,10778,90,1000000
Guatemala,175411,162481,6412,5,923962
Armenia,172456,163738,3200,0,736590
Honduras,170985,66709,4174,406,449997
Qatar,164600,154420,259,106,1550694
Paraguay,161530,135373,3218,261,758780
Ethiopia,160813,136079,2386,366,2146457
Nigeria,156496,134551,1923,10,1544008
Oman,142169,132945,1580,70,1550000
Myanmar,141965,131534,3199,0,2493481
Venezuela,139934,132052,1353,131,2898004
Libya,134967,122079,2216,0,733872
Bosnia and Herzegovina,133088,116821,5145,0,661206
Bahrain,123531,116487,453,60,3120729
Algeria,113430,78377,2991,21,0
Albania,108823,71173,1835,46,468469
Kenya,106470,86860,1863,58,1306601
North Macedonia,103746,91875,3151,124,526870
South Korea,90372,81338,1606,135,6681976
Latvia,87103,76211,1638,74,1518124
Kyrgyzstan,86308,83269,1467,16,749089
Ghana,84023,77972,607,132,902813
Sri Lanka,83870,80020,483,0,2122696
Uzbekistan,79961,78513,622,27,1377915
Zambia,79557,75563,1104,232,1099240
Montenegro,76868,67207,1023,68,283022
Norway,72234,66014,623,22,3870115
Estonia,67739,50351,605,44,946144
El Salvador,60491,56339,1869,31,761858
Singapore,59956,59842,29,1,7543963
Mozambique,59914,42797,665,0,426628
Uruguay,59171,51365,617,75,1029860
Finland,58645,46000,755,39,3367970
Afghanistan,55770,49347,2446,1067,300906
Luxembourg,55632,52062,641,20,2133346
Cuba,51587,46926,328,62,2428864
Uganda,40395,15008,334,0,883390
Namibia,39182,36498,430,20,305368
Zimbabwe,36148,32989,1472,41,341569
Cameroon,35714,32594,551,53,149000
Cyprus,35297,2057,232,22,2044938
Senegal,34832,29402,888,49,391971
Cote d'Ivoire,32929,31866,193,0,426876
Malawi,32148,19904,1053,4,199890
Botswana,30727,24884,332,1,815362
Australia,28986,26180,909,0,14411837
Sudan,28545,23084,1895,0,0
Thailand,26073,25420,84,1,1217873
Congo,26050,20466,711,0,0
Jamaica,23838,13625,432,25,215678
Malta,22993,19743,319,18,705682
Angola,20882,19410,510,10,190449
Maldives,20144,17470,62,162,532816
Madagascar,19831,19296,297,23,119608
Rwanda,19111,17472,265,8,1017029
French Polynesia,18429,4842,140,2,26355
Mayotte,17600,2964,112,22,130738
Mauritania,17235,16606,441,14,175133
Eswatini,17086,14898,652,36,152673
French Guiana,16627,9995,85,6,149894
Guinea,16081,14994,91,24,140333
Syria,15696,9961,1039,0,0
Cabo Verde,15483,14898,148,23,122430
Gabon,14849,13288,87,17,531800
Tajikistan,13308,13218,90,0,0
Reunion,13125,11956,59,66,98785
Haiti,12531,9828,250,0,54379
Belize,12320,11870,315,2,85900
Burkina Faso,12047,11635,143,0,0
Hong Kong,11033,10563,200,14,8601877
Andorra,10908,10501,110,17,193595
Lesotho,10497,3768,295,0,61496
Guadeloupe,10149,2242,162,5,135623
Suriname,8939,8426,173,4,41096
Congo,8820,7019,128,0,92500
Guyana,8626,8024,197,6,66422
Bahamas,8519,7309,179,2,67841
Mali,8420,6414,355,0,153345
