country,cases,recovered,deaths,critical,tests
World,3481349,1120908,244663,50860,0
China,82875,77685,4633,37,0
USA,1160774,173318,67444,16475,6931132
Spain,245567,146233,25100,2386,1528833
Italy,209328,79914,28710,1539,2108837
UK,182260,0,28131,1559,1129907
France,168396,50562,24760,3827,1100228
Germany,164967,129000,6812,2105,2547052
Turkey,124375,58259,3336,1445,1111366
Russia,124054,15013,1222,2300,3945518
Brazil,96559,40937,6750,8318,339552
Iran,96448,77350,6156,2787,484541
Canada,56714,23801,3566,557,832222
Belgium,49517,12211,7765,689,260996
Peru,42534,12434,1200,671,355604
Netherlands,40236,0,4987,708,225899
India,39699,10819,1323,0,976363
Switzerland,29817,24200,1762,141,276000
Ecuador,27464,2132,1371,149,73929
Saudi Arabia,25459,3765,176,139,339775
Portugal,25190,1671,1023,150,426836
Sweden,22082,1005,2669,531,119500
Ireland,21176,13386,1286,99,169377
Mexico,20739,12377,1972,378,91188
Pakistan,19022,4753,437,111,193859
Chile,18435,9572,247,425,199400
Singapore,17548,1347,17,24,143919
Israel,16185,9593,229,105,390022
Belarus,15828,3117,97,92,195430
Austria,15558,13180,596,114,269619
Qatar,14872,1534,12,72,101728
Japan,14571,3205,474,324,181527
UAE,13599,2664,119,1,1200000
Poland,13375,3762,664,160,366013
Romania,12732,4547,771,265,190540
Ukraine,11411,1498,279,151,122752
Indonesia,10843,1665,831,0,107943
South Korea,10780,9123,250,55,623069
Denmark,9407,6889,475,60,221912
Serbia,9362,1426,189,57,96637
Philippines,8928,1124,603,31,115012
Bangladesh,8790,177,175,1,76066
Norway,7809,32,211,37,172586
Czech Republic,7755,3461,245,67,253826
Dominican Republic,7578,1481,326,144,30102
Colombia,7285,1666,324,118,108950
Australia,6781,5789,93,28,611583
Panama,6720,622,192,85,31895
South Africa,6336,2549,123,36,230686
Egypt,6193,1522,415,0,90000
Malaysia,6176,4326,103,31,184213
Finland,5176,3000,220,52,101800
Morocco,4729,1256,173,1,39367
Argentina,4681,1320,237,157,63866
Kuwait,4619,1703,33,69,179000
