country,cases,recovered,deaths,critical,tests
World,235396000,212206157,4810876,87491,0
China,96203,90677,4636,4,160000000
USA,44490897,33917959,719674,19489,644340300
India,33812559,33086025,448846,8944,571994990
Brazil,21459117,20436127,597749,8318,63776166
UK,7870241,6387267,136910,815,304621001
Russia,7560767,6710574,209028,2300,192100000
Turkey,7210916,6664242,64467,633,87018268
France,7023315,6788312,116789,1355,143234831
Iran,5611700,5075482,120880,5802,32306789
Argentina,5259352,5121667,115239,1070,24252818
Spain,4961128,4755738,86463,675,64557887
Colombia,4960641,4802907,126372,542,25639447
Italy,4679066,4455320,130998,432,93115007
Germany,4255529,4018500,94289,1334,73348901
Indonesia,4218142,4042215,142115,0,39630509
Mexico,3671611,3021124,277976,4798,10702352
Poland,2909776,2663707,75689,174,20985041
South Africa,2905613,2778893,87753,546,17760235
Philippines,2580126,2397374,38656,3170,21193050
Ukraine,2447222,2261924,56649,177,12922388
Malaysia,2268499,2086111,26565,890,30370550
Peru,2177283,0,199423,999,17950693
Iraq,2007227,1919106,22344,461,15254306
Netherlands,2006421,1928479,18181,142,17349702
Japan,1702837,1659925,17683,719,24906238
Czech Republic,1693240,1654470,30477,32,38329587
Chile,1655884,1611035,37484,364,21947103
Canada,1631201,1557707,27945,776,43456266
Thailand,1626604,1496273,16937,3324,9201621
Bangladesh,1557347,1517642,27555,1389,9773244
Israel,1288431,1236766,7782,587,26909829
Romania,1257145,1127564,37394,1412,13002457
Pakistan,1248202,1173437,27831,3511,19486951
Belgium,1247197,1161904,25612,213,20090665
Sweden,1153655,1113965,14827,39,12605062
Portugal,1070665,1022422,17986,65,18640098
Serbia,955672,814881,8331,253,5692875
Morocco,934828,908898,14315,410,9743110
Kazakhstan,889040,826090,11253,221,11575012
Cuba,887350,853971,7534,352,9648807
Switzerland,841571,771810,11105,168,10876699
Jordan,825245,801945,10736,460,10122069
Hungary,823384,785646,30199,84,6947933
Vietnam,803202,664938,19601,0,42517091
Nepal,796618,767819,11157,0,4221093
Austria,746380,714965,11021,219,87701064
UAE,736524,729242,2100,0,84574364
Tunisia,707983,677625,24921,295,2953667
Greece,660166,618696,14889,332,20535193
Lebanon,625445,596068,8341,200,4780275
Georgia,616589,587499,9005,0,9035422
Guatemala,565566,525877,13700,5,2584291
Saudi Arabia,547221,536281,8722,193,29003896
Belarus,542077,521362,4174,0,8574094
Costa Rica,533873,438817,6413,458,2393237
Sri Lanka,519630,458646,13019,0,4950195
Ecuador,509238,443880,32762,759,1836289
Bulgaria,505481,438587,20995,465,4841163
Bolivia,500823,460544,18750,220,2410571
Azerbaijan,485275,462798,6559,0,4878405
Panama,467565,457192,7236,54,3895904
Myanmar,467269,421265,17835,0,4361627
Paraguay,460022,443298,16200,14,1842289
Slovakia,415016,389417,12660,129,3616527
Kuwait,411731,408643,2451,9,4288608
Croatia,407755,389870,8664,99,2843039
Palestine,405780,377793,4132,72,2477955
Ireland,392575,347280,5249,59,7475340
Uruguay,389124,381795,6057,10,3599655
Venezuela,372006,353592,4495,681,3359014
Honduras,367275,111042,9855,418,1047735
Dominican Republic,360257,350098,4055,183,2068811
Denmark,359663,351716,2663,12,83799566
Ethiopia,347972,314458,5675,776,3491774
Libya,341091,260885,4664,0,1676201
Lithuania,335840,306658,5044,232,5006540
South Korea,316020,277092,2504,323,14644697
Mongolia,309064,291328,1314,192,3855199
Egypt,306030,258252,17399,90,3693367
Oman,303769,297832,4096,17,25000000
Moldova,296672,280291,6829,175,1801979
Slovenia,295328,278372,4569,77,1589338
Bahrain,275175,273149,1389,5,6474979
Armenia,263783,243341,5354,0,1733726
Kenya,250023,242227,5131,61,2569174
Qatar,236834,235014,606,13,2676496
Bosnia and Herzegovina,235536,192218,10635,0,1227043
Zambia,209142,205172,3649,22,2468613
Nigeria,206064,193893,2724,11,3043321
Algeria,203657,139524,5819,15,230861
North Macedonia,191820,173048,6683,0,1292895
Norway,190224,88952,861,22,7884235
Botswana,179220,174549,2368,1,1754359
Kyrgyzstan,178680,173385,2607,131,1737541
Uzbekistan,174879,169866,1245,23,1377915
Albania,171327,159439,2710,3,1211134
Latvia,160608,146979,2731,62,4429458
Estonia,157728,145542,1360,24,1931192
Afghanistan,155263,125048,7212,1124,761248
