country,cases,recovered,deaths,critical,tests
World,35123155,26118185,1037530,66274,0
China,85434,80611,4634,2,160000000
USA,7600846,4818509,214277,14179,110526283
India,6547413,5506732,101812,8944,77850403
Brazil,4906833,4248574,146011,8318,17900000
Russia,1204502,975859,21251,2300,47247274
Colombia,848147,757801,26556,2220,3861628
Peru,824985,700868,32665,1311,3939873
Spain,810807,0,32086,1566,12723989
Argentina,790818,626114,20795,3820,2051037
Mexico,753090,541518,78492,2522,1983157
South Africa,679716,612763,16938,539,4251513
France,606625,97778,32198,1276,11174392
UK,480017,0,42317,368,25048460
Chile,468471,440881,12919,849,3430220
Iran,468119,387675,26746,4127,4095161
Iraq,375931,303665,9347,538,2330386
Bangladesh,367565,280069,5325,0,1979805
Saudi Arabia,335997,320974,4850,954,6638679
Turkey,323014,283868,8384,1470,10711883
Italy,322751,231217,35968,297,11691391
Philippines,319330,255046,5678,1758,3837101
Pakistan,313984,298593,6507,511,3615244
Germany,300028,260800,9597,373,16999253
Indonesia,299506,225052,11055,0,3451398
Israel,264443,191251,1682,840,3684411
Ukraine,222322,98737,4353,177,2308415
Canada,164471,138867,9462,126,7563615
Ecuador,140351,112296,11597,366,451098
Bolivia,136219,96654,8045,71,305112
Romania,134065,107058,4947,583,2496439
Netherlands,131889,0,6449,170,2449577
Morocco,131228,108687,2293,440,2689136
Qatar,126339,123302,216,58,791424
Belgium,124234,19571,10037,163,3326787
Panama,114653,91195,2414,112,499050
Dominican Republic,113926,89635,2128,178,488732
Kazakhstan,108106,103110,1725,221,2964281
Kuwait,106458,98435,620,129,755765
Egypt,103575,97274,5970,41,135000
Oman,98585,88528,935,190,376700
Poland,98140,72209,2604,179,3390790
UAE,97760,87122,426,0,10023959
Sweden,94283,0,5895,20,1661484
Guatemala,93748,82040,3285,5,336546
Japan,84768,77807,1590,137,2150084
Nepal,84570,62740,528,0,1061664
Czech Republic,80605,39073,711,245,1433997
Belarus,79852,75148,851,0,1897263
Costa Rica,79182,45007,950,213,238248
Honduras,78269,28978,2386,30,183299
Portugal,78247,49845,1995,106,2647756
Ethiopia,77860,32325,1214,278,1293469
Venezuela,77646,68098,649,215,1957439
Bahrain,72310,66813,258,56,1468655
