country,cases,recovered,deaths,critical,tests
World,131905962,106203820,2865820,98781,0
China,90273,85422,4636,2,160000000
USA,31420331,23946703,568777,8712,409363862
Brazil,12984956,11357521,331530,8318,28600000
India,12587920,11679958,165132,8944,248125908
France,4822470,299624,96678,5341,66728544
Russia,4580894,4204081,100374,2300,121600000
UK,4359388,3901642,126836,517,127546869
Italy,3668264,2988199,111030,3703,51200043
Turkey,3487050,3105350,32263,2311,39566099
Spain,3300965,3054725,75698,1892,42707830
Germany,2895631,2569400,77557,3680,50399177
Colombia,2446219,2317564,64094,2603,12902882
Poland,2438542,1978433,54941,4199,12413519
Argentina,2393492,2140480,56199,3626,9069998
Mexico,2249195,1785643,204011,4798,6133559
Iran,1932074,1650569,63160,4057,13111118
Ukraine,1745709,1347193,34333,177,8297800
Peru,1582367,1500582,52877,2307,9538127
South Africa,1551964,1477363,52987,546,9986203
Czech Republic,1551909,1411660,26996,1446,13107402
Indonesia,1534255,1375877,41669,0,12934115
Netherlands,1302146,0,16622,733,10298103
Chile,1026785,958400,23644,2884,11491602
Canada,1003988,922524,23062,704,27770015
Romania,974375,871950,24070,1456,7459074
Belgium,897474,57895,23130,801,11372138
Iraq,873568,778535,14463,453,8197431
Israel,834247,822787,6243,344,13576884
Portugal,823335,780322,16879,117,9126967
Sweden,813191,0,13498,319,7201692
Philippines,795051,646100,13425,785,10393648
Pakistan,687908,613058,14778,3568,10403335
Hungary,685979,416972,21715,1440,4753281
Bangladesh,637364,552482,9266,0,4783385
Jordan,632907,543761,7201,729,6071373
Serbia,617669,520690,5458,292,3483666
Switzerland,605342,548375,10353,158,6126488
Austria,558755,512642,9449,554,24647471
Morocco,498197,484921,8850,245,6019897
Japan,482867,450624,9221,431,10049113
Lebanon,479501,380472,6409,914,3581760
UAE,470136,454600,1510,0,38593333
Saudi Arabia,392682,379816,6697,782,15350585
Slovakia,365242,255300,10025,594,2384180
Panama,356377,345493,6135,105,2180385
Bulgaria,352999,270433,13589,747,2170167
Malaysia,350959,335162,1288,186,7860010
Ecuador,335681,290314,16956,539,1160759
Belarus,327304,318033,2285,0,5443694
Georgia,283833,274599,3811,0,3488534
Croatia,280026,260536,6058,158,1582500
Nepal,277944,273240,3032,0,2285288
Greece,275414,234045,8380,749,6731522
Bolivia,274467,224548,12316,71,923599
Azerbaijan,270735,241646,3677,0,2928955
Tunisia,260044,219035,8965,352,1133652
Dominican Republic,254295,214177,3346,163,1320163
Kazakhstan,253107,223835,3092,221,8880871
Palestine,251288,222007,2706,201,1581298
Ireland,238148,23364,4718,58,4061084
Kuwait,237192,221943,1353,224,2092577
Moldova,235087,215091,5136,319,868517
Denmark,233318,221590,2429,39,26479726
Paraguay,221207,181949,4399,431,935341
