country,cases,recovered,deaths,critical,tests
World,133015448,107267671,2885544,99408,0
China,90329,85449,4636,2,160000000
USA,31560438,24122221,570260,8960,412210783
Brazil,13106058,11558784,337364,8318,28600000
India,12799746,11789759,166208,8944,250231269
France,4841308,301299,97273,5626,67791157
Russia,4597868,4220035,101106,2300,122100000
UK,4364529,3922263,126882,517,127546869
Italy,3686707,3019255,111747,3743,51415800
Turkey,3579185,3159475,32667,2477,40083142
Spain,3317948,3080466,75911,1990,43458915
Germany,2912636,2597100,77862,3680,50399177
Colombia,2468236,2336356,64524,2603,12989351
Poland,2456709,2036577,55065,3315,12452912
Argentina,2428029,2164045,56634,3642,9191427
Mexico,2251705,1791894,204399,4798,6143274
Iran,1963394,1667079,63506,4138,13256820
Ukraine,1769164,1362379,35017,177,8397586
Peru,1598593,1518776,53411,2452,9641031
Czech Republic,1555255,1430474,27276,1291,13259417
South Africa,1552853,1478820,53032,546,9995431
Indonesia,1542516,1385973,41977,0,13057154
Netherlands,1313007,0,16649,758,10795845
Chile,1037780,972645,23734,2946,11573027
Canada,1020893,937456,23141,835,28364201
Romania,983217,880429,24386,1466,7510907
Belgium,902964,58369,23202,832,11439405
Iraq,887291,789424,14535,471,8281425
Sweden,834993,0,13533,356,7530772
Israel,834920,823732,6257,317,13632392
Portugal,824368,781537,16887,113,9232226
Philippines,812760,646381,13817,785,10459701
Pakistan,696184,618158,14924,3645,10493362
Hungary,691743,418568,22098,1440,4783383
Bangladesh,651652,558383,9384,0,4847935
Jordan,645449,561894,7383,729,6158685
Serbia,625773,531407,5537,271,3515873
Switzerland,610274,551991,10403,174,6226564
Austria,562907,519202,9517,578,24999349
Morocco,499025,485708,8865,239,6036740
Japan,487545,454055,9249,451,10130624
Lebanon,482798,390209,6479,849,3609207
UAE,474136,458885,1516,0,39043850
Saudi Arabia,394169,380772,6711,846,15469923
Slovakia,365733,255300,10094,596,2389156
Bulgaria,360863,276188,13918,755,2206820
Panama,356913,346153,6146,105,2195622
Malaysia,353329,337868,1300,189,7941361
Ecuador,337702,290314,17004,568,1166467
Belarus,329258,319601,2304,0,5460932
Georgia,284958,275220,3832,0,3522337
Greece,281570,237025,8532,751,6823036
Croatia,280899,263758,6113,155,1589987
Nepal,278470,273455,3036,0,2294067
Bolivia,275392,225483,12344,71,930871
Azerbaijan,273869,243467,3743,0,2948419
Tunisia,263043,220645,9039,374,1145603
Kazakhstan,256837,226378,3129,221,8920780
Palestine,256461,224552,2735,199,1596559
Dominican Republic,254603,214704,3355,163,1322907
Kuwait,239952,224701,1373,216,2111043
Ireland,238907,23364,4727,60,4100948
Moldova,236563,217606,5224,325,876169
Denmark,234318,223012,2432,38,27084050
Paraguay,224736,185131,4522,427,945502
Lithuania,220900,201845,3623,165,2414891
Slovenia,220698,203214,4089,133,1080896
Costa Rica,219846,193857,3000,194,842015
Ethiopia,219381,163956,3025,850,2406786
Egypt,206510,157006,12253,90,2507491
Armenia,197873,177601,3627,0,880290
Guatemala,197020,181532,6903,5,1069244
Honduras,191136,73463,4681,492,525124
Qatar,185261,166953,312,427,1773431
Bosnia and Herzegovina,177506,134700,7052,0,818181
Venezuela,169074,153063,1693,218,3359014
Oman,165480,148303,1728,196,1550000
Libya,164318,150478,2765,0,890581
Nigeria,163388,153630,2058,11,1803177
Bahrain,150811,140125,545,57,3686624
Myanmar,142530,131819,3206,0,2545161
Kenya,139842,96578,2258,205,1523313
North Macedonia,136426,111139,4022,124,647559
Albania,126936,95035,2283,18,570775
Uruguay,123063,96563,1191,432,1456758
Algeria,117879,82096,3112,19,230861
Estonia,110680,89105,964,71,1170574
South Korea,106230,97363,1752,112,7921290
Latvia,104533,95758,1937,77,1938006
Norway,100149,80023,677,59,4746608
Sri Lanka,93690,90708,586,0,2374627
Montenegro,93030,86512,1326,69,345238
Ghana,90946,88743,752,32,1014092
Kyrgyzstan,89277,85388,1509,24,877925
Zambia,89071,85338,1224,76,1273409
Uzbekistan,83935,81881,632,23,1377915
Cuba,81640,75871,440,71,3108917
Finland,80068,46000,860,45,4022494
Mozambique,68292,57926,785,0,489927
El Salvador,65491,62340,2033,30,856658
Luxembourg,62625,58381,761,30,2456106
Singapore,60519,60239,30,1,8789647
Cameroon,57337,51769,851,53,1187367
Afghanistan,56873,51928,2512,1120,358885
Cyprus,48837,2057,264,46,3512181
Namibia,45008,42641,542,36,354279
Cote d'Ivoire,44854,43130,256,0,539507
Botswana,41710,36958,616,1,942561
Jamaica,41328,18444,622,33,294398
Uganda,41023,40452,335,0,953669
Senegal,39127,37822,1065,28,447147
Zimbabwe,36966,34781,1531,13,387532
Malawi,33685,30849,1124,23,220937
Sudan,30111,24214,2063,0,232965
Thailand,29571,27948,95,1,8124896
Australia,29364,26318,909,0,15905177
Malta,29343,28416,399,0,822024
Congo,28377,25841,745,0,142304
Madagascar,25874,22813,462,246,147883
Maldives,25053,21898,67,83,659127
Angola,22885,21489,547,13,429139
Rwanda,22862,20705,314,4,1189218
Guinea,20510,18259,130,24,409866
Gabon,19863,16910,119,25,645130
Syria,19641,13434,1332,0,0
Mayotte,19408,2964,167,8,155552
French Polynesia,18640,4842,141,2,26355
Cabo Verde,18023,16670,173,23,130599
Mauritania,17955,17246,450,14,210985
Reunion,17508,16011,123,54,98785
Eswatini,17358,16623,669,3,172043
French Guiana,17318,9995,94,8,166476
Tajikistan,13308,13218,90,0,0
Burkina Faso,12845,12516,150,0,173445
Haiti,12803,11317,251,0,54379
Belize,12477,12102,318,1,102611
Andorra,12328,11570,117,12,193595
Somalia,11978,5058,576,0,95922
Guadeloupe,11681,2242,170,8,154363
Mongolia,11651,6010,13,67,2328242
Hong Kong,11532,11145,205,6,11193673
Togo,11310,8368,113,0,283560
Mali,10758,7009,396,0,238212
Lesotho,10707,4471,315,0,68712
Guyana,10637,9354,247,12,93927
South Sudan,10286,9835,113,1,135880
Curaçao,10185,5579,56,22,79413
Congo,10084,8208,137,0,92500
Aruba,9760,9125,91,8,131349
Bahamas,9270,8729,189,3,78117
Suriname,9184,8634,178,5,45243
Djibouti,9111,7075,85,0,134921
Martinique,8304,98,51,5,126108
Trinidad and Tobago,8214,7677,145,14,114420
Papua New Guinea,7406,846,67,0,63700
Benin,7313,6452,93,35,548484
Equatorial Guinea,7059,6683,104,11,111994
Nicaragua,6727,4225,179,0,0
Iceland,6241,6089,29,0,552567
Gambia,5564,5111,166,3,58464
CAR,5313,5024,73,2,38422
Niger,5048,4715,188,1,91986
Yemen,4975,1822,976,23,20872
San Marino,4864,4268,85,12,54410
Chad,4603,4233,166,0,109750
Seychelles,4320,3869,24,0,21504
Saint Lucia,4297,4142,63,2,36670
Gibraltar,4275,4171,94,0,215329
Channel Islands,4051,3956,86,1,399901
Sierra Leone,3990,2825,79,0,118332
Comoros,3738,3542,146,0,0
Barbados,3691,3557,43,0,143597
Guinea-Bissau,3662,3022,66,9,59431
Eritrea,3363,3081,10,0,23693
Burundi,2970,773,6,0,90019
Cambodia,2824,1794,22,0,731383
Liechtenstein,2697,2594,56,0,32252
Vietnam,2648,2422,35,0,2598753
New Zealand,2524,2424,26,0,1917574
Monaco,2345,2200,30,7,51953
Turks and Caicos,2344,2271,17,2,29647
Sao Tome and Principe,2248,2146,35,0,12597
Sint Maarten,2164,2102,27,1,24628
Liberia,2042,1899,85,2,79684
St. Vincent Grenadines,1765,1627,10,2,42493
Saint Martin,1659,1399,12,7,23812
Isle of Man,1572,1409,29,0,44761
Caribbean Netherlands,1478,1268,14,0,9238
Bermuda,1469,799,14,18,208372
Antigua and Barbuda,1173,885,29,45,16493
Mauritius,1130,707,12,0,358675
Taiwan,1050,1004,10,0,484871
Bhutan,896,870,1,0,586497
Timor-Leste,779,294,1,0,45338
St. Barth,775,462,1,0,21651
Diamond Princess,712,699,13,0,0
Faeroe Islands,661,660,1,0,244063
Cayman Islands,512,481,2,0,83847
Tanzania,509,183,21,7,0
Wallis and Futuna,422,44,4,4,1331
Brunei,214,197,3,0,115080
British Virgin Islands,178,159,1,0,13223
Dominica,165,159,0,0,13500
Grenada,155,152,1,0,23989
New Caledonia,121,58,0,0,28898
Fiji,67,64,2,0,36597
Falkland Islands,54,54,0,0,7125
Laos,49,47,0,0,138020
Macao,48,48,0,0,4369
Saint Kitts and Nevis,44,44,0,0,12381
Greenland,31,31,0,0,20669
Vatican City,27,15,0,0,0
Anguilla,25,22,0,0,14579
Saint Pierre Miquelon,24,24,0,0,5126
Montserrat,20,19,1,0,1313
Solomon Islands,19,18,0,0,4500
Western Sahara,10,8,1,0,0
MS Zaandam,9,7,2,0,0
Marshall Islands,4,4,0,0,0
Samoa,3,2,0,0,0
Vanuatu,3,1,0,0,470
Micronesia,1,1,0,0,0
Total:,29791505,26911785,437950,26665,0
Total:,36352403,28098632,826665,15824,0
Total:,21805856,19529197,572940,21702,0
Total:,40681436,28816845,932215,32130,0
Total:,4324953,3875884,114610,3081,0
Total:,58574,34622,1149,6,0
Total:,721,706,15,0,0
Total:,133015448,107267671,2885544,99408,0
