country,cases,recovered,deaths,critical,tests
World,2330793,596482,160643,55265,0
China,82719,77029,4632,85,0
USA,738792,68269,39014,13551,3722145
Spain,194416,74797,20639,7371,930230
Italy,175925,44927,23227,2733,1305833
France,151793,35983,19323,5833,463662
Germany,143724,85400,4538,2922,1728357
UK,114217,0,15464,1559,460437
Turkey,82329,10453,1890,1894,598933
Iran,80868,55987,5031,3513,330137
Belgium,37183,8348,5453,1119,145997
Russia,36793,3057,313,8,1831892
Brazil,36722,14026,2361,6634,62985
Canada,33383,11207,1470,557,516216
Netherlands,31589,250,3601,1279,154911
Switzerland,27404,17100,1368,386,216400
Portugal,19685,610,687,228,235878
India,16365,2463,521,0,335123
Ireland,14758,77,571,294,90646
Austria,14671,10214,443,208,175932
Peru,14420,6684,348,117,135895
Sweden,13822,550,1511,1054,74600
Israel,13265,3456,164,164,187250
South Korea,10653,7937,232,55,546463
Japan,10296,1069,222,221,111325
Chile,9730,4035,126,360,108891
Ecuador,9022,1008,456,168,30922
Poland,8742,981,347,160,192960
Romania,8418,1730,421,248,90991
Saudi Arabia,8274,1329,92,78,150000
Pakistan,7638,1832,143,46,92548
Denmark,7242,3847,346,76,91437
Norway,7036,32,164,63,139668
Mexico,6875,2125,546,207,48365
Czech Republic,6606,1227,181,86,162533
Australia,6586,4167,70,55,406510
UAE,6302,1188,37,1,767000
Indonesia,6248,631,535,0,39422
Philippines,6087,516,397,1,56048
Serbia,5994,637,117,126,36028
Singapore,5992,740,11,23,94796
Malaysia,5305,3102,88,49,100794
Ukraine,5106,275,133,45,52534
Qatar,5008,510,8,37,60139
Belarus,4779,342,45,65,86813
Dominican Republic,4335,312,217,146,14373
Panama,4210,122,116,96,18559
Finland,3681,1700,90,70,55600
Colombia,3621,691,166,98,59002
Luxembourg,3537,601,72,32,33252
South Africa,3034,903,52,36,108021
Egypt,3032,701,224,0,55000
Argentina,2839,685,132,127,30942
Thailand,2733,1787,47,61,100498
Morocco,2685,314,137,1,13689
Algeria,2534,894,367,60,3359
Moldova,2378,391,57,80,9848
Greece,2235,269,110,67,53290
Bangladesh,2144,66,84,1,21307
Hungary,1834,231,172,60,43901
Croatia,1832,615,39,27,21647
Bahrain,1773,755,7,3,82568
Iceland,1760,1291,9,3,41091
Kuwait,1751,280,6,34,0
Kazakhstan,1615,377,17,22,100878
Iraq,1513,953,82,0,53955
Estonia,1512,162,38,11,39605
Uzbekistan,1490,194,5,8,136000
New Zealand,1422,867,11,3,79078
Azerbaijan,1373,590,18,21,86607
Slovenia,1317,190,70,27,40580
Bosnia and Herzegovina,1268,338,47,4,16868
Armenia,1248,523,20,30,11796
Lithuania,1239,228,33,14,58816
Oman,1180,176,6,3,0
North Macedonia,1170,164,49,15,11556
Slovakia,1089,213,11,10,40953
Hong Kong,1024,568,4,9,131786
Cameroon,1017,305,42,33,0
Cuba,986,227,32,15,25309
Afghanistan,933,112,30,0,0
Bulgaria,878,153,41,35,26417
Tunisia,866,43,37,33,14640
Ghana,834,99,9,4,60916
Cote d'Ivoire,801,239,8,0,0
Cyprus,761,79,12,8,32284
Djibouti,732,76,2,0,7486
Diamond Princess,712,644,13,7,0
Latvia,712,88,5,5,34697
Andorra,704,205,35,17,1673
Lebanon,672,99,21,30,20225
Costa Rica,655,97,4,10,10138
Niger,639,113,19,0,4715
Burkina Faso,565,321,36,0,0
Albania,548,302,26,5,5311
Nigeria,542,166,19,2,7153
Guinea,518,65,3,0,0
Uruguay,517,298,9,14,12478
Kyrgyzstan,506,130,5,5,26147
Bolivia,493,31,31,3,3569
Channel Islands,484,73,21,0,3320
Honduras,457,10,46,10,2396
San Marino,455,60,39,15,1605
Malta,426,99,3,4,23253
Palestine,418,69,2,0,17329
Jordan,413,269,7,5,20500
Reunion,407,237,0,4,0
Taiwan,398,178,6,0,52445
Georgia,388,86,4,6,5027
Senegal,350,211,3,1,0
Mauritius,325,180,9,3,9755
Congo,307,26,25,0,0
Montenegro,307,55,5,7,3874
Isle of Man,297,180,6,11,2414
Vietnam,268,201,0,8,206253
Kenya,262,60,12,2,10784
Sri Lanka,254,86,7,1,4768
Mayotte,254,117,4,6,1800
Guatemala,235,21,7,3,7200
Venezuela,227,117,9,4,299714
Mali,216,41,13,0,0
Paraguay,202,35,8,1,4950
El Salvador,190,43,7,1,10191
Faeroe Islands,184,173,0,0,5981
Martinique,163,73,12,11,0
Jamaica,163,25,5,0,1516
Guadeloupe,148,73,8,13,0
Tanzania,147,11,5,4,0
Rwanda,144,69,0,0,6237
