country,cases,recovered,deaths,critical,tests
World,144425226,122893820,3071092,109837,0
China,90541,85600,4636,6,160000000
USA,32602051,25177434,583330,10009,433439646
India,15924806,13449406,184672,8944,271053392
Brazil,14122795,12646132,381687,8318,28600000
France,5374288,4218607,101881,5959,72936321
Russia,4727125,4352873,106706,2300,126500000
Turkey,4446591,3844342,36975,3398,44728595
UK,4395703,4166734,127327,300,146043397
Italy,3904899,3311267,117997,3076,55885251
Spain,3446072,3151587,77364,2288,44374223
Germany,3208672,2824100,81382,4932,52737238
Argentina,2769552,2424675,60083,4492,10421935
Poland,2718493,2366230,63473,3265,13767550
Colombia,2701313,2521944,69596,5306,14052886
Iran,2311813,1823958,67913,4991,14739719
Mexico,2311172,1836377,213048,4798,6438267
Ukraine,1974118,1514472,40796,177,8996039
Peru,1726806,1653411,58261,2628,10582462
Indonesia,1620569,1475456,44007,0,14032928
Czech Republic,1609890,1520050,28762,861,16239529
South Africa,1569935,1495864,53940,546,10413180
Netherlands,1426243,1190841,16983,817,11781337
Canada,1147464,1037898,23763,1312,30274366
Chile,1141403,1074827,25353,3401,12508296
Romania,1037009,954868,26793,1436,7985507
Iraq,1001854,877309,15098,517,8938639
Philippines,962307,829608,16265,750,11294085
Belgium,955056,813224,23834,946,12051821
Sweden,924340,744405,13863,416,8151774
Israel,837492,829127,6346,173,14014683
Portugal,832255,790650,16952,110,9958289
Pakistan,772381,672619,16600,4528,11319832
Hungary,757360,464750,25787,925,5179517
Bangladesh,732060,635183,10683,0,5249683
Jordan,695390,654493,8429,729,6546769
Serbia,670801,604174,6095,228,3726602
Switzerland,642131,573786,10546,226,6663629
Austria,600089,563256,9997,557,29335166
Japan,541496,488944,9710,791,11079602
Lebanon,515088,433987,7027,721,3870650
Morocco,507338,493353,8969,218,6186340
UAE,502791,485078,1561,0,42293166
Saudi Arabia,408038,391362,6858,1145,16352116
Bulgaria,392913,318208,15618,786,2405956
Malaysia,381813,358726,1400,248,8783027
Slovakia,377473,255300,11304,411,2520570
Ecuador,362843,309541,17804,650,1236484
Panama,361678,351582,6196,105,2321435
Belarus,347316,337620,2453,0,5705532
Greece,323639,278690,9713,831,7629407
Croatia,313423,291351,6692,230,1723697
Azerbaijan,305933,269965,4235,0,3141335
Georgia,299038,282869,3971,0,3946720
Kazakhstan,294946,252598,3459,221,9653519
Tunisia,291833,242238,9993,493,1249409
Bolivia,291675,240336,12695,71,1070832
Nepal,289787,276093,3112,0,2369401
Palestine,286028,254199,3096,165,1698129
Dominican Republic,262404,219645,3435,188,1378669
