country,cases,recovered,deaths,critical,tests
World,212766195,190242079,4445507,111520,0
China,94631,88247,4636,30,160000000
USA,38703462,30496251,646261,23319,567250481
India,32448969,31673103,434784,8944,506256239
Brazil,20570891,19448816,574574,8318,56580445
Russia,6747087,6019466,176044,2300,174600000
France,6619611,6038536,113311,1807,111773788
UK,6492667,5056571,131640,928,262395887
Turkey,6215663,5708549,54533,633,73815446
Argentina,5133831,4814020,110352,3298,21325706
Colombia,4889537,4718500,124216,8155,23754923
Spain,4786385,4136453,83270,1818,59650532
Iran,4677114,3932472,102038,7662,27666082
Italy,4484611,4220924,128751,472,82003364
Indonesia,3979456,3546324,126372,0,30582833
Germany,3876024,3698600,92478,712,68329706
Mexico,3217415,2538007,252927,4798,9404287
Poland,2886698,2656143,75316,36,19452993
South Africa,2690973,2444409,79421,546,16003114
Ukraine,2274561,2200999,53457,177,11816619
Peru,2142153,0,197879,1459,16425523
Netherlands,1918769,1815721,17952,208,16378211
Philippines,1839314,1681541,31810,2936,18111151
Iraq,1825089,1659168,20184,1017,13998326
Czech Republic,1677512,1645504,30385,11,35196105
Chile,1633816,1590252,36650,842,19843774
Malaysia,1555093,1278670,14168,1026,21424251
Canada,1468813,1417263,26792,274,39731231
Bangladesh,1461998,1363874,25282,1422,8649517
Japan,1278068,1052221,15596,1891,20607298
Belgium,1165338,1085010,25327,178,18240201
Pakistan,1123812,1009555,24923,5301,17222569
Sweden,1116584,1082215,14629,30,11536406
Romania,1090925,1051987,34412,190,11190628
Thailand,1049295,839636,9320,5615,8129670
Portugal,1019420,956316,17639,152,16510990
Israel,993211,917818,6830,669,18379345
Morocco,810949,724545,11792,1442,8642296
Hungary,810781,769777,30046,11,6467683
Jordan,789474,766871,10293,652,8997227
Switzerland,752766,700097,10941,146,9481152
Nepal,747433,698173,10509,0,3830691
Serbia,742313,715825,7214,31,4903335
Kazakhstan,736906,610719,8302,221,11575012
UAE,709378,690926,2020,0,71909314
Austria,676526,653564,10762,69,73832634
Tunisia,640897,592041,22537,630,2469723
Lebanon,592156,544863,8011,54,4759054
Cuba,583299,530211,4544,505,7490885
Greece,559186,508081,13351,318,14730200
Saudi Arabia,541994,528636,8481,1156,26897052
Georgia,514744,448288,6771,0,7692482
Ecuador,498614,443880,32085,759,1719064
Bolivia,486394,426861,18296,220,2222203
Belarus,469717,463599,3681,0,7660634
Paraguay,457725,435179,15571,180,1751877
Panama,452598,436285,7009,108,3587112
Costa Rica,443962,356152,5342,420,1968955
Bulgaria,441295,401642,18475,202,4014833
Guatemala,439253,377554,11500,5,2093500
Kuwait,408245,401317,2404,153,3675455
Slovakia,394082,380493,12547,11,3276924
Azerbaijan,391506,345783,5308,0,4319841
Sri Lanka,390000,323390,7366,0,4575585
Uruguay,384094,376711,6016,18,3270618
Myanmar,373685,298875,14374,0,3426209
Croatia,369765,358769,8301,35,2466573
Vietnam,348176,147667,8277,0,15271562
Dominican Republic,347835,338997,3989,133,1928791
Denmark,337466,321556,2566,20,79692682
Ireland,337117,285451,5074,59,6415912
Honduras,327825,105222,8622,552,945963
Palestine,326310,314452,3637,31,2074147
Venezuela,325716,311746,3895,681,3359014
Oman,301299,290144,4031,89,1550000
Ethiopia,295804,269132,4561,484,3164055
Libya,295254,213200,4051,0,1468653
Lithuania,293772,276035,4488,93,4315168
Egypt,286352,235864,16671,90,3068679
Bahrain,271631,269260,1386,6,5781405
Moldova,264432,255279,6363,42,1528763
Slovenia,263548,255680,4440,17,1426873
Armenia,237634,224254,4752,0,1483890
South Korea,236366,206276,2215,395,12664343
Qatar,230837,227445,601,20,2453234
Kenya,229009,212036,4497,149,2312027
Bosnia and Herzegovina,209782,192218,9731,0,1113991
Zambia,204549,198559,3574,170,2222483
Mongolia,193684,182885,898,192,3647780
Algeria,191583,129950,5004,37,230861
Nigeria,187023,168455,2268,11,2648684
Kyrgyzstan,173920,166308,2484,131,1628196
North Macedonia,168872,152098,5668,0,1108429
Afghanistan,152583,108262,7076,1124,748284
Uzbekistan,149058,141745,1021,23,1377915
Norway,148826,88952,811,6,6950992
Botswana,146461,134260,2081,1,1599459
Mozambique,142784,126041,1800,32,827241
Latvia,141045,136788,2569,10,3307899
Albania,139324,131273,2478,3,1003079
Estonia,138807,131553,1281,13,1713046
Namibia,123581,118085,3342,41,646571
Zimbabwe,122652,106810,4249,12,1225474
Finland,122046,46000,1008,29,6326177
Uganda,118673,95325,2952,527,1550386
Ghana,114584,106969,968,53,1544519
Cyprus,111333,90755,483,92,9366973
Montenegro,109962,102065,1671,11,587257
El Salvador,92686,79029,2840,152,1192402
Cambodia,89231,85081,1792,0,2048560
Rwanda,83023,45222,1021,42,2313938
Cameroon,82454,80433,1338,152,1751774
Maldives,79959,78076,223,18,1296918
Luxembourg,74985,73467,830,3,3375755
Senegal,71927,57394,1671,50,718325
Singapore,66478,65601,49,7,16926698
Jamaica,61833,47721,1388,56,531130
Malawi,59471,45552,2074,285,376943
Congo,54009,30858,1053,0,306299
Cote d'Ivoire,53645,52405,395,0,864834
Reunion,46754,42770,310,33,173764
Angola,45945,42384,1153,8,830836
Australia,44028,31593,981,90,29437845
Fiji,43597,23809,438,310,361007
Trinidad and Tobago,43033,36468,1225,22,296840
Madagascar,42845,41274,954,16,237216
Eswatini,40455,29710,1004,10,301853
Guadeloupe,40018,2250,324,23,335167
Sudan,37640,31593,2822,0,238579
French Polynesia,36372,29176,257,38,26355
Malta,35774,34275,436,3,1162291
Cabo Verde,34738,33806,303,23,205858
French Guiana,33060,9995,204,23,347345
Mauritania,31822,28167,673,16,426104
Martinique,31369,104,243,1,292898
Guinea,28802,26212,314,24,529762
Suriname,27503,23258,699,14,99435
Syria,26901,22287,1971,0,103566
Gabon,25667,25437,165,5,1054727
Guyana,24336,22364,594,16,254453
Haiti,20719,16679,583,0,105799
Mayotte,19664,2964,175,1,176919
Togo,19614,16105,172,0,446467
Seychelles,19390,18650,101,0,21504
Papua New Guinea,17832,17547,192,7,150870
Bahamas,17278,13704,330,16,128688
Somalia,16787,8077,918,0,190581
Tajikistan,16423,16174,124,0,0
Taiwan,15926,14847,828,0,4650570
Belize,15415,14149,351,6,206689
Andorra,14988,14729,129,7,193595
Curaçao,14937,14240,137,4,222464
Mali,14757,14053,536,0,371233
Lesotho,14371,6763,400,0,146215
Timor-Leste,14216,10904,48,0,169501
Aruba,14003,13130,126,14,177885
Burkina Faso,13713,13461,171,0,209088
Congo,13398,12421,179,0,188207
Laos,12469,4604,11,0,358190
Hong Kong,12058,11766,212,0,22744169
Djibouti,11696,11527,157,0,202964
South Sudan,11310,10948,120,0,209687
CAR,11251,6859,99,2,60228
Burundi,10791,773,38,0,345742
Nicaragua,10672,4225,198,0,0
Channel Islands,10204,9618,93,0,785170
Benin,10183,8402,119,5,604310
Iceland,10115,9066,30,22,942225
Gambia,9439,8865,296,3,101817
Equatorial Guinea,9049,8803,123,0,187519
Yemen,7509,4644,1418,23,217824
Saint Lucia,7111,5694,97,4,65420
Mauritius,7070,1854,22,0,358675
Eritrea,6623,6565,37,0,23693
Sierra Leone,6355,4342,121,0,160729
Isle of Man,6312,5765,37,1,83753
Niger,5770,5490,196,0,139342
Guinea-Bissau,5518,4592,103,4,89236
Liberia,5459,2715,148,2,128246
Gibraltar,5287,5074,96,6,330131
San Marino,5260,5119,90,1,74459
Chad,4985,4805,174,0,136887
Barbados,4640,4454,48,0,247193
Comoros,4050,3888,147,0,0
Sint Maarten,3394,3037,42,2,37841
Liechtenstein,3223,3076,59,3,49126
Monaco,3133,3000,33,6,54960
Saint Martin,3094,1399,41,7,52859
New Zealand,3016,2874,26,5,2692087
Bermuda,2750,2593,33,1,436268
Turks and Caicos,2612,2503,20,1,94789
Bhutan,2585,2553,3,0,798573
British Virgin Islands,2568,2500,37,7,77252
Sao Tome and Principe,2524,2403,37,0,14689
St. Vincent Grenadines,2320,2261,12,2,64768
Caribbean Netherlands,1774,1721,17,0,20707
Brunei,1769,419,3,0,201057
Antigua and Barbuda,1490,1299,43,9,17409
St. Barth,1489,462,2,0,38369
Tanzania,1367,183,50,7,0
Dominica,1339,794,1,0,41298
Faeroe Islands,995,988,2,0,396000
Saint Kitts and Nevis,823,604,3,1,28471
Diamond Princess,712,699,13,0,0
Cayman Islands,663,649,2,0,124033
Wallis and Futuna,445,438,7,0,20508
Greenland,298,212,0,2,54121
Grenada,222,182,1,0,54402
Anguilla,166,135,0,0,37111
New Caledonia,135,58,0,0,41120
Falkland Islands,66,63,0,0,7409
Macao,63,59,0,0,4739
Saint Pierre Miquelon,30,30,0,0,7800
Vatican City,27,27,0,0,0
Montserrat,25,20,1,0,1408
Solomon Islands,20,20,0,0,4500
Western Sahara,10,8,1,0,0
MS Zaandam,9,7,2,0,0
Vanuatu,4,3,1,0,23000
Marshall Islands,4,4,0,0,0
Samoa,3,3,0,0,0
Saint Helena,2,2,0,0,0
Micronesia,1,1,0,0,0
Total:,67815652,63095487,997858,41533,0
Total:,46383233,36868190,975131,30444,0
Total:,36607736,34342310,1121031,23983,0
Total:,54217925,49155444,1159912,10197,0
Total:,7595471,6674416,189658,4913,0
Total:,145457,105526,1902,450,0
Total:,721,706,15,0,0
Total:,212766195,190242079,4445507,111520,0
