country,cases,recovered,deaths,critical,tests
World,200237084,180509636,4258784,92417,0
China,93193,87400,4636,24,160000000
USA,36049015,29756586,630497,12446,539225318
India,31767965,30925348,425789,8944,471294789
Brazil,19986073,18746865,558597,8318,55034721
Russia,6334195,5659746,160925,2300,166500000
France,6178632,5717788,111993,1331,106678951
UK,5923820,4552631,129881,895,247196932
Turkey,5795665,5472089,51645,543,68646664
Argentina,4961880,4606026,106447,3767,19653400
Colombia,4807979,4606140,121484,8155,22704369
Spain,4523310,3752225,81773,1867,57177901
Italy,4363374,4141043,128115,258,78004897
Iran,3979727,3424650,91785,5793,25857430
Germany,3782326,3658300,92208,377,67083026
Indonesia,3496700,2873669,98889,0,26879023
Poland,2883284,2653934,75265,40,18703666
Mexico,2861498,2241868,241585,4798,8498355
South Africa,2470746,2250708,72992,546,14971894
Ukraine,2254361,2187703,52981,177,11424130
Peru,2116652,0,196598,1755,15617865
Netherlands,1872093,1671277,17832,193,16061819
Czech Republic,1673926,1641074,30378,11,33237284
Iraq,1660371,1488186,18865,901,13228019
Chile,1618457,1574176,35640,1343,18817522
Philippines,1612541,1521263,28141,2026,16861421
Canada,1433782,1399430,26607,231,38466868
Bangladesh,1296093,1125045,21397,1381,7899169
Malaysia,1163291,950029,9598,1066,18400900
Belgium,1129018,1059896,25247,97,17350290
Sweden,1101900,1076639,14620,26,11373506
Romania,1083711,1047915,34297,60,10606423
Pakistan,1043277,944375,23529,3398,16158330
Portugal,974203,909330,17397,204,15464290
Japan,944763,847873,15204,754,18623176
Israel,882798,853260,6495,229,16659252
Hungary,809672,749461,30029,10,6352215
Jordan,773657,752349,10071,629,8562322
Serbia,723031,710971,7127,9,4697822
Switzerland,720743,692431,10907,44,9133234
Nepal,702097,660116,9922,0,3633118
UAE,685462,662660,1960,0,66708555
Austria,660262,644038,10742,33,67488430
Thailand,652185,437831,5315,4893,8129670
Morocco,642683,574918,9949,689,7716173
Tunisia,596775,521335,20226,630,2278470
Kazakhstan,595433,489135,6153,221,11575012
Lebanon,564354,537653,7917,54,4731376
Saudi Arabia,528952,510107,8270,1433,25337033
Greece,501030,456084,12972,191,13025244
Ecuador,487702,443880,31644,759,1688466
Bolivia,474538,409768,17859,200,2078150
Paraguay,453367,422995,15135,311,1691847
Belarus,448335,442380,3483,0,7330744
Panama,437744,418935,6851,133,3395127
Georgia,428670,388893,5910,0,6877865
Bulgaria,426003,398669,18225,86,3671636
Cuba,413251,364236,2993,357,6648722
Costa Rica,411123,334117,5070,381,1796836
Kuwait,400128,387832,2345,285,3444674
Slovakia,392751,379599,12541,8,3160527
Uruguay,381853,374044,5976,49,3080052
Guatemala,373047,328765,10483,5,1895081
Croatia,363973,354695,8267,11,2316301
Azerbaijan,345882,333492,5034,0,4060235
Dominican Republic,342850,324480,3968,180,1846343
Denmark,319295,305519,2550,8,76724043
Palestine,317264,312289,3609,9,2005820
Sri Lanka,316219,282770,4645,0,4254600
Myanmar,311067,220887,10373,0,3196116
Venezuela,308452,293672,3637,424,3359014
Ireland,304310,269271,5035,29,4729538
Honduras,300572,101644,7902,678,887845
Oman,297431,280927,3877,210,1550000
Egypt,284415,232060,16540,90,3068679
Lithuania,283656,269662,4420,32,4064968
Ethiopia,281300,263885,4395,283,3034839
Bahrain,269495,267096,1384,5,5493897
Moldova,259828,252283,6261,73,1424087
Slovenia,259486,253861,4429,9,1395206
Libya,258467,194217,3609,0,1326108
Armenia,230713,220289,4621,0,1357957
Qatar,226710,224129,601,22,2348938
Bosnia and Herzegovina,205825,189697,9689,0,1077957
Kenya,205356,190095,3995,190,2149376
South Korea,202203,177909,2104,331,11820016
Zambia,197123,189341,3422,403,2104430
Nigeria,175264,165122,2163,11,2542261
Algeria,175229,117557,4370,29,230861
Vietnam,170190,50831,2071,0,11890084
Mongolia,167229,158685,827,192,3446882
Kyrgyzstan,165540,149171,2354,195,1544983
North Macedonia,156543,150422,5494,0,989214
Afghanistan,148933,100896,6836,1124,715311
Latvia,139037,135690,2556,9,3154152
Norway,138740,88952,799,3,6586068
Estonia,133978,129052,1273,2,1626167
Albania,133211,130291,2457,3,916777
Uzbekistan,131978,125572,893,23,1377915
Mozambique,126391,96446,1500,32,751489
Namibia,119797,96341,3080,75,617595
Botswana,115220,96964,1653,1,1514979
Zimbabwe,112435,81570,3676,33,1113666
Finland,108358,46000,982,7,5949846
Ghana,105512,98392,844,17,1448507
Cyprus,103314,80178,429,85,9366973
Montenegro,102403,99105,1631,6,513394
Uganda,94537,85937,2725,626,1479471
El Salvador,87498,76670,2663,126,1148242
Cameroon,82064,80433,1334,152,1751774
Cambodia,79051,72145,1471,0,1823198
Maldives,77758,75065,222,11,1190688
Luxembourg,74042,72217,822,7,3298697
Rwanda,72841,44887,844,53,2100504
Singapore,65315,63252,38,7,16206203
Senegal,64024,48378,1394,63,656014
Jamaica,53543,47078,1203,35,500951
Malawi,53503,39047,1700,285,344462
Congo,50529,30043,1045,0,271441
Cote d'Ivoire,50499,49553,332,0,794606
Angola,43070,39389,1022,8,681443
Madagascar,42674,41173,943,31,228175
Reunion,40245,35563,288,45,103924
Trinidad and Tobago,39162,32305,1101,22,274460
Sudan,37138,30867,2776,0,234414
Australia,34833,30397,925,59,25547468
Malta,34508,32145,423,5,1099963
Cabo Verde,33858,33128,298,23,199516
Fiji,32733,9644,261,40,323242
French Guiana,30449,9995,189,31,326264
Eswatini,27467,21821,813,10,258885
Mauritania,26555,22705,576,16,376757
Syria,26026,22011,1918,0,103566
Guinea,25992,24358,234,24,500187
Suriname,25549,21913,654,25,92178
Gabon,25405,25191,164,6,987311
Guyana,22643,22327,549,12,228511
French Polynesia,20859,19416,154,5,26355
Haiti,20307,14724,560,0,99119
Guadeloupe,19503,2250,242,23,256597
Mayotte,19503,2964,174,0,176919
Martinique,19149,104,111,1,224685
Seychelles,18384,17874,94,0,21504
Papua New Guinea,17774,17384,192,7,147433
Togo,16053,14592,155,0,409490
Taiwan,15721,14183,791,0,3887162
Somalia,15594,7633,828,0,171479
Tajikistan,15293,14788,121,0,0
Bahamas,15011,12619,291,14,120823
Andorra,14766,14348,128,0,193595
Mali,14595,13960,534,0,348194
Belize,14284,13514,338,4,185987
Curaçao,13757,13023,127,4,186525
Lesotho,13603,6664,377,0,136956
Burkina Faso,13591,13385,169,0,204235
Congo,13216,12421,178,0,188207
Hong Kong,11995,11719,212,0,21390075
Aruba,11877,11220,111,14,177885
Djibouti,11655,11491,156,0,192966
Timor-Leste,11100,9990,26,0,95473
South Sudan,11076,10514,120,0,174045
Nicaragua,9853,4225,196,0,0
Channel Islands,9443,8282,89,0,727234
Equatorial Guinea,8911,8696,123,1,171690
Benin,8394,8136,108,5,604310
Gambia,8296,7122,227,3,91290
Iceland,8233,6899,30,16,872060
Burundi,7518,773,38,0,345742
CAR,7151,6859,98,2,54814
Yemen,7086,4232,1380,23,162134
Laos,7015,3392,7,0,311846
Eritrea,6564,6472,35,0,23693
Sierra Leone,6292,4281,120,0,160358
Niger,5658,5349,196,0,130967
Saint Lucia,5652,5390,89,2,59805
Liberia,5459,2715,148,2,128246
San Marino,5147,5009,90,0,71492
Gibraltar,5031,4644,94,13,313069
