country,cases,recovered,deaths,critical,tests
World,210801733,188744576,4416418,108278,0
China,94546,88044,4636,67,160000000
USA,38231787,30390669,643112,21331,563367465
India,32358210,31554132,433622,8944,500813431
Brazil,20494212,19393047,572733,8318,56580445
Russia,6684531,5963054,173700,2300,173600000
France,6557356,5990572,113103,1807,111773788
UK,6392160,4955689,131373,909,260042346
Turkey,6157772,5666562,53891,633,72974141
Argentina,5116803,4785379,109841,3476,21095350
Colombia,4880516,4706978,123901,8155,23587059
Spain,4758003,4058425,83004,1847,59650532
Iran,4587683,3840568,100255,7538,27579653
Italy,4464005,4204869,128634,460,81351951
Indonesia,3930300,3472915,122633,0,30031689
Germany,3854509,3693400,92447,621,68329706
Mexico,3152205,2486658,250469,4798,9230161
Poland,2886079,2655781,75311,46,19297919
South Africa,2652652,2411753,78694,546,15821074
Ukraine,2270226,2199118,53368,177,11749847
Peru,2138666,0,197716,1478,16284168
Netherlands,1911699,1796216,17933,201,16378211
Iraq,1809376,1632646,19958,934,13912862
Philippines,1790569,1647756,30881,2716,17885274
Czech Republic,1677037,1644897,30384,13,34870152
Chile,1631689,1588236,36524,938,19662640
Malaysia,1489460,1220446,13480,1060,20972528
Canada,1462906,1414266,26783,274,39653674
Bangladesh,1447210,1337181,24878,1447,8559054
Japan,1202185,1011867,15501,1765,20220035
Belgium,1159366,1080579,25305,172,18149022
Sweden,1115566,1081163,14626,30,11536406
Pakistan,1113647,999403,24713,4939,17063290
Romania,1089189,1050969,34379,153,11083705
Portugal,1012125,949703,17613,141,16378600
Thailand,989859,775327,8586,5615,8129670
Israel,970606,902020,6752,599,18138671
Hungary,810781,769777,30046,11,6467683
Morocco,791559,698472,11472,1317,8527136
Jordan,787367,764987,10264,661,8924446
Switzerland,750186,698619,10934,146,9454995
Nepal,742228,691299,10429,0,3803015
Serbia,737969,714735,7188,28,4870940
Kazakhstan,715716,591964,7988,221,11575012
UAE,706166,686025,2012,0,70987563
Austria,672819,651560,10760,68,72867745
Tunisia,632328,584696,22304,630,2434016
Lebanon,588578,543790,7999,54,4759054
Cuba,554247,504599,4319,486,7338692
Greece,550459,499097,13265,286,14451763
Saudi Arabia,540743,526436,8449,1234,26708643
Georgia,501297,436977,6590,0,7565339
Ecuador,495115,443880,31985,759,1719064
Bolivia,484446,424168,18236,200,2200602
Belarus,465210,459090,3649,0,7603034
Paraguay,457349,434302,15508,190,1742625
Panama,450624,433831,6990,107,3558032
Bulgaria,438698,401046,18438,194,3966443
Costa Rica,438587,353231,5296,420,1957788
