country,cases,recovered,deaths,critical,tests
World,22850164,15508345,796538,61822,0
China,84895,79745,4634,24,90410000
USA,5746272,3095484,178030,16817,73868332
Brazil,3505097,2653407,112423,8318,13748152
India,2904329,2157941,54975,8944,32661252
Russia,942106,755513,16099,2300,33500000
South Africa,599940,497169,12618,539,3480283
Peru,567059,380730,27034,1519,2852011
Mexico,537031,367537,58481,3480,1211552
Colombia,513719,339124,16183,1493,2374898
Spain,404229,0,28813,522,7955615
Chile,391849,366063,10671,1077,2113632
Iran,352558,304236,20264,3869,2939840
UK,322280,0,41403,70,15177265
Argentina,320884,233651,6517,1832,1030992
Saudi Arabia,303973,275476,3548,1682,4501104
Pakistan,290958,272804,6209,725,2363752
Bangladesh,287959,168991,3822,0,1407556
Italy,256118,204686,35418,68,7790596
Turkey,254520,234797,6058,735,6061930
Germany,231284,204800,9324,231,10197366
France,229814,84065,30480,384,6000000
Iraq,192797,137200,6208,614,1368727
Philippines,177579,113903,2881,717,2193448
Indonesia,147211,100674,6418,0,1969941
Canada,123873,110288,9054,61,4974215
Qatar,116224,112924,193,64,572273
Ecuador,105508,87660,6200,331,297376
Bolivia,105050,39965,4233,71,222251
Kazakhstan,103815,86450,1415,221,2291327
Israel,99599,74579,795,389,2180096
Ukraine,98537,50441,2184,177,1356698
Egypt,97025,63462,5212,41,135000
Dominican Republic,89010,57734,1505,288,335478
Sweden,86068,0,5805,27,1030010
Panama,83855,59174,1844,154,287300
Oman,83769,78386,609,151,309212
Belgium,79479,18078,9969,83,2049976
Kuwait,78767,70642,509,94,577588
Romania,74963,34196,3154,489,1591015
Belarus,69950,67929,627,0,1437110
Guatemala,65983,54351,2506,5,213204
UAE,65802,58153,369,0,6265918
Netherlands,65054,0,6191,51,1312787
Poland,59378,40481,1925,85,2409394
Japan,58501,45266,1144,237,1259422
Singapore,56099,53119,27,0,1745928
Portugal,54992,40264,1788,39,1880235
Honduras,52298,7867,1608,43,127946
Nigeria,50964,37569,992,7,352625
Bahrain,48303,44628,179,37,1011805
Morocco,47638,32806,775,31,1670569
Ghana,43260,41276,261,5,431272
Kyrgyzstan,42507,35486,1054,24,267718
Armenia,42319,35476,836,0,190560
Algeria,40258,28281,1411,41,0
Switzerland,39026,33900,1998,15,910283
Afghanistan,37856,27681,1385,31,100138
Venezuela,37567,26330,311,85,1678639
Uzbekistan,37547,33261,252,410,1377915
Ethiopia,35836,13536,620,216,694093
Azerbaijan,34759,32511,510,0,855802
Moldova,31937,21885,921,362,183923
Kenya,31441,17869,516,44,398585
Costa Rica,31075,9939,333,128,126337
Serbia,30209,27908,689,52,842441
