country,cases,recovered,deaths,critical,tests
World,76605829,53738440,1691155,106506,0
China,86806,81865,4634,7,160000000
USA,18078009,10545445,323404,27963,232596953
India,10031659,9579681,145513,8944,160090514
Brazil,7213155,6222764,186356,8318,25700000
Russia,2819429,2254742,50347,2300,84904111
France,2460555,183571,60418,2727,30346777
Turkey,2004285,1779068,17851,5501,22280635
UK,2004219,0,67075,1364,49579548
Italy,1938083,1249470,68447,2784,24991705
Spain,1817448,0,48926,1920,24918644
Argentina,1537169,1362617,41763,3452,4464725
Colombia,1496062,1362543,40268,2578,7448885
Germany,1493961,1085500,26414,4939,31974158
Mexico,1301546,962397,117249,3890,3333868
Poland,1194110,927723,25254,1695,6839477
Iran,1152072,875943,53448,5591,6995726
Peru,995899,930410,37034,1083,5361432
Ukraine,956123,574536,16469,177,5209462
South Africa,912477,787782,24539,546,6100373
Netherlands,676673,0,10459,560,5253381
Indonesia,657948,536260,19659,0,6738451
Belgium,621039,42646,18455,546,6533454
Czech Republic,618859,533171,10295,589,3504884
Romania,587944,493379,14296,1274,4587552
Chile,583354,554333,16101,672,6011883
Iraq,583118,519005,12680,184,4112751
Canada,501594,411396,14154,694,13033803
Bangladesh,499560,435601,7242,0,3062364
Philippines,458035,421054,8911,708,6405964
Pakistan,454673,404501,9250,2486,6264135
Morocco,415226,375623,6909,1066,4287640
Switzerland,403989,311500,6602,437,3256315
Israel,372886,345589,3074,447,7057808
Portugal,370787,294814,6063,485,5186675
Sweden,367120,0,7993,281,3989420
Saudi Arabia,360848,351722,6112,425,10606370
Austria,337209,300611,5209,489,3568286
Hungary,300022,93323,7914,538,2480804
Serbia,296528,31536,2632,326,2130707
Jordan,272797,239126,3545,334,2944337
Nepal,253184,242567,1777,0,1866210
Panama,209584,171745,3527,182,1149983
Georgia,206907,175842,2055,0,1797437
Ecuador,205920,177951,13948,359,711543
Azerbaijan,199127,135462,2175,0,2049239
Japan,193031,163308,2828,598,4333017
Croatia,192987,169768,3101,306,941420
UAE,192404,168129,634,0,19237804
Bulgaria,191029,98026,6551,542,1100834
Belarus,171579,149353,1316,0,3748073
Dominican Republic,159064,123284,2382,259,818104
Costa Rica,157472,125488,1996,254,453805
Lebanon,156570,110535,1270,420,1820011
Armenia,153173,131931,2616,0,564183
Slovakia,149275,106361,1510,304,1295720
Bolivia,149149,127540,9033,71,386306
Kuwait,147775,143641,918,57,1214147
Kazakhstan,145932,129952,2147,221,4871752
Qatar,141858,139521,243,21,1192295
Moldova,134578,117002,2727,264,526159
Guatemala,132595,120715,4624,5,605443
Denmark,131606,89570,1019,86,9260508
Greece,130485,9989,4102,534,3107673
Oman,127019,119009,1483,43,571472
Egypt,124891,106481,7069,90,1000000
Palestine,121216,96461,1117,128,811033
Ethiopia,119494,102153,1846,258,1738290
Tunisia,119151,87884,4126,287,541456
Honduras,116212,54002,3023,112,291355
Myanmar,115187,94118,2424,0,1574128
Venezuela,109781,104208,984,54,2380317
Lithuania,109432,50587,1005,198,1493171
Bosnia and Herzegovina,105524,70620,3625,0,483053
Slovenia,105013,82541,2314,204,624140
Paraguay,99157,70943,2072,177,522786
Algeria,94781,62869,2659,42,0
Kenya,94151,75559,1633,52,1003493
Libya,93772,63886,1346,0,504092
Malaysia,91969,76242,433,112,3082729
Bahrain,90062,88178,349,9,2252164
Kyrgyzstan,78911,72459,1328,94,563868
Ireland,78776,23364,2154,29,2187167
North Macedonia,77949,53345,2274,138,379229
Nigeria,77933,67784,1218,10,874617
Uzbekistan,75806,73099,612,171,1377915
Singapore,58403,58274,29,0,5031065
Ghana,53653,52331,331,15,636366
Albania,52542,27831,1074,39,232389
Afghanistan,50536,38799,2054,93,178954
South Korea,48570,34334,659,275,3646247
Luxembourg,44067,35237,440,43,1585510
Montenegro,43709,33788,624,68,162961
Norway,43582,37658,404,34,2584584
El Salvador,43195,39016,1242,85,597047
Sri Lanka,36667,27552,171,0,1086062
Finland,32853,22500,489,30,2303406
Uganda,30702,10360,230,0,707418
Latvia,30297,20534,427,52,780983
Australia,28128,25701,908,0,10535036
Cameroon,25724,23851,445,50,149000
Sudan,22621,13024,1425,0,0
Cote d'Ivoire,21890,21451,133,0,243027
Estonia,21219,13488,170,33,577314
Zambia,18620,17756,373,0,518986
Namibia,18437,15849,171,27,186883
Senegal,17670,16493,361,25,253216
Madagascar,17587,16992,259,16,96565
Mozambique,17477,15451,147,0,256524
Cyprus,17476,2057,89,16,681603
Angola,16626,9518,386,10,171247
French Polynesia,16182,4842,103,21,26355
Congo,15397,13310,369,0,0
Guinea,13532,12905,80,24,93906
Maldives,13474,12878,48,47,286354
Botswana,13014,10535,38,1,495696
Tajikistan,12923,12374,89,0,0
Uruguay,12557,8002,114,49,552704
French Guiana,12369,9995,71,3,95865
Mauritania,12278,8545,273,57,121358
Zimbabwe,12151,9984,318,0,196462
Jamaica,12135,8812,285,10,130907
Malta,11621,9881,187,18,481709
Cabo Verde,11567,11215,111,23,107404
Syria,10050,4737,601,0,0
Cuba,10024,8976,137,11,1316973
Belize,10023,8266,216,5,53762
Haiti,9674,8336,234,0,39265
Gabon,9400,9254,64,3,340013
