country,cases,recovered,deaths,critical,tests
World,64179836,44431218,1485785,106026,0
China,86542,81631,4634,8,160000000
USA,14108606,8333255,276979,25722,196207048
India,9499710,8931798,138159,8944,141349298
Brazil,6388526,5656498,173862,8318,25700000
Russia,2322056,1803467,40464,2300,76755901
France,2230571,164029,53506,3605,20669628
Spain,1673202,0,45511,2578,22992742
UK,1643086,0,59051,1415,43729581
Italy,1620901,784595,56361,3663,22127199
Argentina,1432570,1263251,38928,3946,3926286
Colombia,1324792,1217647,36934,2376,6479003
Mexico,1113543,823586,105940,3335,2866225
Germany,1085661,758800,17359,3926,27859242
Poland,999924,597589,17599,2032,6275392
Iran,975951,677963,48628,5840,6168637
Peru,965228,896978,36031,958,5085775
South Africa,792299,732531,21644,546,5383078
Ukraine,745123,355172,12548,177,4528772
Turkey,668957,409320,13936,5303,18772604
Belgium,577345,37474,16645,900,5906234
Iraq,554767,484570,12306,274,3512920
Chile,552864,528034,15430,695,5357133
Indonesia,543975,454879,17081,0,5746979
Czech Republic,528474,455177,8407,689,3085514
Netherlands,527523,0,9438,501,4043482
Romania,479634,360934,11530,1259,4122192
Bangladesh,467225,383224,6675,0,2788202
Philippines,432919,398773,8418,1401,5804014
Pakistan,400482,343286,8091,2165,5549779
Canada,383468,304888,12211,492,11573322
Morocco,359844,310193,5915,1036,3974785
Saudi Arabia,357623,347176,5907,649,9662314
Israel,338127,324449,2877,264,5605071
Switzerland,330874,250200,4940,497,2753942
Portugal,300462,220877,4577,521,4353234
Austria,285489,227497,3325,691,3121510
Sweden,260758,0,6798,221,3174798
Nepal,233452,216594,1529,0,1746330
Jordan,223617,162959,2802,426,2577281
Hungary,221073,64802,4977,662,1653780
Ecuador,193673,169804,13501,375,655192
Serbia,183437,31536,1652,269,1800419
UAE,170149,155667,576,0,16857641
Panama,167311,145518,3098,166,916423
Bulgaria,148775,53000,4188,493,982307
Japan,148694,125470,2139,493,3545916
Bolivia,144708,121702,8957,71,361298
Dominican Republic,144302,115530,2333,183,720805
Kuwait,142992,137625,881,82,1101146
Costa Rica,140172,87721,1731,224,398784
Georgia,139343,117560,1303,0,1183319
Qatar,139001,136306,238,30,1116081
Belarus,138219,115587,1166,0,3279137
Armenia,135967,110365,2193,0,512617
Kazakhstan,132348,116863,1990,221,4206738
Croatia,131342,108231,1861,245,759014
Lebanon,129455,83034,1033,361,1632412
Azerbaijan,125602,76897,1433,0,1746198
Oman,123908,115441,1430,105,571472
Guatemala,122774,111574,4178,5,538797
Egypt,116303,102816,6666,46,1000000
Ethiopia,110554,74917,1709,330,1641697
Moldova,108863,95918,2323,294,464494
Honduras,108253,48073,2918,128,267616
Greece,107470,9989,2517,596,2394598
Slovakia,107183,68859,868,243,1082625
Venezuela,102621,97562,901,117,2297557
Tunisia,96769,70851,3260,295,460624
Myanmar,92189,71343,1972,0,1182735
Bosnia and Herzegovina,89085,53724,2727,0,418107
Palestine,88004,65938,747,64,683701
Bahrain,87137,85357,341,13,2064477
Kenya,84169,55610,1474,71,893646
Algeria,84152,54405,2447,46,0
Paraguay,83479,58949,1771,142,452851
Libya,83417,54209,1196,0,436051
Denmark,81949,64757,846,38,7497665
Slovenia,77135,55476,1490,210,524988
Kyrgyzstan,73178,64711,1275,133,509160
Uzbekistan,73145,70337,610,172,1377915
Ireland,72798,23364,2069,31,1974478
Nigeria,67838,63430,1176,10,779708
Malaysia,67169,56311,363,120,2686452
North Macedonia,62945,40188,1792,138,335298
Lithuania,62515,15077,519,132,1264577
Singapore,58228,58139,29,0,4658858
Ghana,51667,50547,323,16,592285
