country,cases,recovered,deaths,critical,tests
World,63578650,43975171,1473457,105906,0
China,86530,81619,4634,7,160000000
USA,13920038,8223391,274332,25307,194909340
India,9463254,8888595,137659,8944,140379976
Brazil,6336278,5601804,173165,8318,21900000
Russia,2295654,1778704,39895,2300,76422849
France,2222488,162281,52731,3751,20618607
Spain,1664945,0,45069,2629,22992742
UK,1629657,0,58448,1417,43479023
Italy,1601554,757507,55576,3744,21945099
Argentina,1424533,1257227,38730,4062,3892522
Colombia,1316806,1210489,36766,2376,6429234
Mexico,1107071,818397,105655,3335,2859239
Germany,1069763,739100,16862,3926,27859242
Poland,990811,577514,17150,2118,6236988
Peru,963605,894741,35966,965,5069698
Iran,962070,668151,48246,5852,6125348
South Africa,790004,731242,21535,546,5383078
Ukraine,732625,345149,12327,177,4528772
Turkey,638847,404727,13746,5190,18592292
Belgium,576599,37383,16547,906,5896314
Iraq,552549,482674,12258,293,3483319
Chile,551743,526604,15410,690,5333453
Indonesia,538883,450518,16945,0,5695747
Netherlands,523478,0,9376,512,4043482
Czech Republic,523298,451607,8295,689,3065132
Romania,475362,353188,11331,1251,4107567
Bangladesh,464932,380711,6644,0,2772701
Philippines,431630,398658,8392,1401,5781326
Pakistan,398024,341423,8025,2046,5508810
Canada,378139,299972,12130,492,11475642
Saudi Arabia,357360,346802,5896,659,9615942
Morocco,356336,305291,5846,1038,3953900
Israel,336846,323749,2865,260,5605071
Switzerland,327072,250200,4815,490,2734165
Portugal,298061,212942,4505,525,4353234
Austria,282456,221692,3184,701,3098318
Sweden,243129,0,6681,221,3174798
Nepal,233452,214521,1508,0,1737747
Jordan,219430,155026,2751,462,2551231
Hungary,217122,63860,4823,666,1648022
Ecuador,192685,169804,13461,372,651702
Serbia,175438,31536,1604,253,1777582
UAE,168860,154899,572,0,16727741
Panama,165806,144462,3079,167,907285
Japan,146760,123445,2119,472,3502536
Bulgaria,145300,50565,4035,457,973251
Bolivia,144622,121472,8952,71,360189
Dominican Republic,143988,115219,2331,192,718735
Kuwait,142635,137071,880,84,1095574
Costa Rica,139638,87526,1726,211,397311
Qatar,138833,136090,237,32,1112430
Belarus,136647,114341,1158,0,3269576
Georgia,135584,113986,1267,0,1183319
Armenia,135124,108442,2164,0,510127
Kazakhstan,131659,116461,1990,221,4206738
Croatia,128442,105199,1786,255,749346
Lebanon,127944,83034,1018,368,1620913
Oman,123699,115216,1423,108,571472
Guatemala,122062,110944,4171,5,533871
Azerbaijan,121176,74902,1392,0,1728577
Egypt,115911,102718,6650,46,1000000
Ethiopia,110074,73808,1706,323,1636729
Honduras,107888,47680,2909,128,267616
Moldova,107364,95354,2304,303,460937
Slovakia,105929,66041,839,241,1074634
Greece,105271,9989,2406,600,2373566
Venezuela,102394,97326,897,117,2297557
Tunisia,96769,70851,3260,295,460624
Myanmar,90713,70156,1941,0,1163776
Bosnia and Herzegovina,87901,52769,2681,0,418107
Bahrain,86956,85141,341,14,2053974
Palestine,85647,64987,732,67,667160
Kenya,83618,55344,1469,72,888971
Algeria,83199,53809,2431,46,0
Libya,82809,53818,1183,0,431561
Paraguay,82424,58453,1756,133,449057
Denmark,80481,63515,837,44,7426343
Slovenia,75814,54138,1435,202,519120
Uzbekistan,73041,70303,608,198,1377915
Kyrgyzstan,72807,64149,1271,133,504891
Ireland,72544,23364,2053,30,1964711
Nigeria,67557,63282,1173,10,756237
Malaysia,65697,54759,360,113,2667756
North Macedonia,61878,38946,1763,138,332286
Lithuania,61325,14211,506,132,1256380
Singapore,58218,58134,29,0,4448110
Ghana,51667,50547,323,16,592285
Afghanistan,46498,36788,1774,93,149100
El Salvador,38941,35078,1114,38,542757
Albania,38182,18849,810,27,186045
Norway,36150,20956,332,35,2224045
Montenegro,35265,24131,499,68,133604
Luxembourg,34678,26086,321,42,1374203
South Korea,34201,27625,526,76,3061172
Australia,27904,25598,908,0,9999897
Finland,24912,16800,399,18,1934470
Cameroon,24445,22177,437,52,149000
Sri Lanka,23987,17560,118,0,827928
Cote d'Ivoire,21331,20964,132,0,218207
Uganda,20459,8989,205,0,625029
Sudan,17810,10302,1249,0,0
Zambia,17647,16998,357,0,404471
Madagascar,17341,16657,251,16,93734
Latvia,17075,1795,206,36,624539
Senegal,16089,15607,333,6,230861
Mozambique,15701,13729,131,0,231131
Angola,15139,7851,348,16,171247
Namibia,14380,13535,151,5,156723
French Polynesia,14372,4842,75,24,26355
Guinea,13119,12045,76,24,73155
Maldives,13011,11939,46,12,248889
Congo,12772,11585,333,0,0
Estonia,12308,7078,118,17,478974
Tajikistan,12194,11599,86,0,0
French Guiana,11204,9995,70,1,82983
Jamaica,10763,6219,257,9,114694
Cabo Verde,10761,10329,105,23,104104
Botswana,10742,7912,34,1,422359
Cyprus,10565,2057,49,15,619420
Zimbabwe,10034,8489,277,0,178913
Malta,9873,7665,137,18,428014
Haiti,9294,8023,233,0,34734
Gabon,9214,9066,60,7,303373
Mauritania,8601,7732,177,10,103754
Guadeloupe,8344,2242,149,9,74138
Cuba,8284,7631,135,3,1115144
Reunion,8054,7172,40,17,48859
Syria,7887,3560,417,0,0
Bahamas,7541,5889,163,0,43593
Andorra,6745,5873,76,20,168635
Trinidad and Tobago,6669,5771,120,38,36792
Eswatini,6419,6006,122,11,62213
Hong Kong,6315,5344,109,11,4153109
Malawi,6028,5455,185,4,74010
Rwanda,5934,5516,49,0,626311
Uruguay,5857,4357,77,18,433899
Nicaragua,5784,4225,160,0,0
Congo,5774,4988,94,0,0
Belize,5743,3131,147,7,30542
