country,cases,recovered,deaths,critical,tests
World,104399224,76250506,2262461,107051,0
China,89594,83376,4636,72,160000000
USA,27036998,16752070,457931,23673,315614962
India,10778206,10461706,154635,8944,197752057
Brazil,9286256,8160929,226383,8318,28600000
Russia,3884730,3340545,74158,2300,102500000
UK,3852623,1787706,108013,3726,73448821
France,3224798,226896,77238,3280,44710507
Spain,2881793,0,59805,4853,33901309
Italy,2570601,2043499,89344,2214,33053574
Turkey,2492977,2379070,26237,1592,29913245
Germany,2239968,1954000,59386,4348,38533736
Colombia,2114597,1971342,54576,3482,10210369
Argentina,1943548,1738768,48426,3586,6292787
Mexico,1869708,1425748,159100,5692,4711197
Poland,1520214,1281396,37476,1353,8703118
South Africa,1458958,1318504,44946,546,8329691
Iran,1431416,1223197,58110,3865,9394967
Ukraine,1223879,1035372,22924,177,6274464
Peru,1149764,1062850,41354,1956,6395019
Indonesia,1099687,896530,30581,0,9358604
Czech Republic,994600,893650,16607,988,6244289
Netherlands,985224,0,14108,629,6970400
Canada,786420,716646,20213,830,21708740
Chile,734035,690653,18559,1453,8133205
Romania,732732,678473,18513,967,5472825
Portugal,731861,551956,13017,852,7364336
Belgium,711417,49061,21124,315,8275416
Israel,659978,582429,4887,1111,10550682
Iraq,621755,594594,13068,184,5706337
Sweden,580916,0,11903,240,4916367
Pakistan,547648,502537,11746,1881,8005794
Bangladesh,536107,480728,8149,0,3678649
Philippines,528852,487591,10874,727,7884027
Switzerland,526728,317600,9489,266,4384038
Morocco,472273,450847,8309,404,5375990
Austria,416763,395316,7847,300,4426184
Serbia,398905,31536,4056,139,2640135
Japan,391626,339377,5794,937,6921123
Hungary,369288,268803,12656,272,3176944
Saudi Arabia,368639,360110,6383,375,12392359
Jordan,329194,316442,4334,120,3913770
Panama,322201,280827,5339,242,1694777
UAE,309649,285201,866,0,26073927
Lebanon,305842,186052,3226,942,2624113
Nepal,271289,266859,2030,0,2078098
Georgia,259209,250289,3208,0,2236464
Slovakia,252094,222642,4784,581,1776247
Ecuador,251279,209814,14915,519,888963
Belarus,249994,237178,1737,0,4488821
Croatia,232907,225300,5071,91,1199349
Azerbaijan,230455,223807,3141,0,2419747
Malaysia,222628,173990,791,327,4910286
Bulgaria,220547,190484,9178,279,1414581
Bolivia,218299,160326,10439,71,568052
Dominican Republic,215920,159606,2704,293,1062607
Tunisia,211412,165067,6893,414,871855
Denmark,199357,188873,2160,93,13701547
Ireland,198424,23364,3418,205,3110452
Costa Rica,195009,154227,2641,179,595057
Kazakhstan,189131,169963,2476,221,6399596
Lithuania,183448,131151,2847,173,1938355
Slovenia,168486,147687,3541,168,809494
Armenia,167231,158335,3089,0,651914
Egypt,167013,130514,9407,90,1000000
Kuwait,166654,158986,960,59,1547402
Moldova,160725,150720,3462,258,632124
Guatemala,160299,146019,5709,5,791928
Palestine,159956,150123,1849,54,1003268
Greece,158716,144650,5851,244,4230257
Qatar,152095,146111,249,55,1399488
Honduras,148951,60979,3614,409,377655
Myanmar,140664,125885,3146,0,2411743
Ethiopia,138861,123806,2116,228,1974373
Oman,134685,127054,1532,26,1550000
Paraguay,134482,110041,2750,238,659416
Nigeria,133552,107551,1613,10,1302410
Venezuela,127752,119677,1202,109,2657211
Bosnia and Herzegovina,122461,95569,4737,0,600336
Libya,120434,100593,1896,0,657839
Algeria,107841,73732,2898,42,0
Bahrain,104239,99285,376,30,2739581
Kenya,101009,83990,1766,27,1192605
North Macedonia,93160,82520,2873,138,459559
Kyrgyzstan,84646,81102,1414,50,666854
Albania,79934,48377,1398,21,360910
South Korea,78844,68775,1435,224,5711413
Uzbekistan,78801,77286,621,152,1377915
Ghana,67782,61843,424,44,783432
Latvia,67427,55708,1219,104,1190714
Sri Lanka,65698,59043,330,0,1734276
Norway,63553,57004,568,22,3433485
Montenegro,62476,54529,818,68,232489
Singapore,59584,59301,29,0,6557144
Zambia,56233,49696,794,430,925784
El Salvador,55416,49371,1638,87,700633
Afghanistan,55174,47798,2406,957,254515
Luxembourg,50923,48006,586,13,1907883
Finland,45784,31000,684,17,2861800
Estonia,44975,34927,424,38,781871
Uruguay,42667,36178,453,95,859227
Mozambique,40260,25010,403,0,350352
Uganda,39651,14229,325,0,833534
Namibia,34270,32739,355,17,268699
Zimbabwe,33814,26794,1254,72,285697
Cyprus,31124,2057,202,40,1135574
Cameroon,30313,28045,474,46,149000
Australia,28824,26070,909,0,13018447
Cuba,28636,22921,218,48,1922930
Cote d'Ivoire,28607,26724,158,0,349351
Sudan,27402,21614,1829,0,0
Senegal,27080,22363,641,56,331226
Malawi,24903,9518,726,4,147900
Congo,23043,15050,675,0,0
Botswana,22738,18468,148,1,668789
Thailand,20454,13217,79,1,1217873
Angola,19900,18232,468,13,176910
Madagascar,19065,18215,281,16,111626
Malta,18168,15233,270,18,618453
French Polynesia,18121,4842,133,13,26355
Mauritania,16689,15799,423,23,147194
French Guiana,16185,9995,77,15,134458
Maldives,16155,14263,52,142,417313
Jamaica,15973,12108,353,11,168124
Eswatini,15878,10839,583,67,125614
Rwanda,15688,10745,205,19,894413
Guinea,14555,14228,83,24,123702
Cabo Verde,14152,13335,134,23,111390
Syria,14142,7725,929,0,0
Tajikistan,13308,13218,90,0,0
Belize,11957,11378,303,3,70993
Haiti,11672,9114,245,0,49333
Gabon,10952,10419,68,12,444929
Burkina Faso,10904,9585,126,0,0
Hong Kong,10512,9549,184,31,6442498
Reunion,10194,9528,46,620,51
Andorra,10017,9252,102,15,180088
Guadeloupe,9226,2242,155,6,120676
Mayotte,9003,2964,61,11,79312
Lesotho,8900,2552,172,0,49496
Suriname,8497,7802,156,21,37045
Bahamas,8223,6784,176,13,60666
Mali,8111,5970,333,0,143218
Congo,7887,5846,117,0,73120
Guyana,7678,6681,177,5,50372
Trinidad and Tobago,7578,7190,134,2,85680
Aruba,7028,6648,59,11,86765
Martinique,6484,98,45,3,90204
Nicaragua,6299,4225,170,0,0
Iceland,6011,5942,29,0,479424
Djibouti,5935,5846,63,0,108781
Equatorial Guinea,5534,5300,86,2,87867
Togo,5166,4352,79,0,208804
CAR,4989,4885,63,2,35523
Somalia,4784,3666,130,0,0
Curaçao,4591,4508,21,2,44405
Niger,4548,3845,162,3,74060
Gibraltar,4143,3786,79,27,160304
Gambia,4139,3803,131,1,36438
South Sudan,3929,3613,64,2,86917
Benin,3893,3421,52,0,424662
Channel Islands,3776,3302,83,4,322987
Sierra Leone,3660,2340,79,0,109684
Chad,3404,2507,121,0,0
San Marino,3066,2752,67,7,34865
Comoros,2848,1932,100,0,0
Guinea-Bissau,2655,2427,45,5,45298
Liechtenstein,2497,2376,52,5,24795
New Zealand,2307,2210,25,0,1537594
Eritrea,2267,1657,7,0,23693
Yemen,2122,1427,615,23,17404
Liberia,1945,1762,84,2,65579
Sint Maarten,1885,1710,27,1,14399
Vietnam,1882,1460,35,0,1436836
Mongolia,1832,1371,2,2,1051022
Burundi,1641,773,2,0,90019
Barbados,1586,1206,14,1,104334
Monaco,1543,1295,17,10,51953
Turks and Caicos,1504,1214,9,8,14286
Saint Lucia,1470,705,16,2,24855
Sao Tome and Principe,1283,1052,17,0,11592
Seychelles,1243,1071,5,0,5200
Saint Martin,1234,1050,12,7,12433
St. Vincent Grenadines,1008,262,2,2,29641
Taiwan,915,832,8,0,157162
Papua New Guinea,867,828,9,0,42789
Bhutan,859,841,1,0,477078
Diamond Princess,712,699,13,0,0
Bermuda,692,668,12,5,164546
Faeroe Islands,654,650,1,1,222491
Mauritius,583,540,10,0,289552
Tanzania,509,183,21,7,0
Cambodia,466,443,0,0,403722
Isle of Man,434,398,25,1,27870
Cayman Islands,400,368,2,1,67696
Caribbean Netherlands,360,244,3,0,5145
St. Barth,360,247,1,0,8518
Antigua and Barbuda,249,179,7,1,9312
Brunei,180,170,3,0,91214
Grenada,148,142,1,0,19171
Dominica,121,110,0,0,9977
British Virgin Islands,114,95,1,0,13223
Timor-Leste,75,55,0,0,19223
Fiji,55,53,2,0,26118
Macao,47,46,0,0,4348
New Caledonia,47,47,0,0,20623
Laos,44,41,0,0,104212
Falkland Islands,41,34,0,0,6685
Saint Kitts and Nevis,39,35,0,0,7923
Greenland,30,30,0,0,17382
Vatican City,27,15,0,0,0
Saint Pierre Miquelon,24,16,0,0,3729
Anguilla,17,15,0,0,7326
Solomon Islands,17,10,0,0,4500
Montserrat,13,12,1,0,626
Western Sahara,10,8,1,0,0
MS Zaandam,9,7,2,0,0
Wallis and Futuna,5,4,0,0,1202
Marshall Islands,4,4,0,0,0
Samoa,2,2,0,0,0
Micronesia,1,1,0,0,0
Vanuatu,1,1,0,0,470
Total:,23226270,21689647,374808,23144,0
Total:,30919843,19841017,660876,31537,0
Total:,16035080,14285090,419467,19868,0
Total:,30552767,17290037,713745,29820,0
Total:,3614292,3109937,92472,2669,0
Total:,50251,34072,1078,13,0
Total:,721,706,15,0,0
Total:,104399224,76250506,2262461,107051,0
