country,cases,recovered,deaths,critical,tests
World,98066344,70474932,2098878,111300,0
China,88701,82468,4635,68,160000000
USA,25197977,15101910,420291,27653,293565307
India,10626200,10282889,153067,8944,189347782
Brazil,8699814,7580741,214228,8318,28600000
Russia,3655839,3054218,67832,2300,98000000
UK,3543646,1586707,94580,3953,66546047
France,2987965,214538,72218,2876,40885502
Spain,2560587,0,55041,3734,30165217
Italy,2428221,1827451,84202,2418,30166765
Turkey,2412505,2290032,24640,2074,28032559
Germany,2108895,1762200,51151,4787,37449922
Colombia,1972345,1801134,50187,3482,9419927
Argentina,1843077,1625755,46355,3616,5751173
Mexico,1688944,1264780,144371,5652,4244955
Poland,1457808,1215732,34562,1597,8238988
South Africa,1380807,1183443,39501,546,7820613
Iran,1354547,1144549,57150,4168,8634553
Ukraine,1177621,914730,21499,177,6009914
Peru,1082907,997285,39274,1727,5989114
Indonesia,951651,772790,27203,0,8560220
Netherlands,932884,0,13337,677,6352647
Czech Republic,917429,807343,15076,1095,5654197
Canada,731450,645729,18622,868,16895320
Romania,703776,641288,17554,1005,5244752
Chile,685107,642004,17702,1007,7465412
Belgium,684256,47515,20572,336,7720287
Iraq,611407,576725,12977,139,5267174
Portugal,595149,434237,9686,702,6569301
Israel,582869,497578,4245,1163,9843379
Sweden,547166,0,10974,327,4916367
Bangladesh,530271,475074,7966,0,3515428
Pakistan,527146,480696,11157,2324,7525432
Philippines,507709,467470,10116,727,7442227
Switzerland,507123,317600,8971,310,4109047
Morocco,463706,439301,8076,468,5245083
Austria,399798,376360,7288,340,4130769
Serbia,379093,31536,3830,166,2516876
Saudi Arabia,365775,357337,6342,326,11875017
Hungary,355662,235276,11713,286,3000325
Japan,345221,273187,4743,1014,6145209
Jordan,318181,304200,4198,151,3659959
Panama,305752,250215,4944,243,1576882
Lebanon,269241,158822,2151,864,2446303
Nepal,268646,262868,1979,0,2031756
UAE,267258,239322,766,0,24033072
Georgia,251071,238101,2998,0,2055721
Ecuador,236189,199332,14526,489,832522
Belarus,232298,216744,1619,0,4311968
Slovakia,231242,181129,3801,574,1647390
Azerbaijan,228246,218387,3053,0,2341807
Croatia,227326,219082,4738,136,1139956
Bulgaria,213864,177354,8741,297,1301250
Dominican Republic,199672,146020,2482,329,981506
Bolivia,193745,146578,9764,71,497904
Denmark,192265,176003,1909,136,12315812
Tunisia,190884,137460,5989,410,794736
Costa Rica,188477,145724,2506,215,561356
Ireland,181922,23364,2818,214,2854163
Lithuania,173814,113364,2554,183,1840329
Malaysia,172549,130152,642,260,4236922
Kazakhstan,172412,156521,2403,221,5942556
Armenia,165528,154046,3021,0,630604
Kuwait,159834,152826,951,51,1436192
Egypt,159715,125171,8801,90,1000000
Moldova,154788,145168,3315,228,604546
Slovenia,154306,131377,3284,182,764501
Palestine,154063,142819,1757,78,974139
Guatemala,152395,136980,5389,5,721363
Greece,150479,138748,5570,293,3898194
Qatar,148258,144478,248,33,1340046
Honduras,136898,60217,3406,215,344517
Myanmar,136166,119973,3013,0,2212145
Oman,132486,124730,1517,23,883340
Ethiopia,132326,118006,2057,225,1903582
Paraguay,125518,100848,2570,238,620988
Venezuela,122260,114299,1129,105,2532669
Bosnia and Herzegovina,119206,89882,4536,0,571214
Nigeria,116655,93646,1485,10,1203113
Libya,111746,89909,1716,0,612275
Algeria,104852,71343,2853,42,0
Kenya,99630,82729,1739,33,1142543
Bahrain,98878,95594,366,15,2596967
North Macedonia,89817,75387,2754,138,437267
Kyrgyzstan,83585,79509,1394,50,639645
Uzbekistan,78219,76655,620,156,1377915
South Korea,73918,60846,1316,317,5237608
Albania,69916,42426,1296,39,320061
Norway,60259,49835,544,40,3242808
Ghana,59480,56706,361,29,721263
Singapore,59235,58959,29,1,6061147
Latvia,58710,42953,1057,95,1078860
Montenegro,56998,47974,762,68,214175
Sri Lanka,56076,47984,276,0,1522237
Afghanistan,54483,46887,2370,794,234453
El Salvador,52388,46013,1530,109,672626
Luxembourg,49319,46499,562,14,1822370
Zambia,42213,31522,597,388,806196
Finland,41565,31000,638,26,2690257
Estonia,39211,28743,354,45,726969
Uganda,38806,13699,316,0,807925
Uruguay,34992,26927,347,98,779127
Namibia,31515,29230,310,27,247890
Mozambique,30225,19510,283,0,316171
Zimbabwe,30047,19569,917,0,263128
Cyprus,29636,2057,178,58,936177
Australia,28750,25956,909,1,12594719
Cameroon,28010,26861,455,46,149000
Sudan,26279,15688,1603,0,0
Cote d'Ivoire,25751,24119,142,0,305605
Senegal,23909,19916,552,47,306312
Congo,21400,14865,644,0,0
Botswana,19654,15911,105,1,613944
Cuba,19530,14754,184,46,1736174
Angola,19177,17176,448,21,174111
Madagascar,18301,17609,273,16,105342
French Polynesia,17820,4842,128,12,26355
Malta,16280,13234,245,18,580752
