country,cases,recovered,deaths,critical,tests
World,182183793,166739303,3945184,80383,0
China,91753,86655,4636,12,160000000
USA,34511636,28962849,619595,3836,504736834
India,30316000,29359208,397668,8944,406371279
Brazil,18448402,16673329,514202,8318,53209627
France,5770530,5608967,111012,1304,92869326
Russia,5472941,4969340,133893,2300,148900000
Turkey,5414310,5280558,49634,751,60328966
UK,4755078,4319199,128103,257,209994920
Argentina,4423636,4046308,93142,6869,16502856
Italy,4258456,4076274,127500,289,71207555
Colombia,4187194,3880261,105326,8155,19695665
Spain,3792642,3591599,80789,644,52691812
Germany,3734812,3620800,91336,736,63813168
Iran,3180092,2848042,83985,3185,23308926
Poland,2879689,2651681,74979,163,17280059
Mexico,2505792,1990610,232564,4798,7454371
Ukraine,2234281,2163792,52295,177,10806892
Indonesia,2135998,1859961,57561,0,19637392
Peru,2048115,0,191899,2421,14084148
South Africa,1941119,1723882,60038,546,13011903
Netherlands,1683828,1626958,17741,153,14730069
Czech Republic,1666947,1635183,30298,7,28906706
Chile,1551137,1489537,32454,3050,16908987
Canada,1414134,1380108,26238,466,36643986
Philippines,1403588,1327103,24456,1957,14833058
Iraq,1332046,1235923,17121,577,11622420
Sweden,1088896,1054558,14584,55,10828578
Belgium,1082476,1025525,25160,175,15022137
Romania,1080667,1045351,33311,86,9749560
Pakistan,955657,901201,22231,1961,14460890
Bangladesh,896770,807673,14276,1192,6541840
Portugal,875449,826292,17086,115,13137838
Israel,841196,833329,6430,22,14964305
Hungary,808042,738391,29989,24,6116542
Japan,795756,763364,14669,564,16245155
Jordan,750389,734140,9737,470,7825699
Malaysia,739266,672453,5001,899,14344758
Serbia,716385,707221,7039,13,4397216
Switzerland,702746,682154,10885,48,8273152
Austria,650324,637545,10701,59,54454062
Nepal,635188,588187,9051,0,3329687
UAE,628976,607606,1802,0,57152316
Lebanon,544520,532287,7845,54,4731376
Morocco,529895,516529,9283,131,6803118
Saudi Arabia,484539,465546,7789,1438,21688368
Ecuador,455743,423688,21523,437,1533638
Bolivia,433935,354569,16581,200,1790430
Bulgaria,421646,394242,18040,186,3162240
Greece,421266,404086,12663,215,10548412
Kazakhstan,419800,392777,4316,221,11575012
Paraguay,419764,365361,12641,532,1518433
Belarus,415780,408503,3122,0,6764743
Tunisia,408931,350262,14737,526,1688000
Panama,401332,382671,6529,84,2969611
Slovakia,391566,378533,12509,30,2947897
Uruguay,366915,344803,5524,285,2777583
Costa Rica,364304,289545,4648,434,1468597
Georgia,363874,350466,5275,0,5758211
Croatia,359666,351039,8202,10,2138094
Kuwait,353133,332678,1943,280,2947335
Azerbaijan,335874,330123,4970,0,3733194
Dominican Republic,323650,265000,3801,422,1701922
Palestine,313851,307892,3561,7,1896445
Denmark,293094,287570,2533,14,68046253
Guatemala,291977,263025,9089,5,1577795
Egypt,280770,210482,16125,90,2869589
Lithuania,278689,267404,4381,53,3739148
Ethiopia,275974,259617,4315,151,2857048
Ireland,271589,256241,4989,16,4729538
Venezuela,269635,250528,3068,331,3359014
Bahrain,265477,260363,1348,99,5015001
Oman,264302,231718,3013,506,1550000
Honduras,260331,92309,6922,609,790725
Slovenia,257252,252054,4419,22,1343643
Moldova,256614,249590,6187,44,1250619
Sri Lanka,255508,221249,2985,0,3743577
Thailand,249853,202271,1934,1806,8129670
Armenia,224851,216645,4510,0,1177814
Qatar,221810,219478,588,53,2155430
Bosnia and Herzegovina,204991,182424,9658,0,1027418
Libya,192786,177882,3191,0,1113429
Cuba,184943,170421,1253,179,5047554
Kenya,182884,124588,3612,113,1945736
Nigeria,167532,163984,2119,11,2266591
North Macedonia,155676,149967,5484,25,874236
South Korea,155572,146675,2015,141,10520929
Myanmar,154385,135703,3309,0,2718170
Zambia,149661,126441,2091,1352,1852869
Algeria,138840,96572,3699,43,230861
Latvia,137240,133648,2503,31,2886491
Albania,132513,129994,2456,3,799060
Estonia,130983,127161,1269,5,1519414
Norway,130744,88952,792,9,6043353
Kyrgyzstan,121946,108953,1982,102,1286212
Afghanistan,117158,69205,4794,1124,602137
Mongolia,111505,70792,533,126,3227599
Uzbekistan,109692,105780,731,23,1377915
Montenegro,100204,98316,1609,6,448534
Ghana,95476,93269,795,9,1264190
Finland,95168,46000,969,5,5378623
Namibia,86649,64900,1445,81,521545
Cameroon,80487,78224,1320,152,1751774
Uganda,79089,51860,956,1211,1316741
El Salvador,78766,72572,2371,54,1062066
Mozambique,75422,71150,869,32,593995
Cyprus,75099,72485,374,17,7756247
Maldives,73482,69378,209,90,1003475
Luxembourg,70642,69657,818,1,3073785
Botswana,69680,63932,1125,1,1304362
Singapore,62553,62212,36,3,13287834
Jamaica,50054,29953,1061,8,436122
Cambodia,48532,42764,556,0,1345442
Cote d'Ivoire,48203,47784,313,0,704710
Zimbabwe,47284,37949,1749,10,649788
Senegal,42929,41290,1164,11,561305
Madagascar,42194,40579,909,40,212907
Congo,40439,28219,916,0,197089
Angola,38613,32819,891,14,639006
Rwanda,37384,27272,427,35,1621312
Sudan,36620,30487,2754,0,234414
Malawi,35709,33075,1187,46,265692
Cabo Verde,32399,31530,286,23,170785
Trinidad and Tobago,32343,24170,822,22,229995
Malta,30612,30158,420,0,981005
Australia,30529,29307,910,1,20329275
Reunion,29502,27585,226,32,102720
French Guiana,27318,9995,143,36,285517
Syria,25442,21808,1870,0,103566
Gabon,24984,24598,159,12,873543
Guinea,23744,22434,168,24,467493
Suriname,21360,16956,512,29,78426
Mauritania,20676,19709,487,16,303893
Guyana,19891,17784,466,15,185647
Mayotte,19405,2964,174,6,176919
Eswatini,19084,18107,678,10,225813
French Polynesia,19003,18837,142,0,26355
Haiti,18460,12840,420,0,88657
Papua New Guinea,17098,16518,173,7,131712
Guadeloupe,16881,2250,230,23,221519
Vietnam,16041,6519,76,0,8434266
Seychelles,15579,14365,68,0,21504
Somalia,14933,7244,775,0,149213
Taiwan,14694,11008,635,0,2182211
Mali,14419,10058,525,0,317673
Andorra,13882,13697,127,3,193595
Togo,13846,13489,128,0,361368
Burkina Faso,13479,13301,168,0,196200
Tajikistan,13460,13271,90,0,0
Belize,13189,12645,329,1,152667
Congo,12485,11211,165,0,158304
Bahamas,12467,11434,245,3,105035
Curaçao,12332,12182,126,4,133338
Martinique,12264,98,98,1,195568
Hong Kong,11921,11626,211,1,16710131
Djibouti,11601,11438,155,0,172117
Lesotho,11239,6447,329,0,109260
Aruba,11132,10997,107,14,176221
South Sudan,10824,10514,116,0,174045
Timor-Leste,9055,8233,21,0,93497
Equatorial Guinea,8723,8510,121,1,149330
Benin,8170,8000,104,5,604310
Nicaragua,7920,4225,189,0,0
CAR,7141,6859,98,2,54814
Yemen,6909,4032,1361,23,105850
Iceland,6646,6595,30,1,767476
Gambia,6069,5855,181,3,82460
Eritrea,5884,5370,22,0,23693
Niger,5480,5206,193,2,117828
Sierra Leone,5443,3458,97,0,154298
Burundi,5423,773,8,0,345742
Saint Lucia,5284,5111,84,0,53212
San Marino,5091,5000,90,0,68523
Chad,4951,4769,174,0,125409
Gibraltar,4346,4223,94,0,276552
Channel Islands,4293,3994,86,0,563229
Barbados,4077,3998,47,0,184478
Comoros,3912,3745,146,0,0
Guinea-Bissau,3846,3576,69,4,72512
Fiji,3832,779,17,21,193739
Liberia,3794,2274,123,2,117488
Liechtenstein,3034,2959,59,3,49126
New Zealand,2738,2684,26,0,2271525
Sint Maarten,2613,2532,33,2,28642
Monaco,2575,2514,33,1,54960
Bermuda,2510,2464,33,7,313606
Turks and Caicos,2424,2396,18,2,94789
Sao Tome and Principe,2365,2318,37,0,14270
Saint Martin,2276,1399,12,865,305
St. Vincent Grenadines,2219,1987,12,2,54636
Laos,2110,1986,3,0,289377
Bhutan,2062,1767,1,0,798573
Mauritius,1833,1411,18,0,358675
Caribbean Netherlands,1640,1612,17,0,8550
Isle of Man,1608,1569,29,1,66925
Antigua and Barbuda,1263,1221,42,0,16700
St. Barth,1005,462,1,0,26385
Faeroe Islands,772,757,1,0,305065
Diamond Princess,712,699,13,0,0
Cayman Islands,614,595,2,0,106425
Tanzania,509,183,21,7,0
Wallis and Futuna,445,438,7,0,20508
Saint Kitts and Nevis,439,127,3,1,21120
British Virgin Islands,298,293,1,0,53674
Brunei,259,245,3,0,139503
Dominica,193,191,0,0,18689
Grenada,161,160,1,0,28684
New Caledonia,129,58,0,0,34704
Anguilla,109,109,0,0,22201
Falkland Islands,63,63,0,0,7307
Macao,54,51,0,0,4568
Greenland,50,41,0,1,29033
Vatican City,27,27,0,0,0
Saint Pierre Miquelon,26,25,0,0,6128
Montserrat,20,19,1,0,1408
Solomon Islands,20,20,0,0,4500
Western Sahara,10,8,1,0,0
MS Zaandam,9,7,2,0,0
Vanuatu,4,3,1,0,23000
Marshall Islands,4,4,0,0,0
Samoa,3,3,0,0,0
Saint Helena,2,2,0,0,0
Micronesia,1,1,0,0,0
Total:,55546308,52933389,787145,26648,0
Total:,40551128,34014646,916944,10985,0
Total:,32673108,29593847,997481,30678,0
Total:,47852398,45327704,1100273,7289,0
Total:,5486324,4800359,142050,4754,0
Total:,73806,68652,1276,29,0
Total:,721,706,15,0,0
Total:,182183793,166739303,3945184,80383,0
