country,cases,recovered,deaths,critical,tests
World,195942359,177635350,4192370,85670,0
China,92676,87245,4636,20,160000000
USA,35353923,29571434,627351,8782,526876232
India,31483411,30655390,422054,8944,459164121
Brazil,19749073,18466822,551906,8318,54786381
Russia,6172812,5526950,155380,2300,163200000
France,6026115,5682998,111695,978,102765011
UK,5745526,4470224,129303,820,241319833
Turkey,5638178,5433841,51048,543,66834523
Argentina,4875927,4519922,104352,4160,19045876
Colombia,4747775,4526917,119482,8155,22217674
Spain,4368453,3701195,81323,1534,55855941
Italy,4325046,4126741,127995,189,76558586
Germany,3766482,3647700,92078,370,65845568
Iran,3758197,3291979,89479,5100,25667604
Indonesia,3239936,2596820,86835,0,25266494
Poland,2882327,2653407,75249,46,18443038
Mexico,2754438,2160130,238595,4798,8217052
South Africa,2391223,2180494,70388,546,14623919
Ukraine,2249344,2184880,52876,177,11301274
Peru,2106371,0,196058,1859,15380675
Netherlands,1851329,1665470,17804,153,15767121
Czech Republic,1672764,1639429,30362,6,32472864
Chile,1611090,1566138,35151,1648,18436505
Iraq,1577013,1429542,18418,746,12856522
Philippines,1562420,1478625,27318,2026,16452666
Canada,1427917,1396192,26560,231,38306209
Bangladesh,1194752,1022414,19779,1220,7558711
Belgium,1117697,1058072,25228,94,16962713
Sweden,1098154,1074780,14617,20,11300881
Romania,1082551,1047388,34273,43,10423304
Malaysia,1044071,865439,8408,1023,17543948
Pakistan,1011708,928722,23087,2722,15766473
Portugal,956985,888423,17307,200,15012484
Japan,875506,820138,15137,514,18013366
Israel,864912,844601,6461,147,16275621
Hungary,809288,746219,30021,11,6308291
Jordan,767327,748312,9979,535,8401152
Serbia,720643,710188,7108,11,4634126
Switzerland,715267,691605,10903,36,8993818
Nepal,685673,647079,9758,0,3563978
UAE,674724,652180,1929,0,64715985
Austria,656949,641541,10737,40,64955816
Morocco,588448,549116,9638,413,7409958
Tunisia,575002,479032,18968,630,2192193
Lebanon,557145,536559,7895,54,4731376
Kazakhstan,542703,452002,5538,221,11575012
Thailand,526828,350643,4264,4284,8129670
Saudi Arabia,520774,501449,8189,1419,24574624
Greece,482145,437633,12887,142,12385126
Ecuador,480720,443880,30797,759,1627189
Bolivia,469182,402031,17672,200,2034141
Paraguay,450494,415391,14759,346,1666099
Belarus,441881,435842,3413,0,7220583
Panama,431554,411945,6781,133,3323433
Bulgaria,424079,398335,18203,77,3558477
Georgia,407689,376088,5731,0,6618138
Costa Rica,402044,325139,4987,368,1686460
Kuwait,394538,378810,2298,301,3352915
Slovakia,392406,379419,12534,7,3113864
Uruguay,380793,372448,5941,77,3030595
Croatia,362841,353623,8247,13,2275433
Guatemala,355223,311828,10176,5,1814122
Cuba,349055,304153,2492,384,6309783
Azerbaijan,341183,332259,5011,0,3992592
Dominican Republic,340498,308553,3945,203,1823813
Palestine,316189,311560,3600,10,1976439
Denmark,312851,298953,2546,10,75449697
Venezuela,301979,285776,3524,424,3359014
Sri Lanka,299892,270356,4195,0,4254600
Ireland,295386,266234,5026,27,4729538
Oman,295017,277010,3788,281,1550000
Honduras,290447,97711,7650,699,865784
Egypt,284090,228624,16498,90,3068679
Lithuania,281284,268769,4411,19,3982714
Myanmar,279119,194410,7845,0,3102688
Ethiopia,278920,262968,4374,223,2994640
Bahrain,268731,266497,1383,3,5391704
Moldova,258852,251645,6247,65,1388865
Slovenia,258780,253480,4428,6,1385595
Libya,240309,187960,3422,0,1256789
Armenia,229090,219280,4597,0,1315245
Qatar,225522,223210,600,25,2309307
Bosnia and Herzegovina,205523,189063,9686,0,1066701
Kenya,198935,187563,3882,172,2103997
Zambia,192956,183534,3316,550,2063364
South Korea,191531,168629,2079,269,11528609
Nigeria,171728,164837,2134,11,2439850
Algeria,165204,112050,4112,36,230861
Mongolia,159101,156405,789,192,3446882
Kyrgyzstan,159089,138316,2275,195,1503148
North Macedonia,156124,150307,5491,0,959456
Afghanistan,145552,94814,6577,1124,696340
Latvia,138572,135431,2552,5,3100918
Norway,136370,88952,799,3,6528021
Albania,132922,130166,2456,3,916777
Estonia,132717,128541,1271,5,1609526
Uzbekistan,125784,120320,845,23,1377915
Namibia,117293,93508,2871,99,605832
Vietnam,114260,22946,524,0,11890084
Mozambique,113426,86079,1341,32,712961
Finland,103851,46000,978,8,5826659
Botswana,102124,87517,1485,1,1457692
Ghana,102103,96759,823,15,1406011
Zimbabwe,101711,70496,3280,33,1050849
Montenegro,101352,98869,1627,6,495636
Cyprus,99360,79232,410,63,9222173
Uganda,92795,78415,2590,631,1454301
El Salvador,85779,75957,2577,118,1133412
Cameroon,82064,80433,1334,152,1751774
Maldives,76953,74110,220,11,1153409
Cambodia,74386,66725,1324,0,1713739
Luxembourg,73637,71497,822,3,3252144
Rwanda,66987,44769,771,70,2037126
Singapore,64453,62637,37,2,15726438
Senegal,58523,45768,1300,59,632729
Jamaica,52141,46892,1179,23,487100
Malawi,49752,36878,1540,285,326809
Cote d'Ivoire,49699,48966,326,0,769662
Congo,48768,29497,1023,0,259925
Madagascar,42607,41066,941,32,225006
Angola,42110,35742,994,8,681443
Trinidad and Tobago,37771,30934,1048,22,260920
Reunion,37231,33894,275,40,103924
Sudan,37138,30867,2776,0,234414
Malta,33904,30857,421,1,1075833
Cabo Verde,33626,32835,298,23,198849
Australia,33268,29911,920,18,24300088
French Guiana,29814,9995,179,29,318874
Syria,25911,21961,1909,0,103566
Gabon,25344,25113,163,8,964779
Guinea,25211,23966,206,24,492210
Fiji,25139,6319,206,40,296806
Suriname,25028,21285,638,33,89988
Mauritania,24349,21668,542,16,358504
Eswatini,23708,20304,765,10,248346
Guyana,22234,20773,530,9,220558
Haiti,20000,13750,537,0,99119
French Polynesia,19494,18989,147,3,26355
Mayotte,19474,2964,174,0,176919
Seychelles,18062,17324,90,648,909
Guadeloupe,17779,2250,238,23,243650
Papua New Guinea,17655,17257,192,7,143990
Martinique,15612,104,99,1,224685
Taiwan,15599,13916,787,0,3570407
Somalia,15294,7388,798,0,167465
Togo,15292,14191,148,0,397868
Tajikistan,14761,14245,119,0,0
Andorra,14586,14113,127,0,193595
Mali,14551,13930,531,0,339775
Bahamas,14252,12298,284,10,117102
Belize,13983,13255,333,2,180100
Burkina Faso,13556,13359,169,0,202512
Curaçao,13378,12610,126,4,173473
Congo,13156,11759,177,0,158304
Lesotho,12880,6621,363,0,130765
Hong Kong,11980,11705,212,0,20432586
Djibouti,11640,11477,155,0,189143
Aruba,11460,11099,109,14,177885
South Sudan,11014,10514,118,0,174045
Timor-Leste,10387,9707,26,0,95046
Nicaragua,9470,4225,195,0,0
Channel Islands,8926,5831,86,0,703226
Equatorial Guinea,8880,8637,123,1,171690
Benin,8324,8125,107,5,604310
Iceland,7428,6668,30,2,840774
Gambia,7333,6205,208,3,91290
CAR,7148,6859,98,2,54814
Yemen,7022,4168,1374,23,142488
Burundi,6573,773,8,0,345742
Eritrea,6517,6348,33,0,23693
Sierra Leone,6247,4238,119,0,160358
Niger,5600,5300,195,2,127687
Saint Lucia,5529,5343,88,0,59211
Liberia,5396,2715,148,2,128246
Laos,5154,2442,5,0,305013
San Marino,5130,5005,90,0,70326
Chad,4971,4782,174,0,130518
Gibraltar,4857,4403,94,12,305247
Barbados,4359,4146,48,0,212640
Guinea-Bissau,4281,3830,74,4,79600
Isle of Man,4274,2225,29,1,83753
Comoros,4024,3864,147,0,0
Mauritius,3785,1854,19,0,358675
Liechtenstein,3080,3002,59,2,49126
New Zealand,2863,2783,26,0,2441651
Monaco,2814,2652,33,3,54960
Sint Maarten,2729,2638,34,2,35043
Bermuda,2538,2488,33,0,369070
Bhutan,2500,2275,2,0,798573
Saint Martin,2481,1399,38,7,43501
Turks and Caicos,2466,2425,18,0,94789
Sao Tome and Principe,2424,2348,37,0,14270
British Virgin Islands,2389,1255,25,27,67348
St. Vincent Grenadines,2280,2202,12,2,59641
Caribbean Netherlands,1697,1661,17,0,12584
Antigua and Barbuda,1288,1229,43,3,17147
St. Barth,1005,462,1,0,26385
Faeroe Islands,979,913,1,0,363722
Diamond Princess,712,699,13,0,0
Cayman Islands,640,623,2,0,115529
Saint Kitts and Nevis,578,531,3,1,25697
Tanzania,509,183,21,7,0
Wallis and Futuna,445,438,7,0,20508
Brunei,333,0,3,60,7
Dominica,209,196,0,0,20743
Grenada,164,161,1,0,43173
New Caledonia,133,58,0,0,38218
Anguilla,113,111,0,0,31656
Greenland,92,61,0,0,39672
Falkland Islands,63,63,0,0,7307
Macao,59,53,0,0,4671
Saint Pierre Miquelon,28,26,0,0,6128
Vatican City,27,27,0,0,0
