country,cases,recovered,deaths,critical,tests
World,186320201,170467655,4026390,77742,0
China,91966,86883,4636,5,160000000
USA,34676896,29203308,622213,3850,510480341
India,30752108,29880724,405967,8944,425225897
Brazil,18962786,17422854,530344,8318,54204686
France,5799107,5641613,111284,971,95427384
Russia,5707452,5143255,140775,2300,153600000
Turkey,5465094,5333759,50096,684,62569538
UK,5022893,4348864,128336,417,221388612
Argentina,4613019,4226694,97904,5443,17417124
Colombia,4450086,4172018,111155,8155,20711929
Italy,4267105,4097905,127731,180,72960587
Spain,3915313,3632813,80997,598,53392296
Germany,3741451,3632500,91701,470,63813168
Iran,3327526,2981019,85397,3420,23967488
Poland,2880596,2652372,75135,76,17723903
Mexico,2558369,2027541,234192,4798,7642337
Indonesia,2417788,1994573,63760,0,21182629
Ukraine,2239591,2175225,52560,177,10983401
South Africa,2135246,1862900,63499,546,13694914
Peru,2074186,0,193909,2259,14540713
Netherlands,1701911,1648086,17762,94,14730069
Czech Republic,1668619,1636599,30331,2,30489234
Chile,1579591,1527050,33514,2618,17434180
Philippines,1455585,1380899,25650,2031,15364993
Canada,1419196,1387265,26405,345,37215006
Iraq,1406289,1287903,17444,575,12088184
Sweden,1092308,1067260,14603,30,11051292
Belgium,1091095,1045608,25196,101,15717813
Romania,1081120,1045351,34168,57,9989991
Bangladesh,989219,856346,15792,1213,6866682
Pakistan,967633,910609,22493,1980,14911743
Portugal,899295,840297,17135,136,13781269
Israel,844989,834687,6432,37,15347063
Japan,811712,780011,14897,464,16846353
Malaysia,808658,725480,5903,952,15228292
Hungary,808393,740790,30004,13,6179187
Jordan,755480,738873,9812,480,8030848
Serbia,717293,708543,7064,10,4476746
Switzerland,704620,687911,10898,27,8506560
Nepal,651380,615613,9320,0,3396753
Austria,651128,638618,10721,42,58003807
UAE,645653,623826,1849,0,59925376
Lebanon,546766,533932,7869,54,4731376
Morocco,538589,522377,9346,160,6977715
Saudi Arabia,497773,478127,7933,1385,22709413
Tunisia,473229,375756,15861,526,1871273
Ecuador,465878,431404,21768,427,1574571
Bolivia,449687,373624,17067,200,1891116
Kazakhstan,445091,406282,4544,221,11575012
Paraguay,434264,388138,13729,618,1573555
Greece,433021,407931,12749,153,11005339
Belarus,424554,417585,3225,0,6923772
