country,cases,recovered,deaths,critical,tests
World,186819747,170877475,4035014,78134,0
China,91989,86902,4636,4,160000000
USA,34711576,29222972,622703,4345,511428004
India,30794756,29925883,407173,8944,427016605
Brazil,19020499,17479277,531777,8318,54204686
France,5803687,5644212,111302,953,95721796
Russia,5733218,5165087,141501,2300,154100000
Turkey,5470764,5338885,50155,684,62798364
UK,5057526,4352069,128365,417,222632706
Argentina,4627537,4246200,98148,5405,17503256
Colombia,4471622,4199227,111731,8155,20828287
Italy,4268485,4099339,127756,169,73157509
Spain,3937192,3635907,81003,627,53392296
Germany,3742335,3633300,91740,453,65247345
Iran,3344122,2995195,85543,3506,23967488
Poland,2880669,2652409,75152,71,17723903
Mexico,2567821,2031875,234458,4798,7671778
Indonesia,2455912,2023548,64631,0,21423547
Ukraine,2240246,2176110,52572,177,11001742
South Africa,2157687,1884170,63873,546,13771077
Peru,2076530,0,194084,2206,14596948
Netherlands,1708837,1649798,17764,89,14730069
Czech Republic,1668904,1636777,30331,3,30584299
Chile,1582391,1529269,33636,2525,17501660
Philippines,1461444,1383783,25720,2031,15426170
Canada,1419964,1388108,26419,345,37279413
Iraq,1414925,1294411,17476,644,12133671
Sweden,1092540,1068085,14604,27,11051292
Belgium,1092477,1046075,25196,99,15784103
Romania,1081174,1045351,34215,58,10014512
Bangladesh,1000543,862384,16004,1182,6903268
Pakistan,969476,911383,22520,1971,14960221
Portugal,902489,842024,17142,141,13854788
Israel,845379,834998,6434,40,15418324
Malaysia,817838,731193,5980,959,15228292
Japan,813964,781613,14917,441,16909861
Hungary,808437,741083,30004,13,6192388
Jordan,755948,739228,9818,487,8049586
Serbia,717403,708689,7067,8,4485151
Switzerland,704943,688448,10898,27,8540340
Nepal,652859,616929,9340,0,3403410
Austria,651320,638719,10722,43,58318037
UAE,647182,625332,1853,0,60215918
Lebanon,547170,534069,7871,54,4731376
Morocco,539839,523128,9351,160,7000181
Saudi Arabia,498906,479709,7947,1378,22805670
Tunisia,481735,378917,16050,526,1895679
Ecuador,467073,431404,21803,427,1579458
Bolivia,451224,375676,17126,200,1902313
Kazakhstan,448000,408063,4544,221,11575012
Paraguay,435522,390003,13806,612,1579462
Greece,435018,408156,12761,141,11074061
Belarus,425804,418920,3236,0,6941505
Bulgaria,422414,396309,18138,105,3310607
Panama,413626,393377,6614,84,3113192
Slovakia,391852,378974,12517,17,3003874
Costa Rica,380482,305426,4773,386,1561442
Uruguay,375902,361670,5790,174,2890817
Georgia,374836,357804,5421,0,6050255
Kuwait,372549,352208,2089,321,3109840
Croatia,360680,351842,8226,4,2184648
Azerbaijan,336962,330668,4982,0,3831673
Dominican Republic,332384,272778,3879,325,1756364
Thailand,317506,240077,2534,2685,8129670
Palestine,315047,309543,3579,6,1917168
Guatemala,314302,276272,9643,5,1653068
Denmark,298094,290033,2538,8,71287411
Venezuela,282940,264921,3264,404,3359014
Egypt,282864,217324,16368,90,2869589
Oman,281688,250564,3371,494,1550000
Lithuania,279093,268091,4397,39,3830561
Ethiopia,276871,261933,4342,126,2910584
Ireland,276735,260350,5006,14,4729538
Honduras,271619,93877,7192,622,816881
Sri Lanka,271483,241035,3434,0,4056906
Bahrain,267038,264340,1374,49,5148255
Slovenia,257756,252792,4423,10,1360965
Moldova,257343,250307,6207,67,1304081
Armenia,226135,217490,4540,0,1224512
Cuba,224818,198981,1451,162,5452664
Qatar,223175,221027,598,38,2213065
Bosnia and Herzegovina,205145,184999,9656,0,1042739
Libya,201236,180484,3232,0,1153445
Kenya,187977,177783,3718,113,2006662
Myanmar,184375,143460,3685,0,2841569
Zambia,172405,154776,2736,1132,1947927
Nigeria,168442,164423,2122,11,2331734
South Korea,165344,152498,2036,148,10844217
North Macedonia,155770,150123,5487,25,903125
Algeria,144483,100383,3811,44,230861
Latvia,137831,134610,2536,16,2972542
Kyrgyzstan,137058,116358,2083,102,1372432
Mongolia,134270,96513,660,126,3343725
Norway,132966,88952,796,6,6166657
Afghanistan,132765,79468,5638,1124,650735
Albania,132580,130043,2456,3,829405
Estonia,131396,127799,1270,5,1550386
Uzbekistan,115011,110377,764,23,1377915
Namibia,102373,76102,1883,105,559837
Montenegro,100430,98491,1620,6,463156
Finland,97651,46000,976,8,5561011
Ghana,96971,94281,797,11,1313962
Mozambique,86249,72894,947,32,630924
Uganda,86140,59495,2062,996,1379070
Cyprus,82463,73140,380,30,8259617
El Salvador,80932,73961,2433,67,1086688
Cameroon,80858,78224,1324,152,1751774
Botswana,75388,69914,1202,1,1351857
Maldives,74903,71877,213,21,1056566
Luxembourg,72010,69836,819,1,3136704
Zimbabwe,65066,44021,2084,10,746614
Singapore,62678,62374,36,2,14116339
Cambodia,59045,50917,855,0,1558086
Jamaica,50568,36882,1111,14,454266
Cote d'Ivoire,48776,48085,318,0,730536
Rwanda,46837,31137,534,68,1708011
Senegal,45266,42090,1187,19,582887
Congo,43694,28601,979,0,224052
Madagascar,42392,40798,928,46,217306
Angola,39791,34169,928,12,669500
Malawi,38434,33772,1234,109,281445
Sudan,36805,30647,2760,0,234414
