country,cases,recovered,deaths,critical,tests
World,11372202,6433931,532864,58530,0
China,83545,78509,4634,5,90410000
USA,2935770,1260405,132318,16017,36953633
Brazil,1578376,978615,64365,8318,3330562
Russia,674515,446879,10027,2300,20451110
India,673904,409062,19279,8944,9540132
Peru,299080,189621,10412,1210,1761910
Spain,297625,0,28385,617,5448984
Chile,291847,257445,6192,2077,1163880
UK,284900,0,44198,231,10340511
Mexico,245251,147205,29843,378,624987
Italy,241419,191944,34854,71,5600826
Iran,237878,198949,11408,3136,1744958
Pakistan,225283,125094,4619,2460,1372825
Saudi Arabia,205929,143256,1858,2295,1823763
Turkey,204610,179492,5206,1093,3584066
Germany,197418,181300,9081,318,5873563
South Africa,187977,91227,3026,539,1792078
France,166960,77060,29893,560,1384633
Bangladesh,159679,70721,1997,1,835074
Colombia,113389,46563,3942,841,839731
Canada,105317,68990,8674,2125,2914954
Qatar,99183,90387,123,176,376881
Argentina,75376,25930,1481,620,390382
Egypt,74035,20103,3280,41,135000
Sweden,71419,0,5420,124,519113
Belarus,63270,50669,418,89,1059299
Indonesia,62142,28219,3089,0,894428
Belgium,61838,17091,9771,32,1284605
Ecuador,61535,28507,4769,288,162372
Iraq,58354,31077,2368,333,589377
UAE,50857,39857,321,1,3500000
Netherlands,50335,0,6113,28,616376
Kuwait,49303,39943,365,158,402941
Ukraine,47677,21115,1227,102,705836
Kazakhstan,45719,26750,188,121,1590144
Oman,45106,26968,203,116,202837
Singapore,44664,40117,26,2,757746
Portugal,43569,28772,1605,73,1205593
Philippines,41830,11453,1290,166,798476
Panama,36983,17761,720,146,141283
Bolivia,36818,10766,1320,71,81786
Dominican Republic,36184,18602,786,193,163727
Poland,35719,23127,1512,74,1620160
Afghanistan,32672,19164,826,29,75155
Switzerland,32198,29200,1965,15,624396
Israel,29170,17816,330,84,1069963
Bahrain,28857,23959,96,46,592350
Romania,28582,19854,1731,223,759037
Nigeria,28167,11462,634,7,148188
Armenia,27900,15935,477,10,120245
Ireland,25509,23364,1741,12,454216
Guatemala,22501,3330,920,5,64590
Honduras,22116,2250,605,58,49308
Azerbaijan,19801,11291,241,66,509811
Ghana,19388,14330,117,6,307133
Japan,19282,16959,977,32,490287
Austria,18165,16607,705,8,642679
Moldova,17672,10396,580,438,101180
Serbia,15829,13064,306,86,434415
Algeria,15500,11181,946,56,0
Nepal,15491,6415,34,0,547876
Morocco,13822,9329,232,19,748449
South Korea,13030,11811,283,15,1319523
Denmark,12832,11817,606,6,1106377
Cameroon,12592,10100,313,52,0
Czech Republic,12440,7852,351,14,570080
Cote d'Ivoire,10462,4807,72,0,62205
Uzbekistan,9708,6425,31,24,1121236
Sudan,9663,4624,604,0,401
Norway,8926,8138,251,3,348208
Malaysia,8658,8461,121,2,797796
Australia,8362,7355,104,4,2667064
Kenya,7577,2236,159,29,185035
El Salvador,7507,4434,210,215,172455
Congo,7379,2961,182,0,0
Senegal,7272,4713,129,38,82857
Finland,7248,6700,329,0,251600
Kyrgyzstan,7094,2714,78,24,228857
North Macedonia,6932,2987,334,55,66133
Venezuela,6750,2100,62,11,1412214
Haiti,6230,1286,110,0,12435
