country,cases,recovered,deaths,critical,tests
World,12155602,7025276,551192,58325,0
China,83572,78548,4634,5,90410000
USA,3158932,1392679,134862,15457,39479437
Brazil,1716196,1117922,68055,8318,4359978
India,769052,476554,21144,8944,10473771
Russia,700792,472511,10667,2300,21790705
Peru,312911,204748,11133,1265,1842316
Chile,303083,271703,6573,2053,1220790
Spain,299593,0,28396,617,5734599
UK,286979,0,44517,197,11041203
Mexico,268008,163646,32014,378,668537
Iran,248379,209463,12084,3309,1872391
Italy,242149,193640,34914,71,5754116
Pakistan,237489,140965,4922,2236,1467104
South Africa,224665,106842,3602,539,1944399
Saudi Arabia,220144,158050,2059,2263,2071823
Turkey,208938,187511,5282,1172,3782520
Germany,198765,182700,9115,292,6376054
Bangladesh,172134,80838,2197,1,892152
France,169473,77985,29965,503,1384633
Colombia,128638,53634,4527,875,923714
Canada,106434,70247,8737,2151,3055341
Qatar,101553,96107,138,154,396199
Argentina,87030,36502,1694,688,423782
Egypt,78304,22241,3564,41,135000
Sweden,73858,0,5482,92,600019
Indonesia,68079,31585,3359,0,968237
Iraq,67442,37879,2779,403,637227
Belarus,64224,52854,443,89,1087245
Ecuador,63245,29071,4873,288,168272
Belgium,62123,17138,9776,32,1322052
UAE,53045,42282,327,1,3720000
Kuwait,52007,42108,379,161,417874
Kazakhstan,51059,34149,264,221,1630669
Netherlands,50746,0,6135,24,681931
Ukraine,50414,23119,1306,91,745313
Philippines,50359,12588,1314,213,885882
Oman,50207,32005,233,128,221181
Singapore,45298,41323,26,1,757746
Portugal,44859,29714,1631,74,1271425
Bolivia,41545,12398,1530,71,90651
Panama,41251,19469,819,160,153148
Dominican Republic,39588,20056,829,208,174751
Poland,36689,24878,1542,66,1676364
Afghanistan,33594,20700,936,31,77501
Israel,33557,18338,344,113,1162749
Switzerland,32498,29400,1966,16,652413
Bahrain,30931,26073,98,56,630753
Nigeria,30249,12373,684,7,169629
Romania,30175,20799,1817,237,796484
Armenia,29820,17427,521,10,127171
Ireland,25542,23364,1738,12,478339
Honduras,25428,2637,677,58,49308
Guatemala,25411,3718,1053,5,64590
Ghana,22822,17564,129,8,320071
Azerbaijan,21916,13100,274,66,537230
Japan,20174,17331,980,35,518210
Austria,18513,16721,706,11,668220
Moldova,18471,11549,614,391,101180
Algeria,17348,12329,978,52,0
Serbia,17076,13366,341,118,464171
Nepal,16423,7752,35,0,578859
Cameroon,14916,11525,359,52,0
Morocco,14771,11316,242,19,819124
South Korea,13243,11970,285,15,1359735
Denmark,12900,12001,609,5,1174919
Czech Republic,12814,8010,351,12,579400
Cote d'Ivoire,11504,5571,78,0,69009
Uzbekistan,11092,7060,45,37,1121236
Sudan,10084,5074,636,0,401
Norway,8950,8138,251,3,363581
Australia,8886,7487,106,8,2853342
Malaysia,8677,8486,121,2,822646
El Salvador,8566,5133,235,242,182361
Kenya,8528,2593,169,29,196508
Kyrgyzstan,8486,2983,112,24,236893
Venezuela,8008,2100,75,18,1336021
Senegal,7657,5097,141,37,86891
Congo,7432,3226,182,0,0
North Macedonia,7406,3554,359,55,71220
Finland,7265,6800,329,2,266600
Ethiopia,6774,2430,120,35,250604
Haiti,6432,2080,117,0,13490
Tajikistan,6364,5011,54,0,0
Bulgaria,6342,3166,259,29,164104
Gabon,5871,2682,46,11,44383
Bosnia and Herzegovina,5869,2769,209,4,104343
Costa Rica,5836,1929,24,11,50852
Guinea,5697,4577,34,24,14407
French Guiana,5459,2349,22,30,8707
Mauritania,5087,1994,139,14,13842
Palestine,5029,494,20,0,122555
Djibouti,4889,4644,55,0,48636
Luxembourg,4650,4056,110,3,246856
Hungary,4210,2885,589,6,288693
CAR,4109,1050,52,2,25872
Greece,3622,1374,193,9,355190
Madagascar,3573,1761,33,53,26160
Croatia,3325,2277,114,4,88235
Thailand,3197,3074,58,1,603657
Albania,3106,1791,83,10,26637
Equatorial Guinea,3071,842,51,0,16000
Somalia,3028,1147,92,2,0
Nicaragua,2846,1993,91,0,0
Mayotte,2688,2446,34,3,8800
Paraguay,2554,1212,20,10,82974
Maldives,2517,2180,13,12,58583
Cuba,2399,2242,86,4,192443
Mali,2358,1597,120,0,16317
Sri Lanka,2094,1967,11,1,114765
South Sudan,2021,333,38,0,10824
Estonia,2003,1882,69,1,110553
Lebanon,1946,1368,36,7,155893
Zambia,1895,1348,42,1,56825
Iceland,1880,1850,10,0,93215
Malawi,1864,345,24,4,17406
Lithuania,1854,1552,79,15,447994
Congo,1821,525,47,0,0
Slovakia,1798,1473,28,3,221494
Guinea-Bissau,1790,760,25,5,1500
Slovenia,1763,1429,111,0,111203
Sierra Leone,1584,1122,63,0,0
Cabo Verde,1542,730,18,0,39485
New Zealand,1537,1492,22,0,419055
Hong Kong,1324,1167,7,1,347400
Yemen,1318,595,351,0,120
Libya,1268,306,36,0,31092
Tunisia,1221,1050,50,0,74408
Benin,1199,333,21,1,56613
Rwanda,1194,610,3,0,168899
Jordan,1169,977,10,3,440825
Latvia,1141,1008,30,1,162054
Eswatini,1138,588,14,5,14247
Niger,1097,976,68,0,6603
Mozambique,1071,337,8,0,35696
Cyprus,1008,839,19,0,167394
Burkina Faso,1003,861,53,0,0
Uganda,977,904,0,0,216311
Uruguay,974,871,29,1,74568
Georgia,963,841,15,5,125314
Montenegro,960,320,17,0,15226
Liberia,926,395,41,0,0
Zimbabwe,885,206,9,0,82077
Chad,873,788,74,0,0
Andorra,855,802,52,0,3750
Jamaica,745,599,10,0,27142
Sao Tome and Principe,724,283,13,0,1883
