country,cases,recovered,deaths,critical,tests
World,183838962,168268989,3979892,78037,0
China,91810,86738,4636,8,160000000
USA,34580198,29072881,621161,3866,507346585
India,30501189,29597738,401068,8944,414251520
Brazil,18687469,16989351,522068,8318,54003112
France,5780648,5626699,111135,1123,93728985
Russia,5561360,5035518,136565,2300,150700000
Turkey,5435831,5305856,49829,697,61236294
UK,4855169,4329769,128189,300,214786845
Argentina,4512439,4114096,95382,5784,16896843
Colombia,4297302,3993651,107723,8155,20180384
Italy,4261582,4086188,127615,213,71970918
Spain,3833868,3606789,80911,586,52691812
Germany,3737611,3626800,91573,590,63813168
Iran,3232696,2902140,84516,3196,23806452
Poland,2880108,2652004,75065,103,17487341
Mexico,2525350,2003477,233248,4798,7530188
Ukraine,2236497,2169584,52424,177,10881002
Indonesia,2228938,1901865,59534,0,20232879
Peru,2060344,0,192902,2322,14276475
South Africa,2019826,1773930,61332,546,13298239
Netherlands,1686766,1636534,17755,112,14730069
Czech Republic,1667631,1635990,30309,9,30017226
Chile,1562613,1505708,32809,2902,17083740
Philippines,1424511,1343993,24973,1881,15059521
Canada,1416317,1383644,26338,466,36768392
Iraq,1359836,1255203,17256,626,11816691
Sweden,1090880,1062551,14592,37,10828578
Belgium,1085885,1036831,25180,134,15345692
Romania,1080860,1045351,33921,67,9857115
Pakistan,959685,905430,22345,1863,14637171
Bangladesh,930042,825422,14778,1200,6670994
Portugal,884442,831479,17108,118,13332860
Israel,842371,833727,6429,27,15154380
Hungary,808197,739561,29992,22,6145920
Japan,801707,770008,14802,511,16525536
Malaysia,765949,694538,5327,905,14734443
Jordan,752395,735907,9760,467,7912392
Serbia,716717,707844,7051,11,4430567
Switzerland,703334,685337,10894,35,8359875
Austria,650569,638032,10709,51,55710614
Nepal,642053,603600,9179,0,3357829
UAE,636245,614636,1825,0,58310341
Lebanon,545226,532988,7856,54,4731376
Morocco,532994,518641,9307,155,6873699
Saudi Arabia,490464,470328,7848,1374,22113886
Ecuador,461157,423688,21623,427,1555640
Bolivia,441286,363431,16822,200,1838145
Tunisia,432761,358521,15179,526,1755996
Kazakhstan,428163,397826,4399,221,11575012
Paraguay,426318,375825,13127,573,1543490
Greece,424165,405651,12701,186,10714146
Bulgaria,421983,395282,18083,155,3222885
Belarus,419330,412128,3164,0,6831951
Panama,406013,386621,6560,84,3027073
Slovakia,391676,378737,12511,31,2970298
Uruguay,371417,352118,5642,226,2825984
Costa Rica,371206,296096,4686,396,1509763
Georgia,368022,353231,5335,0,5875306
Kuwait,360406,339604,1995,296,3009166
Croatia,360067,351311,8212,13,2157376
Azerbaijan,336223,330338,4977,0,3767982
Dominican Republic,327561,267985,3846,353,1725408
Palestine,314409,308413,3570,2,1906882
Guatemala,298904,266602,9350,5,1590968
Denmark,294478,288691,2536,11,69269798
Egypt,281722,212725,16215,90,2869589
