country,cases,recovered,deaths,critical,tests
World,172893291,155816461,3716836,89218,0
China,91170,86170,4636,7,160000000
USA,34174752,28025575,611611,5807,482399824
India,28572359,26588808,340719,8944,353782648
Brazil,16803472,15228983,469784,8318,49612384
France,5694076,5378370,109857,2677,85454984
Turkey,5270299,5139993,47882,1219,54809788
Russia,5099182,4711982,122660,2300,139200000
UK,4499878,4296244,127812,129,185735080
Italy,4225163,3893259,126342,892,66717978
Argentina,3884447,3438437,79873,7698,14294513
Germany,3701690,3518600,89605,2289,60408571
Spain,3693012,3464896,80099,1205,49708830
Colombia,3488046,3242060,90353,6582,17305168
Iran,2945100,2508907,80658,3924,20310621
Poland,2874092,2642127,74075,527,16131930
Mexico,2423928,1932457,228146,4798,7078737
Ukraine,2209417,2072091,50959,177,10261649
Peru,1968693,0,185380,2654,13025140
Indonesia,1837126,1691593,51095,0,16985321
South Africa,1680373,1567635,56765,546,11757176
Czech Republic,1662608,1622876,30136,74,25139419
Netherlands,1657017,1506883,17658,391,14036639
Chile,1403101,1327643,29598,3219,14981086
Canada,1387445,1334011,25644,981,35017704
Philippines,1247899,1170752,21357,1704,13562756
Iraq,1214367,1129221,16462,390,10573355
Romania,1078338,1041256,30499,365,9136435
Sweden,1076993,981005,14474,175,10016375
Belgium,1065358,970607,24982,377,14066826
Pakistan,926695,852574,21022,3630,13367920
Portugal,851031,810659,17029,52,11815476
Israel,839532,832918,6416,41,14739061
Bangladesh,805980,746035,12724,1124,6002994
Hungary,805302,708198,29792,77,5866214
Japan,752191,690623,13245,1227,14600561
Jordan,738521,719049,9500,637,7358332
Serbia,713207,699009,6890,36,4185210
Switzerland,696801,654799,10828,109,7773369
Austria,645834,630731,10627,128,43729103
Malaysia,595374,508947,3096,880,12371406
UAE,576947,556549,1689,0,51004376
Nepal,576936,467467,7630,0,3106938
Lebanon,541009,521458,7747,150,4413485
Morocco,520423,508210,9165,113,6507998
Saudi Arabia,454217,436884,7408,1516,19496450
Ecuador,429817,375151,20706,502,1435768
Bulgaria,419180,385271,17792,309,2878511
Greece,406751,376784,12184,476,9673644
Belarus,396869,388632,2882,0,6378212
Kazakhstan,390376,362018,4007,221,11575012
Slovakia,390129,376025,12375,69,2848668
Panama,380207,367007,6388,105,2689180
Bolivia,378028,299462,14732,200,1511252
Paraguay,364702,299594,9498,587,1325161
Croatia,357109,347108,8056,66,2032200
Tunisia,350487,307778,12839,424,1496122
Georgia,346983,330721,4853,0,5067310
Azerbaijan,334416,325863,4929,0,3542035
Costa Rica,325779,246686,4124,522,1250797
Kuwait,313289,297329,1783,146,2640588
Palestine,309333,301443,3509,22,1836142
Uruguay,304411,263733,4460,533,2329470
Dominican Republic,297119,243235,3642,424,1568665
Denmark,284117,268938,2517,23,57304092
Lithuania,275545,257675,4289,125,3431965
Ethiopia,272285,243378,4185,367,2737938
Egypt,265489,194291,15222,90,2869589
Ireland,263191,245731,4941,30,4729538
Guatemala,258633,236469,8238,5,1438805
Moldova,255354,247830,6125,75,1124165
Slovenia,254692,246433,4383,62,1290337
Bahrain,246658,219108,1050,315,4689976
Honduras,239428,85784,6403,509,726265
Venezuela,238013,218956,2689,306,3359014
Armenia,222978,213813,4448,0,1093012
Oman,220702,202021,2385,264,1550000
Qatar,218080,214377,563,116,2036599
Bosnia and Herzegovina,204252,175827,9332,0,984706
Sri Lanka,195844,162397,1608,0,3474076
Libya,186567,172637,3132,0,1037508
Kenya,171658,117345,3223,121,1822216
Thailand,169348,118204,1146,1169,8124896
Nigeria,166682,162521,2117,11,2133061
North Macedonia,155364,148872,5435,25,804728
Cuba,145567,138621,985,148,4393370
Myanmar,143945,132408,3221,0,2626468
South Korea,142157,132699,1968,149,9872324
Latvia,134162,126999,2392,58,2695473
Albania,132360,129566,2451,18,730775
Algeria,129976,90517,3497,23,230861
Estonia,129909,124033,1260,12,1436982
Norway,126218,88952,785,12,5635246
Kyrgyzstan,105840,99474,1830,86,1145888
Uzbekistan,100997,96889,693,23,1377915
Montenegro,99717,97429,1587,60,417419
Zambia,97388,92320,1288,156,1585960
Ghana,94011,92057,785,6,1170855
