country,cases,recovered,deaths,critical,tests
World,174367729,157894104,3751845,86530,0
China,91267,86228,4636,10,160000000
USA,34227237,28177659,612701,5186,489733608
India,28996949,27336799,351344,8944,366334111
Brazil,16985812,15408401,474614,8318,50028915
France,5713917,5425261,110062,2472,87363010
Turkey,5293627,5167350,48255,1060,55673616
Russia,5135866,4743202,124117,2300,140600000
UK,4522476,4277098,127841,134,189171158
Italy,4233698,3918657,126588,759,67412074
Argentina,3977634,3560148,81946,7827,14639773
Germany,3710341,3542700,89965,1796,61380686
Spain,3707523,3490978,80236,1124,51240666
Colombia,3593016,3340543,92496,6582,17625675
Iran,2971270,2565972,81183,3687,20812819
Poland,2875328,2645877,74160,463,16259923
Mexico,2433681,1939596,228804,4798,7131367
Ukraine,2215052,2094971,51215,177,10336155
Peru,1984999,0,186757,2642,13188675
Indonesia,1863031,1711565,51803,0,17320620
South Africa,1699849,1581540,57063,546,11899793
Netherlands,1664427,1535791,17681,345,14248931
Czech Republic,1663607,1626306,30164,45,25703379
Chile,1434884,1355224,30058,3247,15284313
Canada,1394146,1345523,25761,873,35317305
Philippines,1276004,1195181,21969,1704,13752347
Iraq,1229121,1146745,16566,435,10719740
Romania,1078952,1043171,30878,315,9229046
Sweden,1078062,1002915,14485,150,10239089
Belgium,1070802,985968,25033,330,14255140
Pakistan,933630,864931,21323,3205,13572884
Portugal,853034,812174,17036,59,11966284
Israel,839585,832981,6418,34,14739061
Bangladesh,812960,753240,12869,1202,6067042
Hungary,806089,717254,29866,67,5916866
Japan,762401,706644,13574,1120,14964722
Jordan,740502,721895,9541,540,7429181
Serbia,713840,701411,6924,28,4220000
Switzerland,698369,659808,10841,107,7857449
Austria,647079,631294,10640,146,45570994
Malaysia,622086,534357,3460,902,12752267
Nepal,591494,497960,7990,0,3155064
UAE,585039,564509,1702,0,51923942
Lebanon,541628,524500,7769,90,4513473
Morocco,521530,509277,9181,101,6568573
Saudi Arabia,458707,441860,7471,1579,19836639
Ecuador,432739,398645,20814,489,1447041
Bulgaria,419681,386693,17854,277,2918130
Greece,410166,382817,12301,392,9812468
Belarus,400422,392744,2919,0,6438423
Kazakhstan,395064,367285,4076,221,11575012
Slovakia,390451,376450,12414,59,2863317
Bolivia,387162,306819,15024,200,1550511
Panama,382851,368653,6404,105,2727936
Paraguay,375996,309120,10005,587,1358072
Croatia,357608,348274,8091,49,2047218
Tunisia,356750,312979,13027,424,1519696
Georgia,349405,334519,4934,0,5158150
Azerbaijan,334747,327114,4945,0,3572418
Costa Rica,331920,249209,4228,509,1291655
Uruguay,318783,279387,4692,501,2415625
Kuwait,318676,302393,1798,153,2682924
Palestine,310026,301881,3517,18,1842852
Dominican Republic,301984,246216,3655,462,1590765
Denmark,286948,272371,2520,19,59154699
Lithuania,276543,259909,4309,121,3489942
Ethiopia,273024,246883,4213,319,2755429
Egypt,268754,197281,15399,90,2869589
Ireland,264826,247362,4941,26,4729538
Guatemala,262255,239804,8305,5,1456203
Moldova,255501,248062,6137,60,1141292
Slovenia,255432,247381,4390,51,1301301
Bahrain,252600,231113,1143,332,4742989
Venezuela,243621,223788,2734,306,3359014
Honduras,241826,86150,6479,528,734600
Oman,225095,205305,2424,297,1550000
Armenia,223212,214504,4463,0,1104999
Qatar,218798,215635,569,101,2053409
Sri Lanka,207979,176045,1789,0,3557469
Bosnia and Herzegovina,204410,176589,9411,0,992476
Libya,187685,173394,3146,0,1049499
Thailand,179886,129516,1269,1169,8124896
Kenya,172639,118226,3308,121,1836410
Nigeria,166816,163190,2117,11,2133061
North Macedonia,155418,149496,5458,25,814518
Cuba,150103,143105,1025,173,4484454
South Korea,144637,134861,1974,152,9972297
Myanmar,144456,132525,3227,0,2633023
Latvia,134888,128619,2413,53,2724204
Albania,132384,129702,2452,18,741271
Algeria,131283,91413,3527,24,230861
Estonia,130156,124716,1264,10,1450619
Norway,127066,88952,784,11,5847413
