country,cases,recovered,deaths,critical,tests
World,9180875,4916914,473484,57887,0
China,83396,78413,4634,10,0
USA,2388153,1002929,122610,16510,29013182
Brazil,1111348,579226,51407,8318,2430347
Russia,592280,344416,8206,2300,17289691
India,440450,248137,14015,8944,6950493
UK,305289,0,42647,330,8029757
Spain,293584,0,28324,617,5162909
Peru,257447,145320,8223,1144,1517930
Chile,246963,205397,4502,2014,982353
Italy,238720,183426,34657,127,5013342
Iran,207525,166427,9742,2898,1449420
Germany,192119,175300,8969,349,5029696
Turkey,188897,161533,4974,846,2986653
Pakistan,181088,71458,3590,3219,1102162
Mexico,180545,135279,21825,378,479528
Saudi Arabia,161005,105175,1307,2045,1318267
France,160750,74612,29663,701,1384633
Bangladesh,115786,46755,1502,1,630719
Canada,101637,64334,8436,2048,2444118
South Africa,101590,53444,1991,208,1353176
Qatar,88403,69956,99,219,324570
Colombia,71183,28968,2310,335,620288
Belgium,60550,16771,9696,50,1098910
Belarus,59023,37923,351,89,876639
Sweden,58932,0,5122,200,385659
Egypt,56809,15133,2278,41,135000
Ecuador,50640,24991,4223,273,139333
Netherlands,49658,0,6090,55,542288
Indonesia,46845,18735,2500,0,650311
UAE,45303,33046,303,1,3038000
Argentina,44931,13153,1043,353,285391
Singapore,42313,35590,26,1,576189
Kuwait,40291,31770,330,181,357594
Portugal,39392,25548,1534,72,1047109
Ukraine,37241,16642,1012,353,569589
Iraq,32676,14785,1167,222,455316
Poland,32227,17076,1359,72,1356035
Switzerland,31310,29000,1956,16,509600
Oman,31076,16408,137,100,161580
Philippines,30682,8143,1177,82,606031
Afghanistan,29157,8841,598,19,65847
Dominican Republic,27370,15338,669,175,128775
Panama,26752,14664,521,132,107903
Ireland,25383,22698,1717,17,402924
Bolivia,24388,5454,773,71,58789
Romania,24291,17031,1523,195,630374
Bahrain,22407,16862,65,37,485715
Israel,21082,15761,307,44,850869
Nigeria,20919,7109,525,7,115760
Armenia,20588,9131,360,10,96843
Japan,17916,16133,953,59,417951
Kazakhstan,17732,11158,127,121,1354456
Austria,17380,16241,690,10,565800
Moldova,14363,8019,480,465,63328
Ghana,14154,10473,85,6,270300
Azerbaijan,13207,7168,161,66,426394
Guatemala,13145,2711,531,5,31427
Serbia,12990,11997,262,19,345260
Honduras,12772,1293,363,13,21540
Denmark,12527,11347,602,7,923893
South Korea,12438,10881,280,15,1182066
Cameroon,12041,7740,308,28,0
Algeria,11920,8559,852,39,0
Czech Republic,10523,7537,336,9,520344
Morocco,10172,8366,214,7,556695
Nepal,9561,2148,23,0,449474
Norway,8751,8138,248,7,310635
Sudan,8698,3460,533,0,401
Malaysia,8587,8177,121,2,686905
Cote d'Ivoire,7677,3493,56,0,45996
Australia,7474,6903,102,2,2105974
Finland,7144,6400,327,2,230500
Uzbekistan,6461,4450,19,18,1038575
Senegal,5970,3953,86,21,70080
Congo,5924,856,135,0,0
Tajikistan,5513,4039,52,0,0
Haiti,5211,24,88,0,10378
North Macedonia,5196,1974,247,55,51885
Guinea,4988,3669,27,24,14407
El Salvador,4808,2655,107,149,142886
Kenya,4797,1680,125,7,142366
Gabon,4739,2002,39,9,30095
Ethiopia,4663,1297,75,38,219566
Djibouti,4599,3952,48,0,44883
Luxembourg,4121,3959,110,2,149368
Hungary,4102,2590,572,14,258115
Venezuela,4048,1327,35,6,1143648
Bulgaria,3984,2171,207,11,119556
Bosnia and Herzegovina,3525,2270,171,4,81030
Kyrgyzstan,3356,2021,40,30,171161
Greece,3287,1374,190,8,285989
Thailand,3151,3022,58,1,468175
Mauritania,3121,905,112,11,13842
CAR,2963,495,30,2,20901
Somalia,2812,818,90,2,0
French Guiana,2458,972,8,14,8061
Mayotte,2434,2188,31,11,8800
Croatia,2336,2142,107,0,72746
Cuba,2315,2113,85,1,153233
Costa Rica,2277,1043,12,4,35625
Maldives,2217,1813,8,9,42830
Albania,1995,1159,44,10,20762
Estonia,1981,1765,69,1,103210
Mali,1961,1266,111,0,10743
Sri Lanka,1951,1526,11,1,95087
South Sudan,1916,190,35,2,9829
Nicaragua,1823,1238,64,0,0
Iceland,1823,1805,10,0,69190
Lithuania,1801,1475,76,16,394465
Equatorial Guinea,1664,515,32,0,16000
Madagascar,1640,692,15,8,18741
