country,cases,recovered,deaths,critical,tests
World,120764967,97406888,2671762,88073,0
China,90049,85238,4636,0,160000000
USA,30138586,22286551,548013,9286,381627499
Brazil,11525477,10111954,279602,8318,28600000
India,11409595,11025631,158892,8944,227407413
Russia,4400045,4003576,92494,2300,115500000
UK,4263527,3526715,125580,1110,106046223
France,4078133,273771,90762,4219,57688372
Italy,3238394,2605538,102499,3157,44802319
Spain,3195062,2857714,72424,2112,41114319
Turkey,2894893,2716969,29552,1425,35277116
Germany,2585385,2365100,74115,2848,46319641
Colombia,2305884,2206210,61243,1982,12020903
Argentina,2201886,1993215,53836,3469,8032713
Mexico,2166290,1705743,194710,4798,5771369
Poland,1917527,1574455,47206,2084,10668987
Iran,1754933,1499301,61330,3839,11781317
South Africa,1530033,1455325,51421,546,9465515
Ukraine,1467548,1226007,28433,177,7328468
Indonesia,1425044,1249947,38573,0,11664857
Peru,1418974,1329788,49177,2245,8329451
Czech Republic,1402420,1214056,23379,1935,9665502
Netherlands,1162661,0,16087,564,6970400
Canada,913047,858922,22495,553,25996052
Chile,896231,840668,21772,2053,10189233
Romania,862681,787392,21565,1225,6774562
Israel,820913,788112,6030,602,12884409
Portugal,814513,761788,16694,231,8505802
Belgium,808283,54577,22441,474,10110146
Iraq,763085,690620,13788,458,7419942
Sweden,712527,0,13146,250,6627544
Philippines,626893,560577,12837,785,9360101
Pakistan,607453,571878,13537,1823,9529763
Switzerland,573815,530686,10118,164,5458758
Bangladesh,559168,513127,8571,0,4283246
Hungary,524196,354817,17083,1008,4104415
Serbia,520911,445182,4747,219,3164313
Austria,495464,459288,8892,364,6033827
Morocco,489096,476126,8733,262,5805216
Jordan,486470,401319,5428,638,5223283
Japan,447906,426686,8590,327,8946247
UAE,428295,408085,1402,0,34030998
Lebanon,419953,331506,5422,958,3286266
Saudi Arabia,382752,372926,6573,567,14352790
Panama,348155,336277,6005,111,2020905
Slovakia,337960,255300,8605,668,2200380
Malaysia,324971,308247,1213,155,6870587
Belarus,303270,294143,2103,0,5113709
Ecuador,302498,263164,16240,513,1069693
Bulgaria,283194,227059,11472,577,1860746
Nepal,275310,271401,3014,0,2218722
Georgia,275148,268565,3650,0,3006463
Bolivia,259389,204813,11958,71,802284
Croatia,251174,241147,5685,72,1431342
Dominican Republic,246299,202547,3226,166,1254317
Tunisia,242124,209166,8404,270,1037974
Azerbaijan,240671,231061,3286,0,2716017
Ireland,227316,23364,4534,85,3746076
Kazakhstan,224731,206832,2856,221,8059566
Greece,222281,190188,7137,564,5868332
Denmark,221071,210114,2393,40,20628721
Palestine,211602,187634,2293,181,1295750
Kuwait,210855,195507,1179,219,1914579
Costa Rica,209093,188967,2862,127,729069
Lithuania,205644,191324,3410,124,2218746
Moldova,205324,179474,4369,330,774027
Slovenia,200579,186386,3938,87,976907
Egypt,191555,147767,11340,90,1000000
Guatemala,183014,168627,6578,5,977936
Paraguay,181414,150870,3517,353,816274
Armenia,178702,166410,3265,0,776843
Honduras,178277,68678,4334,451,476615
Ethiopia,176618,143828,2555,531,2233489
Qatar,170733,158508,267,118,1629260
Nigeria,160895,145752,2016,10,1684305
Oman,147423,136770,1609,86,1550000
Venezuela,146488,137948,1444,139,3006349
Libya,146080,132697,2402,0,789394
Bosnia and Herzegovina,144831,121441,5584,0,717043
Myanmar,142147,131739,3202,0,2513472
Bahrain,131683,124823,485,61,3321242
Albania,118017,81061,2060,46,509677
Algeria,115410,79994,3040,14,0
Kenya,113967,88596,1918,109,1373839
North Macedonia,112930,98133,3340,124,567441
South Korea,96017,87754,1675,99,7084940
Latvia,93959,84837,1769,77,1670193
Sri Lanka,88238,84969,532,0,2236856
Ghana,87985,83621,691,67,945743
Kyrgyzstan,86917,83875,1483,16,790645
Estonia,86086,60007,728,69,1038888
Zambia,84950,82375,1164,149,1165041
Montenegro,84163,74290,1136,69,309613
Norway,81305,70224,640,27,4210260
Uzbekistan,80678,79331,622,23,1377915
Uruguay,72862,61609,717,131,1151115
Finland,67334,46000,800,50,3596402
Mozambique,64516,50380,725,0,450293
El Salvador,62377,59339,1954,42,804558
Cuba,62206,57550,373,87,2670824
Singapore,60117,59974,30,0,7805264
Luxembourg,57926,54481,693,25,2249262
Afghanistan,55995,49481,2460,1095,322332
Namibia,41424,38514,465,25,324162
Cameroon,40622,35261,601,53,905000
Uganda,40591,15099,334,0,903648
Cyprus,39869,2057,240,40,2586414
Cote d'Ivoire,37908,34616,213,0,464302
Senegal,36996,32765,978,44,414437
Zimbabwe,36504,34051,1504,22,358609
Botswana,34999,29916,447,1,880029
Malawi,32864,26607,1084,60,208678
Jamaica,31305,15253,492,35,246281
Sudan,29135,23583,1959,0,0
Australia,29130,26230,909,0,14923563
Congo,27077,23002,717,0,0
Thailand,27005,26154,87,1,1600951
Malta,26748,23376,354,0,758930
