country,cases,recovered,deaths,critical,tests
World,123424738,99412153,2721436,89293,0
China,90087,85289,4636,0,160000000
USA,30482127,22683617,554871,8732,388699199
Brazil,11950459,10419393,292856,8318,28600000
India,11598710,11128119,159790,8944,232431517
Russia,4447570,4060652,94659,2300,117000000
UK,4291271,3650226,126122,830,112493147
France,4252022,279646,92167,4287,58498845
Italy,3356331,2686236,104642,3387,46613817
Spain,3212332,2945446,72910,1997,41114319
Turkey,2992694,2807572,29959,1538,36165468
Germany,2658851,2409600,75196,2848,47578793
Colombia,2331187,2225725,61907,1982,12247644
Argentina,2241739,2023664,54517,3534,8309165
Mexico,2187910,1729269,197219,4798,5865279
Poland,2036700,1640050,49159,2315,11120138
Iran,1793805,1536606,61724,3849,12099761
South Africa,1536801,1462110,52082,546,9611262
Ukraine,1535218,1253972,29775,177,7624537
Peru,1460779,1373178,50085,2241,8659841
Czech Republic,1459406,1233769,24530,1992,10510686
Indonesia,1455788,1284725,39447,0,12014357
Netherlands,1194580,0,16260,602,9230498
Canada,930516,873590,22643,587,26492049
Chile,925089,865413,22180,2227,10492677
Romania,892848,803226,22132,1324,6967873
Belgium,827941,55308,22650,543,10390087
Israel,827220,802337,6082,550,13114555
Portugal,817080,766924,16762,170,8771420
Iraq,789390,710699,13969,471,7619313
Sweden,744272,0,13262,272,6627544
Philippines,656056,562484,12930,785,9587966
Pakistan,623135,579760,13799,2122,9732033
Switzerland,580609,534217,10203,145,5604467
Bangladesh,568706,520418,8668,0,4388011
Hungary,560971,366774,18068,1237,4242762
Serbia,546896,462016,4900,230,3250474
Jordan,526666,426754,5788,729,5431286
Austria,511440,470684,9052,394,6290058
Morocco,491463,478870,8763,264,5860596
Japan,454158,432128,8790,332,9267866
UAE,438638,420736,1433,0,35153702
Lebanon,436575,343099,5715,954,3388692
Saudi Arabia,384653,374135,6602,587,14585281
Panama,350665,339239,6042,111,2067115
Slovakia,347944,255300,8978,700,2258854
Malaysia,331713,316042,1229,151,7137059
Ecuador,310868,263164,16435,500,1097381
Belarus,309293,300096,2148,0,5197633
Bulgaria,302480,234237,11966,691,1945976
Georgia,277218,269784,3691,0,3134025
Nepal,275829,271815,3016,0,2233345
Bolivia,263808,210736,12041,71,838159
Croatia,256805,244135,5753,89,1468132
Dominican Republic,248989,205172,3269,171,1275756
Azerbaijan,245490,232534,3339,0,2768149
Tunisia,245405,212056,8526,262,1061364
