country,cases,recovered,deaths,critical,tests
World,125415939,101286490,2756176,91600,0
China,90125,85331,4636,0,160000000
USA,30704292,23132879,558422,8623,393863548
Brazil,12227179,10689646,301087,8318,28600000
India,11787013,11229591,160726,8944,236438861
Russia,4483471,4098400,96219,2300,118100000
France,4378446,283507,93180,4634,60773434
UK,4312908,3729155,126382,711,118204895
Italy,3440862,2773215,106339,3588,47759055
Spain,3241345,3000670,74064,1855,41884958
Turkey,3091282,2881643,30462,1720,36990175
Germany,2709872,2445300,75911,3209,47578793
Colombia,2353210,2244522,62394,1982,12386993
Argentina,2269877,2049035,54946,3574,8477597
Mexico,2203041,1744262,199048,4798,5931263
Poland,2120671,1707846,50340,2537,11400455
Iran,1823317,1562709,62045,3874,12349804
Ukraine,1579906,1276272,30773,177,7778231
South Africa,1540009,1466595,52372,546,9690815
Peru,1492519,1406304,50656,2253,8881594
Czech Republic,1486598,1294908,25367,1890,11278655
Indonesia,1476452,1312543,39983,0,12270150
Netherlands,1220945,0,16371,625,9747836
Chile,947783,888826,22402,2348,10739277
Canada,946370,886512,22759,586,26858481
Romania,913143,819799,22579,1351,7080758
Belgium,842775,55692,22763,589,10605652
Israel,830028,811008,6154,483,13269408
Portugal,818787,769838,16805,155,8892180
Iraq,809092,727471,14095,476,7750389
Sweden,765984,0,13357,281,6627544
Philippines,684275,579488,13039,785,9816140
Pakistan,637042,586228,13965,2564,9895515
Hungary,593710,381807,18952,1423,4367900
Switzerland,588118,540106,10276,158,5765946
Bangladesh,580808,527609,8763,0,4487686
Serbia,566669,477395,5039,243,3313232
Jordan,562857,456188,6181,729,5617586
Austria,523269,480597,9151,447,6493316
Morocco,492842,480607,8786,270,5892612
Japan,459043,436463,8908,328,9429113
Lebanon,448721,350694,5903,991,3448772
UAE,446594,429573,1456,0,36012066
Saudi Arabia,386300,375471,6624,627,14717992
Slovakia,352528,255300,9261,683,2290864
Panama,352082,340974,6065,111,2095216
Malaysia,336808,320925,1246,161,7316059
Bulgaria,317116,242311,12413,743,2006166
Ecuador,316807,271847,16540,506,1111805
Belarus,313852,304477,2184,0,5253173
Georgia,278628,270922,3722,0,3196329
Nepal,276389,272187,3020,0,2248993
Bolivia,266086,213779,12093,71,858336
Croatia,260636,247208,5828,99,1495041
Dominican Republic,250579,209586,3289,154,1287584
Azerbaijan,249492,233834,3404,0,2799101
Tunisia,247254,213969,8637,277,1074639
Greece,245405,209436,7649,699,6254354
Kazakhstan,235095,212908,2941,221,8298090
Ireland,232164,23364,4628,75,3879162
Palestine,230076,203340,2501,206,1384569
Denmark,227894,215770,2405,46,23267463
Kuwait,223042,207392,1256,238,1994656
Moldova,219988,193562,4661,341,816504
Costa Rica,213438,190950,2908,147,775821
Lithuania,211011,195551,3510,140,2286679
Slovenia,208588,193383,3994,99,1021025
Paraguay,200823,164401,3869,413,868914
Egypt,197350,151444,11720,90,2506118
Ethiopia,192575,150642,2718,752,2301145
Guatemala,190208,173301,6749,5,1023093
Armenia,186184,169485,3398,0,817406
Honduras,184031,69458,4489,461,497104
Qatar,175332,161488,278,224,1686747
Nigeria,162178,148726,2031,10,1727467
Bosnia and Herzegovina,158198,127247,6067,0,758540
Libya,154320,141413,2582,0,834039
Venezuela,153315,142381,1521,162,3102996
Oman,153105,140220,1644,116,1550000
Myanmar,142292,131772,3204,0,2526740
Bahrain,138283,130397,507,49,3464973
Kenya,124707,90770,2066,141,1434725
Albania,122295,87193,2171,46,535039
North Macedonia,122227,102652,3545,124,599782
Algeria,116438,81065,3069,9,230553
South Korea,99846,91560,1707,111,7441210
Estonia,99008,70913,823,52,1103635
Latvia,98870,89910,1851,68,1792989
Sri Lanka,91018,87630,552,0,2274509
Norway,90104,74332,656,47,4464591
Ghana,89893,86248,734,47,975812
Montenegro,88550,79634,1224,69,326962
Uruguay,87812,71588,843,225,1264894
Kyrgyzstan,87652,84339,1492,16,822901
Zambia,86993,83617,1187,119,1211098
Uzbekistan,81678,80045,623,23,1377915
Finland,73516,46000,809,64,3831984
Cuba,68986,65177,405,67,2843469
Mozambique,66649,53803,752,0,469425
El Salvador,63766,61009,1990,35,827129
Singapore,60236,60078,30,0,8307697
Luxembourg,59907,55842,728,17,2330526
Afghanistan,56226,49802,2467,1102,335925
Cyprus,43286,2057,248,47,2994813
Namibia,42864,39976,502,30,336638
Cote d'Ivoire,41307,37320,224,0,492562
Uganda,40719,15139,334,0,922290
Cameroon,40622,35261,601,53,905000
Senegal,38134,35508,1023,31,429132
Botswana,37559,32550,485,1,901776
Zimbabwe,36749,34476,1516,13,366902
Jamaica,36670,16618,545,42,267792
Malawi,33354,29253,1105,31,214525
Sudan,29661,23990,2028,0,0
Australia,29218,26253,909,0,15287777
Malta,28510,25857,377,0,792598
Thailand,28346,26873,92,1,8014926
Congo,27660,25286,726,0,0
Maldives,22929,20359,66,102,623614
Madagascar,22844,21282,363,23,137115
Angola,21836,20172,532,18,411165
Rwanda,21106,19441,297,1,1098629
Mayotte,19224,2964,154,16,147985
Guinea,19084,16132,113,24,169784
French Polynesia,18598,4842,141,2,26355
Gabon,18426,15863,109,33,613559
Syria,17896,11907,1195,0,0
Mauritania,17690,16947,447,14,196596
Eswatini,17301,16175,666,36,169393
French Guiana,16922,9995,89,6,158139
Cabo Verde,16661,15889,163,23,125300
Reunion,15561,14064,102,57,98785
Tajikistan,13308,13218,90,0,0
