country,cases,recovered,deaths,critical,tests
World,4982937,1956361,324554,45428,0
China,82960,78241,4634,10,0
USA,1570583,361180,93533,17249,12645473
Russia,299941,76130,2837,2300,7352316
Spain,278803,196958,27778,1152,3037840
Brazil,271885,106794,17983,8318,735224
UK,248818,0,35341,1559,2772552
Italy,226699,129401,32169,716,3104524
France,180809,62563,28022,1894,1384633
Germany,177827,155700,8193,1115,3147771
Turkey,151615,112895,4199,882,1675517
Iran,124603,97173,7119,2698,716176
India,106475,42309,3302,0,2404267
Peru,99483,36524,2914,883,679582
Canada,79112,40050,5912,502,1339895
Saudi Arabia,59854,31634,329,251,618084
Belgium,55791,14687,9108,345,709818
Mexico,51633,35388,5332,378,177133
Chile,49579,21507,509,876,397200
Netherlands,44249,0,5715,293,302395
Pakistan,43966,12489,939,111,400292
Qatar,35606,5634,15,172,166182
Ecuador,34151,3457,2839,221,98171
Belarus,31508,10620,175,92,375076
Sweden,30799,4971,3743,287,209900
Switzerland,30618,27700,1891,57,350099
Portugal,29432,6431,1247,101,662375
Singapore,28794,10365,22,10,246254
Bangladesh,25121,4993,370,1,193645
UAE,25063,10791,227,1,1600923
Ireland,24251,19470,1561,54,295626
Poland,19268,7903,948,160,653224
Ukraine,18876,5632,548,245,239961
Indonesia,18496,4467,1221,0,202936
South Africa,17200,7960,312,119,488609
Romania,17191,10166,1137,195,322074
Colombia,16935,4050,613,136,201808
Kuwait,16764,4681,121,179,252696
Israel,16659,13435,278,50,512452
Japan,16367,11564,768,213,255675
Austria,16321,14678,632,39,372435
Egypt,13484,3742,659,41,135000
Dominican Republic,13223,6613,441,136,50108
Philippines,12942,2843,837,81,244800
South Korea,11078,9938,263,15,765574
Denmark,11044,9416,551,25,475096
Serbia,10733,4904,234,15,190683
Panama,9867,6194,281,72,51815
Argentina,8809,2872,393,154,108634
Czech Republic,8647,5726,302,33,363963
Norway,8267,32,233,16,219984
Afghanistan,7653,850,178,19,24697
Bahrain,7532,2952,12,9,249411
Algeria,7377,3746,561,22,6500
Australia,7068,6413,100,11,1085870
Morocco,7023,3901,193,1,100367
Malaysia,6978,5646,114,11,462257
Kazakhstan,6751,3598,35,31,553062
Nigeria,6401,1734,192,7,36899
Finland,6399,5000,301,25,152300
Moldova,6340,2508,221,251,20447
Ghana,6096,1773,31,5,180567
Oman,5671,1574,27,31,61000
Armenia,5041,2164,64,10,43041
Bolivia,4263,503,174,3,14803
Luxembourg,3958,3718,109,10,63011
Iraq,3611,2366,131,0,149701
Hungary,3556,1412,467,46,138697
Cameroon,3529,1567,140,28,0
Azerbaijan,3518,2198,41,37,240220
Thailand,3033,2857,56,61,286008
Guinea,2863,1525,18,18,10304
Uzbekistan,2855,2338,13,6,460000
Greece,2840,1374,165,22,136001
Honduras,2798,340,146,14,10775
Sudan,2728,286,111,0,281
Senegal,2617,1133,30,6,24599
Bosnia and Herzegovina,2321,1522,134,4,53988
Bulgaria,2259,646,112,36,66810
Croatia,2232,1967,96,10,55800
Cote d'Ivoire,2153,1050,28,0,18608
Guatemala,2001,139,38,5,20820
Tajikistan,1936,641,41,0,0
Cuba,1887,1538,79,8,85556
North Macedonia,1839,1351,106,21,22255
Iceland,1802,1789,10,0,57187
Estonia,1791,938,64,4,70188
Congo,1629,290,61,0,0
Djibouti,1618,1033,7,0,18933
Lithuania,1562,1025,60,17,237600
New Zealand,1503,1442,21,2,233843
Somalia,1502,178,59,2,0
Gabon,1502,318,12,9,7966
El Salvador,1498,502,30,27,60341
Slovakia,1495,1192,28,3,145474
Slovenia,1467,1338,104,5,70970
Mayotte,1370,627,18,9,5200
Kyrgyzstan,1243,898,14,5,59490
Maldives,1143,91,4,9,11775
Hong Kong,1056,1025,4,1,168291
Tunisia,1043,819,46,3,41620
Guinea-Bissau,1038,42,6,0,1500
Sri Lanka,1023,569,9,1,45351
Latvia,1012,694,21,3,90968
Kenya,963,358,50,1,46784
Lebanon,954,251,26,4,63720
Albania,949,742,31,1,12369
Cyprus,918,515,17,10,87549
Niger,914,734,55,0,5909
Mali,901,529,53,0,3483
Costa Rica,882,577,10,5,20741
Paraguay,829,230,11,0,21121
Equatorial Guinea,825,22,7,0,854
Burkina Faso,796,652,51,0,0
Zambia,772,192,7,1,18519
Andorra,761,628,51,3,3750
Uruguay,738,579,20,4,34794
Diamond Princess,712,651,13,4,0
Georgia,707,456,12,6,40711
San Marino,655,211,41,1,3610
Jordan,649,417,9,5,148482
Venezuela,618,253,10,1,581082
Malta,569,460,6,1,53196
Channel Islands,555,479,44,0,5342
Chad,545,139,56,0,0
Sierra Leone,534,167,33,0,0
Haiti,533,21,21,0,2120
Jamaica,520,145,9,0,8828
Tanzania,509,183,21,7,0
Reunion,446,354,0,4,17200
Taiwan,440,401,7,0,69395
Congo,420,132,15,0,0
Nepal,402,37,2,1,107253
Palestine,391,346,2,0,44876
CAR,366,18,0,0,3498
Ethiopia,365,120,5,0,62300
Togo,338,107,12,0,13825
Isle of Man,335,300,24,9,4234
Cabo Verde,335,85,3,0,892
Mauritius,332,322,10,0,92764
Madagascar,326,119,2,0,5670
Montenegro,324,312,9,2,10167
Vietnam,324,263,0,2,275000
Rwanda,308,209,0,0,52335
South Sudan,290,4,4,0,3356
Uganda,260,63,0,0,75228
Nicaragua,254,199,17,0,0
Sao Tome and Principe,251,4,8,0,175
Liberia,233,125,23,0,0
French Guiana,218,136,1,0,0
Eswatini,208,87,2,0,4160
Myanmar,193,104,6,0,15137
Martinique,192,91,14,0,0
Faeroe Islands,187,187,0,0,8931
Yemen,167,5,28,0,120
Guadeloupe,155,109,13,3,2866
Gibraltar,147,145,0,0,5410
Mozambique,146,44,0,0,6537
Brunei,141,136,1,2,17636
Mongolia,140,26,0,2,11367
Mauritania,131,7,4,0,2583
