country,cases,recovered,deaths,critical,tests
World,166465640,147264228,3457500,97911,0
China,90944,86005,4636,5,160000000
USA,33862694,27399429,603408,7136,471543912
India,26285069,23059017,295508,8944,324417870
Brazil,15976156,14422209,446527,8318,49013934
France,5581351,5186704,108437,3631,81875253
Turkey,5169951,4998639,45840,1977,51950729
Russia,4983845,4601120,117739,2300,135000000
UK,4457752,4297878,127710,123,174655862
Italy,4183473,3766660,125028,1469,64092492
Germany,3646600,3374600,87852,3594,58093759
Spain,3636453,3356272,79620,1655,48928535
Argentina,3482512,3060145,73391,6027,12924541
Colombia,3192050,2998123,83719,6582,16216781
Poland,2863030,2618031,72691,1239,15448057
Iran,2815882,2304824,78194,5015,18683814
Mexico,2390140,1909187,221080,4798,6905098
Ukraine,2175382,1929039,49101,177,9970045
Peru,1915566,1720665,67569,2664,12370803
Indonesia,1764644,1626142,49073,0,15925904
Czech Republic,1656887,1607620,30004,188,22549126
South Africa,1628335,1534350,55719,546,11281820
Netherlands,1619648,1408737,17518,599,13524699
Canada,1352121,1268989,25162,1344,33979043
Chile,1315913,1245988,28290,2991,14213225
Philippines,1171386,1095964,19763,1819,12901913
Iraq,1160494,1072026,16137,469,10056011
Romania,1074781,1030137,29826,636,8818778
Sweden,1058341,917654,14366,253,9481745
Belgium,1041706,926877,24794,589,13485145
Pakistan,893461,810143,20089,4424,12654997
Portugal,844288,804984,17017,55,11316046
Israel,839290,832331,6397,65,14522643
Hungary,801025,661564,29427,195,5697748
Bangladesh,786698,729039,12310,1102,5793177
Jordan,729185,710445,9342,729,7081102
Serbia,709269,685181,6752,67,4061461
Japan,704273,621608,12046,1294,13556976
Switzerland,687353,631406,10770,153,7460843
Austria,640293,620837,10534,234,38050186
UAE,552920,532910,1644,0,48000395
Lebanon,537887,507424,7664,251,4275276
Morocco,516449,504757,9115,98,6427620
Malaysia,498795,444540,2149,643,10986099
Nepal,497052,374836,6024,0,2878146
Saudi Arabia,438705,422706,7224,1331,18370537
Ecuador,416621,354499,20107,565,1389581
Bulgaria,416417,372968,17474,417,2737194
Slovakia,388529,372750,12280,151,2788281
Greece,387426,350363,11697,617,9112425
Belarus,383302,373391,2752,0,6174150
Panama,373308,361111,6321,105,2568303
Kazakhstan,368748,329918,4124,221,10989671
Croatia,353217,340728,7856,131,1958888
Bolivia,343065,277711,13780,200,1355787
Georgia,335769,316389,4569,0,4704806
Tunisia,332833,294184,12141,445,1417598
