country,cases,recovered,deaths,critical,tests
World,49014778,34975979,1238877,90056,0
China,86115,81081,4634,9,160000000
USA,9919522,6340472,240953,18160,153593809
India,8411034,7764763,125029,8944,114208384
Brazil,5614258,5064344,161779,8318,21900000
Russia,1712858,1279169,29509,2300,63000000
France,1601367,124278,39037,4230,17055801
Spain,1365895,0,38486,2802,18072174
Argentina,1217028,1030137,32766,4713,3142837
UK,1123197,0,48120,1191,35241533
Colombia,1117977,1011166,32209,2376,5258238
Mexico,943630,697402,93228,2838,2445709
Peru,914722,838265,34730,1044,4611380
Italy,824879,312339,40192,2391,16717651
South Africa,732414,671579,19677,546,4917625
Iran,654936,505287,36985,5472,5110752
Germany,619116,391600,11190,2653,23393311
Chile,516582,493250,14404,725,4462086
Iraq,489571,420206,11175,412,2950888
Belgium,468213,27334,12331,1412,5126695
Poland,466679,177681,6842,1615,5030381
Ukraine,430467,184782,7924,177,3312549
Indonesia,425796,357142,14348,0,4678096
Bangladesh,416006,333588,6021,0,2404902
Czech Republic,391945,214272,4330,1156,2472293
Netherlands,390488,0,7769,622,3327701
Philippines,389725,349543,7409,1483,4935203
Turkey,386820,332379,10639,2564,14700951
Saudi Arabia,349386,336068,5489,763,8333264
Pakistan,338875,316665,6893,827,4573768
Israel,317863,306113,2639,331,4761559
Romania,276802,191085,7540,1014,3379609
Canada,251338,207998,10381,234,9763591
Morocco,240951,197215,4059,874,3430860
Switzerland,202504,87100,2628,392,2119502
Nepal,185974,148408,1052,0,1507190
Ecuador,171783,149048,12730,338,558584
Portugal,161350,91453,2740,320,3562801
Bolivia,142062,112842,8758,71,336701
Sweden,141764,0,6002,90,2242469
UAE,138599,136118,508,0,13712882
Panama,136567,115078,2756,117,694228
Qatar,133619,130680,232,40,1001488
Austria,132515,80604,1268,407,2362948
Kuwait,129638,120564,799,115,947921
Dominican Republic,128824,106650,2260,162,612758
Oman,117167,107368,1286,145,376700
Costa Rica,114367,70002,1444,177,326539
Kazakhstan,114235,107139,1857,221,3466616
Guatemala,109849,99753,3766,5,446889
Egypt,108530,100006,6329,41,135000
Japan,103838,95113,1794,183,2787543
Belarus,103295,89131,998,0,2600742
Armenia,99563,60135,1476,0,423485
Honduras,99124,42153,2730,24,231650
Ethiopia,98391,57114,1508,346,1510144
Jordan,95864,8336,1069,323,1980683
Hungary,94916,22823,2147,378,1147616
Venezuela,93921,88701,819,117,2168642
