country,cases,recovered,deaths,critical,tests
World,235044556,211791942,4805158,88510,0
China,96162,90634,4636,4,160000000
USA,44443405,33816494,718984,19904,643766707
India,33789398,33060980,448605,8944,570477338
Brazil,21445651,20432643,597292,8318,57282520
UK,7841625,6355759,136789,815,304621001
Russia,7535548,6692722,208142,2300,192100000
Turkey,7182943,6642132,64264,633,86666106
France,7018367,6780679,116759,1609,139307228
Iran,5601565,5053551,120663,5841,32306789
Argentina,5258466,5119953,115225,1085,24252818
Spain,4961128,4755738,86463,675,64557887
Colombia,4959144,4801028,126336,542,25594134
Italy,4675758,4451133,130973,429,92759111
Germany,4250995,4010100,94254,1435,73348901
Indonesia,4216728,4039835,142026,0,39393856
Mexico,3664223,3013200,277505,4798,10674232
Poland,2908432,2663087,75666,172,20942729
South Africa,2904307,2776990,87705,546,17727831
Philippines,2565487,2396726,38493,3170,21193050
Ukraine,2435413,2258455,56446,177,12875426
Malaysia,2257584,2070715,26456,900,30370550
Peru,2177283,0,199423,999,17950693
Iraq,2005991,1915303,22302,464,15237498
Netherlands,2004763,1925712,18176,149,17349702
Japan,1701309,1656314,17648,778,24821702
Czech Republic,1692410,1654437,30476,35,38218734
Chile,1655071,1610314,37476,361,21880160
Canada,1629142,1556530,27921,776,43456266
Thailand,1615229,1483146,16850,3324,9201621
Bangladesh,1556758,1516901,27531,1390,9755961
Israel,1285570,1232392,7766,586,21028096
Pakistan,1246538,1170590,27785,3649,19435155
Belgium,1244954,1157215,25602,217,20041727
Romania,1244555,1121721,37210,1391,12923475
Sweden,1153655,1113965,14827,39,12605062
Portugal,1069975,1021495,17979,67,18640098
Serbia,949260,808678,8280,246,5673123
Morocco,934007,907607,14290,426,9726131
Kazakhstan,886982,823453,11220,221,11575012
Cuba,882477,847776,7486,311,9556124
Switzerland,841571,771810,11105,168,10876699
Jordan,824697,801526,10727,451,10101353
Hungary,823384,785646,30199,84,6947933
Vietnam,797712,636081,19437,0,42517091
Nepal,795959,766696,11148,0,4215495
Austria,744964,713762,11014,223,87475074
UAE,736268,728911,2100,0,84269233
Tunisia,707548,676731,24901,295,2938342
Greece,658368,615956,14860,329,20354216
Lebanon,624743,594955,8333,200,4780275
Georgia,614763,586704,8976,0,8984174
Guatemala,563257,522451,13625,5,2571048
Saudi Arabia,547179,536226,8719,210,28956630
Belarus,540079,520024,4159,0,8538447
Costa Rica,533873,438817,6413,458,2393237
Sri Lanka,518775,458085,12964,0,4950195
Ecuador,509238,443880,32762,759,1836289
Bulgaria,504253,438228,20969,463,4829659
Bolivia,500445,460004,18735,220,2410571
Azerbaijan,484591,460738,6543,0,4868573
Panama,467338,456894,7230,61,3888624
Myanmar,465922,419842,17789,0,4341436
Paraguay,459997,443218,16200,13,1840493
Slovakia,413723,388613,12649,129,3605324
Kuwait,411690,408601,2450,11,4267350
Croatia,406307,388667,8650,99,2833156
Palestine,405056,376020,4120,72,2477955
Ireland,390989,345533,5249,59,7475340
Uruguay,389025,381669,6056,14,3592793
Venezuela,370368,352308,4483,681,3359014
Honduras,366702,110484,9824,418,1045584
Dominican Republic,359597,349768,4049,176,2063850
Denmark,359237,351407,2659,15,83728514
Ethiopia,347084,314015,5630,802,3484770
Libya,341091,260885,4664,0,1676201
Lithuania,333735,304413,5020,223,4979392
South Korea,313773,275576,2497,323,14596224
Mongolia,306603,291328,1295,192,3855199
Egypt,305269,257708,17367,90,3693367
Oman,303769,297832,4096,17,25000000
Moldova,295681,279122,6803,173,1794616
Slovenia,294335,277126,4565,77,1584336
Bahrain,275130,273082,1389,3,6460127
Armenia,262631,242569,5339,0,1724070
Kenya,249725,241828,5128,61,2562723
Qatar,236735,234855,606,14,2671077
Bosnia and Herzegovina,235536,192218,10635,0,1227043
Zambia,209114,205157,3649,25,2463017
Nigeria,205940,193812,2724,11,3043321
Algeria,203517,139419,5815,14,230861
North Macedonia,191820,173048,6683,0,1292895
Norway,189915,88952,861,22,7884235
Botswana,179220,174549,2368,1,1754359
Kyrgyzstan,178608,173305,2607,131,1734063
Uzbekistan,174408,169371,1242,23,1377915
Albania,170778,158574,2705,3,1206855
Latvia,159418,146449,2721,64,4408802
Estonia,156986,144502,1357,22,1924998
Afghanistan,155239,125021,7211,1124,761015
Mozambique,150759,147281,1918,32,907502
Finland,142114,46000,1062,24,7096234
Montenegro,131946,123362,1928,0,737640
Zimbabwe,131028,123398,4624,12,1406722
Namibia,127680,123004,3514,11,705503
Ghana,127482,123238,1156,42,1731175
Uganda,123742,96109,3159,276,1687958
Cyprus,118421,90755,553,35,9420908
Cambodia,112883,103383,2336,0,2427987
Australia,107171,82406,1309,296,38040888
El Salvador,104348,86851,3245,127,1285112
Singapore,99430,79124,103,34,19108195
Rwanda,97695,45477,1276,12,2830728
Cameroon,92303,80433,1459,152,1751774
Maldives,84866,83074,231,23,1493417
Jamaica,84069,52948,1877,37,602206
Luxembourg,78326,76331,835,8,3523487
Senegal,73782,71818,1858,8,801048
Malawi,61597,55453,2282,67,410104
Cote d'Ivoire,60335,58116,631,0,972843
Angola,58076,48079,1567,37,1010092
Congo,56997,30858,1084,0,306299
Reunion,53682,52663,366,33,1279618
Guadeloupe,53585,2250,708,23,457511
Fiji,51130,37148,631,10,413337
Trinidad and Tobago,50903,45182,1489,22,353373
Eswatini,45971,44203,1223,10,348462
Madagascar,42898,41322,958,3,249510
Suriname,41867,26943,893,21,131395
French Guiana,41325,9995,268,32,400510
Martinique,41129,104,608,1,359082
French Polynesia,40178,33500,623,21,26355
Sudan,38263,32075,2902,0,238579
Cabo Verde,37604,36722,340,23,209870
Malta,37163,35998,458,0,1211456
Mauritania,36079,34715,776,22,471374
Syria,34460,23884,2257,0,103566
Guyana,32055,27440,792,31,319070
Gabon,30648,26947,190,25,1214352
Guinea,30420,28877,379,24,557583
Tanzania,25846,0,719,7,0
Togo,25429,23061,229,0,514039
Laos,24310,5568,20,0,501606
Benin,23890,21993,159,5,604310
Haiti,21972,19602,615,0,120507
Seychelles,21347,20903,115,0,21504
Lesotho,21320,11482,633,0,214622
Bahamas,21114,18533,533,15,146249
Belize,21003,18325,418,10,265313
Papua New Guinea,20455,18485,234,7,188267
Mayotte,20323,2964,180,0,176919
Somalia,19980,9523,1111,0,224382
Timor-Leste,19535,18674,117,0,169501
Burundi,17979,773,38,0,345742
Tajikistan,17084,16960,124,0,0
Curaçao,16556,16006,163,4,280031
Taiwan,16234,15232,843,0,6378793
Mauritius,15695,1854,84,0,358675
