country,cases,recovered,deaths,critical,tests
World,37736803,28343063,1081252,68859,0
China,85557,80705,4634,0,160000000
USA,7991998,5128162,219695,14741,118486898
India,7119300,6146427,109184,8944,86877242
Brazil,5094979,4470165,150506,8318,17900000
Russia,1298718,1020442,22597,2300,50781349
Colombia,911316,789787,27834,2220,4173863
Argentina,894206,721380,23868,4237,2225558
Spain,890367,0,32929,1590,13689776
Peru,849371,743969,33305,1210,4077357
Mexico,814328,591150,83642,2537,2084627
France,734974,100828,32683,1448,12394558
South Africa,692471,623765,17780,546,4407441
UK,603716,0,42825,442,26987470
Iran,500075,406389,28544,4482,4312514
Chile,481371,453352,13318,791,3693252
Iraq,402330,336157,9852,528,2487183
Bangladesh,378266,292860,5524,0,2070995
Italy,354950,239709,36166,420,12564713
Philippines,339341,293075,6321,1758,4128162
Saudi Arabia,339267,325330,5043,826,7014780
Turkey,335533,294357,8837,1411,11615715
Indonesia,333449,255027,11844,0,3762808
Germany,326291,274700,9702,545,18129900
Pakistan,318932,303458,6570,483,3857845
Israel,290493,228658,1980,824,3963408
Ukraine,261034,113507,4972,177,2582768
Canada,181864,153219,9613,154,8047974
Netherlands,174653,0,6584,254,2656731
Belgium,156931,20202,10175,226,3660156
Romania,155283,117942,5411,628,2672537
Morocco,152404,127407,2605,461,2877502
Ecuador,147033,128134,12191,360,466514
Bolivia,138463,100786,8292,71,314047
Qatar,127985,124978,220,56,831941
Poland,125816,80302,3004,383,3668030
Panama,120313,96164,2491,124,544735
Dominican Republic,118477,94084,2173,168,519366
Czech Republic,117110,54980,987,408,1592652
Kuwait,111116,103268,658,140,782255
Kazakhstan,108757,103980,1746,221,3045439
Nepal,107755,75804,636,0,1176984
UAE,106229,97284,445,0,10938083
Oman,105890,92840,1038,219,376700
Egypt,104516,97688,6052,41,135000
Sweden,98451,0,5894,25,1789328
Guatemala,97715,86582,3384,5,362858
Japan,88912,81824,1627,145,2299045
Costa Rica,87439,52669,1076,195,257549
Portugal,86664,53187,2080,124,2791429
Ethiopia,84295,38316,1287,271,1350633
Belarus,83534,77220,896,0,2073930
Honduras,83146,31931,2504,24,194516
Venezuela,83137,74664,697,198,1988486
Bahrain,75614,71249,275,57,1548011
Moldova,62151,44357,1461,782,313288
Uzbekistan,61098,58069,505,252,1377915
Switzerland,60368,48400,2088,39,1470894
Nigeria,60266,51735,1115,7,553037
Singapore,57876,57705,27,1,3072368
Armenia,56451,45824,1020,0,325894
Austria,55319,43448,851,96,1795447
Lebanon,53568,23501,459,176,980520
Algeria,53072,37170,1801,25,0
Paraguay,49675,32090,1077,144,308443
Kyrgyzstan,49230,44227,1085,24,276522
Ghana,47005,46398,306,12,497782
Palestine,44299,37942,381,0,454633
Libya,42712,24038,631,0,246617
Ireland,42528,23364,1826,31,1319299
Azerbaijan,41982,39357,609,0,1176720
Kenya,41546,32000,766,0,591198
Afghanistan,39799,33114,1477,93,114432
Hungary,37664,10848,954,138,825570
Serbia,34787,31536,763,22,1194536
Tunisia,32556,5032,478,138,276002
Denmark,32422,26380,669,19,4357106
Bosnia and Herzegovina,30647,23461,928,0,257737
El Salvador,30196,25438,890,29,422858
Myanmar,27974,9742,646,0,413961
Australia,27265,24998,898,1,8007588
Jordan,24926,6101,191,55,1417257
South Korea,24606,22693,432,89,2410483
Bulgaria,24402,15847,892,62,573004
Greece,22358,9989,449,93,1423000
Cameroon,21203,20117,423,61,149000
North Macedonia,20937,16194,792,4,207891
Croatia,20440,17298,324,26,358515
Cote d'Ivoire,20154,19798,120,0,173214
Slovakia,19851,5631,61,48,548449
Madagascar,16718,16042,237,18,74827
Malaysia,15657,10913,157,90,1627612
Norway,15524,11863,275,3,1140084
Zambia,15458,14599,337,0,186063
Albania,15399,9500,420,16,94247
Senegal,15268,13297,314,6,189248
Montenegro,13869,9620,202,20,76950
Sudan,13673,6764,836,0,0
Finland,11998,8500,346,5,1175873
Namibia,11936,9817,128,7,109829
Georgia,11794,6327,85,0,706806
Guinea,11022,10324,69,24,34308
Maldives,10894,9742,35,12,150743
Congo,10851,10242,276,0,0
Tajikistan,10222,9058,79,0,0
French Guiana,10144,9834,69,6,69684
Mozambique,10001,7338,71,0,153915
Uganda,9801,6109,93,0,507859
Luxembourg,9722,8038,132,1,895762
Haiti,8882,7104,230,0,29115
Gabon,8835,8189,54,3,198364
Slovenia,8663,5182,167,27,258707
Zimbabwe,8011,6504,230,0,161525
Jamaica,7718,3162,139,16,84779
Mauritania,7550,7274,163,3,82098
Cabo Verde,7072,5981,75,23,87076
Guadeloupe,6483,2199,77,35,59202
Angola,6366,2743,218,10,85213
Lithuania,6122,2777,103,8,842423
Cuba,5978,5540,123,1,691743
Malawi,5821,4647,180,4,56034
Eswatini,5669,5310,113,11,45570
Djibouti,5423,5355,61,0,79257
Nicaragua,5264,4225,153,0,0
Hong Kong,5183,4919,105,8,3473928
Congo,5118,3887,90,0,0
Bahamas,5078,2900,107,112,24502
Equatorial Guinea,5063,4894,83,2,62615
Suriname,5051,4845,107,5,15620
Trinidad and Tobago,5043,3221,90,14,33013
Rwanda,4896,3606,31,0,518988
CAR,4854,1924,62,2,32711
Sri Lanka,4752,3307,13,0,328504
Syria,4718,1296,224,0,0
Reunion,4491,3994,16,17,35419
Aruba,4194,3768,33,12,34631
Mayotte,3989,2964,43,4,13000
Estonia,3865,2958,68,3,232360
Somalia,3864,3089,99,0,0
Malta,3776,2967,41,9,280155
Thailand,3636,3451,59,1,749213
Gambia,3632,2543,117,0,18043
Iceland,3526,2499,10,3,308641
Guyana,3469,2318,103,16,15963
Mali,3286,2527,132,0,60180
Botswana,3219,834,18,1,224692
South Sudan,2777,1290,55,0,12044
French Polynesia,2754,2019,10,7,26355
Andorra,2696,1814,55,9,137457
Latvia,2670,1322,40,4,361843
Belize,2496,1531,36,5,17500
Benin,2411,1973,41,0,203831
Guinea-Bissau,2385,1728,40,5,0
Sierra Leone,2306,1736,72,0,0
Uruguay,2294,1942,50,2,264087
Burkina Faso,2271,1542,61,0,0
Yemen,2052,1329,595,0,0
Cyprus,2006,1444,25,2,415095
Togo,1940,1457,49,0,101086
New Zealand,1871,1801,25,0,1000764
Martinique,1851,98,22,14,39379
Lesotho,1805,961,42,0,20909
Liberia,1363,1245,82,2,30332
Chad,1304,1115,92,0,0
Niger,1201,1123,69,9,28191
Vietnam,1109,1024,35,0,1009145
Sao Tome and Principe,929,892,15,0,5349
San Marino,741,682,42,3,7895
