
country,cases,recovered,deaths,critical,tests
World,38348814,28841127,1090240,69973,0
China,85591,80729,4634,1,160000000
USA,8090350,5226427,220873,15079,120523572
India,7237082,6298705,110617,8944,88945107
Brazil,5114823,4526975,151063,8318,17900000
Russia,1326178,1031785,22966,2300,51364269
Spain,925341,0,33204,1595,14590713
Colombia,924098,806703,28141,2220,4234813
Argentina,917035,742235,24572,4294,2260058
Peru,853974,753959,33419,1173,4111951
Mexico,821045,597991,83945,2379,2093408
France,756472,102680,32933,1642,12679122
South Africa,694537,625574,18028,546,4433952
UK,634920,0,43018,507,28055923
Iran,508389,411840,29070,4570,4369622
Chile,484280,456499,13396,778,3754762
Iraq,409358,344208,9970,501,2528214
Bangladesh,381275,295873,5577,0,2098037
Italy,365467,242028,36246,514,12762699
Philippines,344626,293281,6371,1758,4196720
Indonesia,340622,263296,12027,0,3852511
Saudi Arabia,340089,326339,5087,839,7109978
Turkey,338779,296972,8957,1416,11846342
Germany,335679,279100,9740,618,18129900
Pakistan,319848,304609,6588,516,3914818
Israel,296652,245811,2055,807,3992799
Ukraine,270587,116562,5122,177,2630988
Netherlands,188876,0,6631,297,2872319
Canada,186881,157486,9654,172,8269676
Belgium,165880,20325,10211,267,3735582
Romania,160461,120515,5535,651,288
Morocco,156946,131462,2685,535,2922011
Ecuador,148171,128134,12235,373,471362
Bolivia,138695,101523,8326,71,315368
Poland,135278,82004,3101,421,3726959
Czech Republic,129747,59901,1106,467,1625524
Qatar,128405,125373,220,56,843565
Panama,121296,97297,2511,121,553942
Dominican Republic,119008,94941,2183,158,523637
Nepal,115358,78780,663,0,1207091
Kuwait,112737,104508,672,143,796760
Kazakhstan,108901,104203,1768,221,3045439
UAE,108608,100007,448,0,11113555
Oman,107213,93557,1053,210,376700
Egypt,104787,97841,6071,41,135000
Sweden,101332,0,5901,25,1789328
Guatemala,98380,87744,3410,5,368058
Costa Rica,90238,53670,1124,201,264549
Japan,89673,82621,1634,148,2331011
Portugal,89121,54047,2110,132,2852722
Ethiopia,85718,39307,1305,237,1362974
Belarus,84524,77797,906,0,2095917
Honduras,84413,32214,2521,34,198841
Venezuela,84391,76262,710,186,1996103
Bahrain,76272,72164,285,52,1568037
Switzerland,65881,49800,2105,38,1516021
Moldova,63275,45102,1495,781,318281
Uzbekistan,61642,58613,511,252,1377915
Nigeria,60655,52006,1116,7,558313
Singapore,57884,57740,28,0,3290291
Armenia,57566,46318,1032,0,329277
Austria,57326,44949,861,107,1822931
Lebanon,55869,24581,479,190,999515
Algeria,53399,37492,1818,38,0
Paraguay,51197,33325,1108,156,314053
Kyrgyzstan,49871,44712,1092,24,276522
