country,cases,recovered,deaths,critical,tests
World,227222820,203909092,4672395,101787,0
China,95413,89940,4636,4,160000000
USA,42479780,32271084,685023,25461,613766971
India,33345873,32552990,443960,8944,546055796
Brazil,21034610,20138267,588640,8318,57095219
UK,7312683,5878889,134647,1060,287498341
Russia,7194926,6435072,195041,2300,184600000
France,6926604,6577269,115829,2000,134787318
Turkey,6738890,6230441,60641,633,81079693
Iran,5360387,4654558,115619,7054,30123729
Argentina,5232358,5083060,113969,1785,24252818
Colombia,4934568,4772899,125753,542,24864504
Spain,4922249,4616567,85638,1097,63040355
Italy,4618040,4369453,130100,540,88210140
Indonesia,4178164,3953519,139682,0,35458275
Germany,4117263,3852900,93397,1217,70379237
Mexico,3528972,2876139,269015,4798,10243347
Poland,2895223,2658512,75454,91,20332599
South Africa,2869201,2700299,85469,546,17191349
Ukraine,2325796,2225130,54550,177,12342907
Philippines,2283011,2076823,35742,3170,19962405
Peru,2163312,0,198860,1073,17331083
Malaysia,2030935,1783336,22009,1280,28070385
Netherlands,1977016,1886045,18090,203,16873290
Iraq,1963264,1840395,21631,650,14863362
Czech Republic,1684357,1649734,30417,25,37066738
Japan,1650318,1526008,16894,1834,23529970
Chile,1645233,1602392,37261,476,21019573
Canada,1559410,1489783,27305,638,41752512
Bangladesh,1536341,1490541,27058,1469,9332460
Thailand,1420340,1277029,14765,4387,9201621
Pakistan,1212809,1108339,26938,5122,18625952
Belgium,1212106,1126216,25477,223,19273289
Israel,1202212,1112533,7452,667,20314879
Sweden,1142770,1098241,14698,48,12167135
Romania,1130586,1070645,35215,696,12081897
Portugal,1058347,1004925,17882,119,17743731
Morocco,910991,869304,13729,884,9421842
Kazakhstan,848318,770558,10491,221,11575012
Serbia,838512,745980,7633,167,5316382
Switzerland,818710,729946,11010,271,10275943
Hungary,816222,779250,30114,40,6737713
Jordan,810559,787517,10574,504,9678046
Nepal,780824,743526,10991,0,4057383
Cuba,768497,723081,6523,462,8779431
UAE,730743,722073,2068,0,79314136
Austria,715893,682971,10856,198,81737713
Tunisia,696279,667538,24337,425,2820744
Vietnam,645640,412650,16186,0,42517091
Greece,622761,582115,14311,364,17251434
Lebanon,615532,575500,8218,200,4780275
Georgia,587551,551780,8347,0,8520607
Saudi Arabia,546251,535260,8640,449,28198776
Guatemala,519986,464443,12859,5,2365778
Belarus,508514,497066,3953,0,8091584
Ecuador,505628,443880,32491,759,1798012
Costa Rica,499461,402981,5889,496,2214843
Sri Lanka,496423,427254,11699,0,4950195
Bolivia,495612,447808,18603,220,2342306
Bulgaria,477161,417446,19809,386,4538905
Azerbaijan,463326,416194,6167,0,4675110
Panama,463086,451466,7159,108,3775659
Paraguay,459461,440971,16118,49,1808089
Myanmar,438951,388596,16784,0,4027210
Kuwait,410960,407523,2435,21,3988586
Slovakia,399978,382560,12566,47,3472283
Uruguay,387156,379418,6045,15,3472637
Croatia,386891,371391,8463,64,2684626
Palestine,377134,340560,3856,77,2338369
Ireland,368712,317118,5155,60,6918733
Honduras,354970,108225,9400,530,1012717
Dominican Republic,354169,345232,4022,137,2006885
Denmark,353431,344102,2617,28,82620545
Venezuela,350795,334912,4245,681,3359014
Libya,327803,242267,4469,0,1603874
Ethiopia,327066,294555,5035,778,3348560
Lithuania,311151,289572,4740,127,4645252
Oman,303268,293498,4090,28,25000000
Egypt,294482,247948,16908,90,3068679
Slovenia,279217,263493,4479,44,1506208
South Korea,277989,249833,2380,350,13839091
Moldova,277854,264430,6559,90,1662570
Bahrain,273977,271677,1388,2,6185898
Mongolia,263446,241221,1066,192,3855199
Armenia,250559,233910,5056,0,1627538
Kenya,244826,235196,4949,118,2470865
Qatar,235054,232622,604,15,2584515
Bosnia and Herzegovina,223957,192218,10131,0,1182245
Zambia,208161,203584,3636,60,2368909
Algeria,200770,137228,5630,20,230861
Nigeria,200356,188917,2640,11,2942578
North Macedonia,184893,165527,6339,0,1234221
Norway,179450,88952,841,19,7622455
Kyrgyzstan,177389,171767,2578,131,1693747
Uzbekistan,166025,158377,1169,23,1377915
Botswana,165644,160221,2337,1,1702940
Albania,159423,144122,2557,3,1132460
Afghanistan,154361,120494,7183,1124,755974
Mozambique,149671,142769,1898,32,882604
Latvia,148485,140527,2628,22,4027687
Estonia,147881,138109,1315,14,1827805
Finland,134827,46000,1051,29,6886900
Zimbabwe,127083,119787,4551,12,1332081
Namibia,126430,121647,3437,19,679012
Ghana,123874,117892,1098,51,1668839
Montenegro,123755,114216,1818,11,678267
Uganda,121687,95814,3106,429,1632256
