country,cases,recovered,deaths,critical,tests
World,234560029,211343376,4797421,88729,0
China,96128,90584,4636,4,160000000
USA,44314424,33721698,716847,20399,641851374
India,33765488,33035524,448372,8944,568956439
Brazil,21427073,20425139,596800,8318,57282520
UK,7807036,6323896,136662,813,303448502
Russia,7511026,6672767,207255,2300,191500000
Turkey,7154070,6615908,64054,633,86309754
France,7013432,6771134,116713,1609,139307228
Iran,5587040,5031692,120428,5093,31868828
Argentina,5256902,5118324,115179,1140,24252818
Spain,4959091,4755738,86415,703,64557887
Colombia,4957277,4799576,126299,542,25545776
Italy,4672355,4447126,130921,440,92465642
Germany,4241706,4000100,94250,1435,73348901
Indonesia,4215104,4037024,141939,0,39121485
Mexico,3655395,3006959,276972,4798,10640760
Poland,2907071,2662484,75650,172,20899886
South Africa,2902672,2773344,87626,546,17690407
Philippines,2549966,2373378,38294,3170,21124467
Ukraine,2423379,2255191,56274,177,12829867
Malaysia,2245695,2054824,26335,924,30224894
Peru,2176321,0,199395,1010,17904999
Iraq,2003303,1910908,22260,482,15211577
Netherlands,2003050,1922887,18170,152,17349702
Japan,1699636,1652318,17605,932,24751115
Czech Republic,1691495,1654392,30474,34,38133780
Chile,1654264,1609512,37468,378,21809547
Canada,1623243,1550939,27853,776,43215201
Thailand,1603475,1470673,16727,3324,9201621
Bangladesh,1555911,1515941,27510,1355,9731291
Israel,1282218,1228147,7761,619,21028096
Pakistan,1245127,1169566,27729,3768,19386106
Belgium,1242821,1155371,25595,207,19991118
Romania,1233668,1118816,37041,1364,12856428
Sweden,1152886,1112870,14822,37,12605062
Portugal,1069279,1020693,17975,66,18572800
Serbia,941989,803722,8234,241,5650408
Morocco,933071,906160,14267,444,9709003
Kazakhstan,884886,820792,11178,221,11575012
Cuba,877428,841128,7436,401,9556124
Switzerland,840359,768627,11099,175,10832621
Jordan,823919,800745,10718,451,10074026
Hungary,822705,785090,30190,87,6932779
Nepal,795061,765758,11135,0,4205382
Vietnam,790755,608831,19301,0,42517091
Austria,743095,711844,11009,220,87184819
UAE,735992,728546,2097,0,83975380
Tunisia,707190,675942,24890,295,2932223
Greece,655767,614703,14828,326,20138773
Lebanon,624230,593941,8325,200,4780275
Georgia,613012,585071,8946,0,8941517
Guatemala,560315,519012,13564,5,2553849
Saudi Arabia,547134,536178,8716,212,28902511
Belarus,538086,518715,4143,0,8499330
Costa Rica,532185,437328,6386,450,2393237
Sri Lanka,517377,457488,12906,0,4950195
Ecuador,509238,443880,32762,759,1836289
Bulgaria,502162,437321,20882,462,4807320
Bolivia,500090,459473,18726,220,2404754
Azerbaijan,483902,458922,6525,0,4859015
Panama,467113,456590,7228,61,3880623
Myanmar,464076,418329,17735,0,4317851
Paraguay,459967,443140,16198,14,1838710
Slovakia,412507,387728,12637,120,3596016
Kuwait,411655,408545,2449,11,4248454
Croatia,404790,387275,8640,94,2823030
Palestine,403716,374031,4098,76,2477955
Ireland,389932,343744,5249,59,7404370
Uruguay,388928,381559,6055,14,3583811
Venezuela,368968,351141,4469,681,3359014
Honduras,365994,110364,9777,418,1042559
Dominican Republic,359047,349404,4046,178,2060939
Denmark,358796,351093,2656,18,83651334
Ethiopia,345674,312806,5582,790,3474018
Libya,340084,259574,4651,0,1671350
Lithuania,331720,303173,4996,215,4951928
South Korea,311289,274205,2481,336,14544258
Egypt,304524,256886,17331,90,3693367
Mongolia,304084,291328,1277,192,3855199
Oman,303769,297832,4096,17,25000000
Moldova,294392,277659,6777,166,1776723
Slovenia,293364,275986,4561,73,1579004
Bahrain,275057,273014,1389,6,6443192
Armenia,261697,241841,5319,0,1712685
Kenya,249434,241520,5123,66,2556222
Qatar,236643,234762,606,15,2665646
Bosnia and Herzegovina,234775,192218,10606,0,1227043
Zambia,209046,204983,3648,25,2456586
Nigeria,205779,193631,2721,11,3043321
Algeria,203359,139309,5812,14,230861
North Macedonia,191408,172653,6668,0,1289516
Norway,189431,88952,861,22,7858702
Botswana,179220,174549,2368,1,1754359
Kyrgyzstan,178532,173206,2607,131,1734063
Uzbekistan,173895,168875,1239,23,1377915
Albania,170131,157610,2698,3,1202716
Latvia,158291,146449,2717,59,4383342
Estonia,156257,143943,1357,22,1918650
Afghanistan,155191,124733,7206,1124,760532
Mozambique,150723,146969,1917,32,905847
Finland,141552,46000,1062,25,7082121
Montenegro,131499,122727,1923,0,734417
Zimbabwe,130820,123016,4623,12,1402986
Namibia,127589,122966,3511,9,703334
Ghana,127482,123238,1156,42,1731175
Uganda,123572,96097,3156,268,1684232
Cyprus,118421,90755,553,35,9420908
Cambodia,112651,102827,2319,0,2427987
Australia,105123,82406,1291,299,37832547
El Salvador,104348,86851,3234,127,1285112
Rwanda,97517,45475,1273,12,2818560
Singapore,96521,78174,95,34,19108195
Cameroon,92303,80433,1459,152,1751774
Maldives,84809,82974,231,23,1490477
Jamaica,83737,52817,1869,37,600465
Luxembourg,78219,76231,835,8,3521182
Senegal,73775,71792,1858,6,799615
Malawi,61580,55337,2282,67,409387
Cote d'Ivoire,60253,57995,624,0,972843
Congo,56937,30858,1084,0,306299
Angola,56583,47564,1537,37,930290
Reunion,53682,52663,366,33,1279618
Guadeloupe,53585,2250,708,23,457511
Fiji,51023,37080,624,10,412018
Trinidad and Tobago,50709,44996,1482,22,352709
Eswatini,45924,44086,1220,10,347475
Madagascar,42898,41322,958,3,249510
Suriname,41631,26928,884,18,130848
Martinique,41129,104,608,1,359082
French Guiana,41113,9995,267,32,398711
French Polynesia,40178,33500,621,21,26355
Sudan,38263,32075,2902,0,238579
Cabo Verde,37576,36676,339,23,209870
Malta,37149,35968,457,2,1211456
Mauritania,36030,34633,775,22,471374
Syria,34205,23812,2247,0,103566
Guyana,31827,27030,786,31,317348
Guinea,30411,28839,379,24,555954
Gabon,30155,26835,186,26,1202513
Tanzania,25846,0,719,7,0
Togo,25429,23061,229,0,514039
Benin,23890,21993,159,5,604310
Laos,23846,5568,18,0,495213
Haiti,21916,19573,611,0,120282
Seychelles,21347,20903,115,0,21504
Lesotho,21262,11443,632,0,146630
Bahamas,20984,18489,531,15,145626
Belize,20801,18147,414,10,263418
Mayotte,20274,2964,178,0,176919
Papua New Guinea,20221,18449,229,7,188267
Somalia,19980,9523,1111,0,224382
Timor-Leste,19498,18618,117,0,169501
Burundi,17728,773,38,0,345742
Tajikistan,17084,16960,124,0,0
Curaçao,16500,15952,163,4,278166
Taiwan,16223,15227,842,0,6339853
Mauritius,15695,1854,84,0,358675
Aruba,15500,15094,166,7,177885
Andorra,15222,15004,130,4,193595
Mali,15219,14307,548,0,419671
Nicaragua,14448,4225,204,0,0
Congo,14244,12421,193,0,188207
Burkina Faso,14243,13880,184,0,217762
Djibouti,12811,12149,167,0,221575
Equatorial Guinea,12362,11008,147,1,195087
Hong Kong,12218,11905,213,0,25235157
South Sudan,12010,11617,130,4,226848
Iceland,11801,11426,33,3,1058853
Channel Islands,11636,11211,97,0,911340
Saint Lucia,11459,9775,201,15,80330
CAR,11371,6859,100,2,60228
Gambia,9934,9588,338,3,102510
Yemen,9067,5634,1721,23,265253
Barbados,8381,7312,74,0,317746
Isle of Man,7582,7177,51,1,83753
New Caledonia,7428,57,119,55,42756
Brunei,7116,4875,42,0,355811
Eritrea,6722,6635,42,0,23693
Sierra Leone,6394,4390,121,0,160729
Guinea-Bissau,6107,5312,135,4,97982
Niger,6008,5754,201,0,155791
Liberia,5799,5458,286,2,128246
Gibraltar,5549,5377,97,2,361496
San Marino,5428,5310,91,2,79097
Bermuda,5244,3719,72,1,541307
Grenada,5140,3417,139,0,69590
Chad,5038,4856,174,0,146589
Sint Maarten,4283,4037,66,10,41509
New Zealand,4273,3974,27,5,3378464
Comoros,4141,3963,147,0,0
Saint Martin,3748,1399,55,7,54303
St. Vincent Grenadines,3508,2436,21,2,76820
Dominica,3481,2937,20,0,73067
Sao Tome and Principe,3459,2765,50,0,14689
Liechtenstein,3447,3366,60,2,49126
Monaco,3314,3254,33,2,54960
Antigua and Barbuda,3231,2206,79,9,17409
Turks and Caicos,2844,2759,23,1,94789
British Virgin Islands,2642,2555,37,7,79575
Bhutan,2601,2594,3,0,1150014
Caribbean Netherlands,2096,1918,19,0,23069
Saint Kitts and Nevis,1918,990,13,1,41035
St. Barth,1578,462,4,0,38369
Faeroe Islands,1178,1072,2,0,431000
Cayman Islands,840,770,2,0,136206
Diamond Princess,712,699,13,0,0
Greenland,576,449,0,2,75813
Wallis and Futuna,445,438,7,0,20508
Anguilla,409,374,1,0,42919
Macao,71,63,0,0,4867
Falkland Islands,67,63,0,0,7531
Montserrat,34,31,1,0,1408
Saint Pierre Miquelon,31,31,0,0,8671
Vatican City,27,27,0,0,0
Solomon Islands,20,20,0,0,4500
Western Sahara,10,8,1,0,0
MS Zaandam,9,7,2,0,0
Palau,5,5,0,0,9964
Vanuatu,4,3,1,0,23000
Marshall Islands,4,4,0,0,0
Samoa,3,3,0,0,0
Saint Helena,2,2,0,0,0
Micronesia,1,1,0,0,0
Total:,75853364,72283446,1122524,32378,0
Total:,53260244,41319497,1080926,27787,0
Total:,37813666,35816425,1155288,13157,0
Total:,59011855,54086120,1223896,11922,0
Total:,8391451,7661242,211853,3088,0
Total:,228728,175940,2919,397,0
Total:,721,706,15,0,0
Total:,234560029,211343376,4797421,88729,0
