country,cases,recovered,deaths,critical,tests
World,30336341,22026020,950185,61362,0
China,85223,80448,4634,2,160000000
USA,6874596,4155039,202213,14227,95235022
India,5212686,4109828,84404,8944,60565728
Brazil,4457443,3753082,135031,8318,14617980
Russia,1085281,895868,19061,2300,41748928
Peru,744400,587717,31051,1452,3592221
Colombia,743945,615457,23665,863,3298415
Mexico,680931,485024,71978,2747,1545572
South Africa,655572,585303,15772,539,3983533
Spain,625651,0,30405,1331,10756835
Argentina,601713,456347,12460,3108,1653616
Chile,441150,413928,12142,895,2942651
France,415481,90840,31095,800,10000000
Iran,413149,353848,23808,3848,3667551
UK,381614,0,41705,124,20521243
Bangladesh,344264,250412,4859,0,1783779
Saudi Arabia,328144,307207,4399,1180,5917184
Iraq,307385,241100,8332,586,1998295
Pakistan,303634,291169,6399,593,3056795
Turkey,298039,263745,7315,1372,8965165
Italy,293025,215954,35658,212,10146324
Philippines,276289,208096,4785,1048,3234856
Germany,269042,241300,9457,237,14557136
Indonesia,232628,166686,9222,0,2796924
Israel,175256,126329,1169,573,2931763
Ukraine,166244,73913,3400,177,1925482
Canada,140867,123109,9200,76,6422063
Bolivia,128872,87031,7478,71,280523
Qatar,122693,119613,208,58,709132
Ecuador,122257,97063,11029,375,370864
Romania,108690,43244,4312,460,2160669
Kazakhstan,107056,101455,1671,221,2733455
Dominican Republic,106136,79363,2022,210,422070
Panama,104138,77881,2213,152,417620
Egypt,101641,87158,5715,41,135000
Kuwait,97824,87911,575,94,695556
Belgium,95948,18810,9935,74,2711919
Morocco,94504,74930,1714,261,2295811
Oman,91753,84648,818,180,309212
Netherlands,88073,0,6266,66,2042887
Sweden,87885,0,5864,15,1393161
Guatemala,83664,73260,3036,5,283578
UAE,82568,72117,402,0,8464974
Japan,77009,69253,1473,167,1786342
Poland,76571,62725,2253,84,3060844
Belarus,74987,72967,771,0,1686218
Honduras,69660,19983,2102,26,161483
Ethiopia,66913,27085,1060,300,1176252
Portugal,66396,44794,1888,59,2345680
Venezuela,64284,52564,520,146,1864663
Bahrain,63189,56087,217,40,1301170
Costa Rica,60818,22662,666,245,190570
Nepal,59573,42949,383,0,882915
Singapore,57532,57039,27,0,2498073
Nigeria,56735,48092,1093,7,482321
Uzbekistan,49627,45970,413,243,1377915
Algeria,49194,34675,1654,31,0
Switzerland,48795,39900,2042,27,1237621
Armenia,46671,42231,925,0,252158
Ghana,45714,44896,294,5,457092
Kyrgyzstan,45153,41317,1063,24,267718
Moldova,44983,33239,1170,549,246764
Czech Republic,44155,23377,489,91,1123221
Afghanistan,38872,32505,1436,93,107858
Azerbaijan,38777,36289,571,0,1035286
Kenya,36576,23611,642,44,504988
Austria,35853,28044,758,55,1395111
Palestine,33843,23060,244,0,359873
Serbia,32695,31512,738,21,1056256
Ireland,32023,23364,1789,14,1001647
Paraguay,31113,16313,584,137,241837
El Salvador,27249,20392,801,94,357309
Australia,26813,23792,832,16,7173728
Lebanon,26768,10217,263,128,689210
Libya,25822,13908,409,0,173161
Bosnia and Herzegovina,24605,17219,747,0,215696
South Korea,22657,19543,372,160,2191892
Denmark,21393,16918,635,3,3191967
Cameroon,20303,18837,415,30,149000
Cote d'Ivoire,19158,18330,120,0,147565
Bulgaria,18544,13391,749,37,482823
North Macedonia,16274,13635,675,3,171155
Madagascar,15925,14547,216,25,66036
Hungary,15170,4227,663,21,580072
Senegal,14618,10923,300,31,162811
Greece,14400,3804,325,69,1170292
Croatia,14279,11933,238,24,242886
Zambia,13928,13029,326,0,135021
Sudan,13535,6759,836,0,0
Norway,12644,10371,266,2,928024
Albania,11948,6788,347,18,72818
Congo,10442,9840,267,0,0
Guinea,10154,9612,63,24,29031
Namibia,10078,7685,108,16,84688
Malaysia,10052,9250,128,13,1417154
French Guiana,9623,9267,65,4,61471
Maldives,9494,8033,33,12,135958
Tajikistan,9214,7988,73,0,0
Finland,8799,7700,339,3,851605
Gabon,8678,7827,53,5,143996
Tunisia,8570,2342,133,47,179035
Haiti,8556,6315,220,0,25752
Zimbabwe,7633,5841,224,0,157144
Luxembourg,7541,6641,124,1,767693
Montenegro,7503,4892,129,0,60011
Mauritania,7346,6865,161,3,77298
Mozambique,6161,3393,39,0,119689
Slovakia,6021,3288,39,22,397513
Malawi,5711,4000,179,4,49341
Djibouti,5399,5333,61,0,73416
Uganda,5380,2489,60,0,441710
Eswatini,5191,4439,103,11,31766
Cabo Verde,5063,4465,49,0,76576
Equatorial Guinea,5002,4509,83,0,57119
Hong Kong,4994,4682,102,14,2783134
Nicaragua,4961,2913,147,0,0
Congo,4934,3887,88,0,0
Cuba,4933,4230,109,20,515969
CAR,4782,1830,62,2,31677
Suriname,4671,4160,95,7,12462
Rwanda,4653,2817,23,0,470218
Jamaica,4374,1225,51,8,70077
Jordan,4131,2415,26,13,1033934
Slovenia,4058,2897,136,11,192781
Myanmar,4043,944,60,0,191696
Angola,3789,1405,144,16,65951
Syria,3691,903,165,0,0
Mayotte,3541,2964,40,2,13000
Lithuania,3504,2149,87,0,711108
Thailand,3490,3325,58,1,749213
Gambia,3473,1951,107,0,14554
Trinidad and Tobago,3434,1469,60,6,28493
Guadeloupe,3426,837,26,28,38505
Somalia,3390,2812,98,0,0
Aruba,3382,1742,23,11,27347
Sri Lanka,3276,3043,13,0,262378
Bahamas,3177,1626,69,65,16386
Reunion,3099,1794,15,0,35419
Mali,2966,2311,128,0,46993
Georgia,2937,1422,19,0,517590
Estonia,2778,2337,64,1,180469
South Sudan,2599,1290,49,0,12044
Malta,2595,1978,16,2,223698
Botswana,2567,624,13,1,156054
Benin,2280,1950,40,0,169063
Guinea-Bissau,2275,1127,39,5,0
Iceland,2206,2112,10,0,242177
Sierra Leone,2133,1646,72,0,0
Guyana,2027,1302,60,16,11511
Yemen,2022,1221,585,0,0
