country,cases,recovered,deaths,critical,tests
World,29435171,21269459,932431,60702,0
China,85194,80415,4634,2,160000000
USA,6749289,4027826,199000,14104,93242920
India,4926914,3856246,80808,8944,57239428
Brazil,4349544,3613184,132117,8318,14505652
Russia,1068320,878700,18635,2300,40903551
Peru,733860,573364,30812,1460,3552710
Colombia,721892,606925,23123,863,3194202
Mexico,668381,471623,70821,2672,1516588
South Africa,650749,579289,15499,539,3928614
Spain,593730,0,29848,1157,10756835
Argentina,565446,428953,11667,2992,1563241
Chile,436433,407725,12013,906,2860706
Iran,404648,348013,23313,3798,3586848
France,387252,89507,30950,712,10000000
UK,371125,0,41637,79,19293329
Bangladesh,339332,243155,4759,0,1742696
Saudi Arabia,326258,303930,4305,1293,5766502
Pakistan,302020,289806,6383,551,2968613
Iraq,294478,229132,8086,539,1926390
Turkey,292878,260058,7119,1301,8632123
Italy,288761,213950,35624,197,9863427
Philippines,265888,207504,4630,1048,3116131
Germany,263221,237550,9436,237,13436301
Indonesia,221523,158405,8841,0,2672710
Israel,160368,118570,1136,524,2771732
Ukraine,156797,69543,3211,177,1856467
Canada,138010,121224,9179,53,6235465
Bolivia,126791,84286,7344,71,273983
Qatar,121975,118931,207,55,695427
Ecuador,118911,97063,10922,381,354883
Kazakhstan,106855,100627,1634,221,2571562
Romania,104187,43244,4185,456,2088975
Dominican Republic,104110,77790,1984,210,422070
Panama,102204,74782,2173,158,402072
Egypt,101177,84969,5661,41,135000
Kuwait,95472,85501,563,86,679670
Belgium,93455,18723,9925,71,2630292
Oman,90222,83928,790,171,309212
Morocco,88203,68970,1614,275,2251763
Sweden,86505,0,5846,17,1250488
Netherlands,83399,0,6256,59,1832451
Guatemala,82172,71352,2972,5,277555
UAE,80266,69981,399,0,8191501
Japan,75657,67242,1442,185,1718055
Poland,74529,61097,2203,87,2998021
Belarus,74360,72609,756,0,1661933
Honduras,67789,17873,2079,26,161483
Ethiopia,64786,25333,1022,344,1147268
Portugal,64596,44185,1871,61,2267663
Venezuela,61569,49371,494,154,1864663
Bahrain,60965,54204,213,30,1264235
Singapore,57454,56802,27,0,2281104
Costa Rica,57361,21206,621,243,181763
Nigeria,56388,44337,1083,7,442075
Nepal,55329,39576,360,0,851405
Algeria,48496,34204,1620,27,0
Uzbekistan,47836,44375,396,246,1377915
Switzerland,47436,39600,2025,26,1193180
Armenia,45969,41693,919,0,240943
Ghana,45601,44679,294,5,454912
Kyrgyzstan,44928,41023,1063,24,267718
Moldova,43207,30437,1129,549,210553
Afghanistan,38772,32073,1425,93,107167
