country,cases,recovered,deaths,critical,tests
World,33047067,24402255,998285,65360,0
China,85337,80536,4634,4,160000000
USA,7287561,4524108,209177,14096,103575523
India,5990581,4938688,94534,8944,70269975
Brazil,4718115,4050837,141441,8318,17900000
Russia,1143571,940150,20225,2300,44700000
Colombia,806038,700112,25296,2220,3605075
Peru,800142,657836,32142,1357,3827824
Spain,735198,0,31232,1465,11820505
Mexico,720858,518204,75844,2699,1650899
Argentina,702484,556489,15543,3633,1890190
South Africa,669498,601818,16376,539,4128438
France,527446,94891,31700,1098,10390812
Chile,455979,430259,12591,895,3189009
Iran,443086,372051,25394,4041,3905352
UK,429277,0,41971,262,23188836
Bangladesh,357873,268777,5129,0,1898775
Iraq,345969,276918,8935,547,2180316
Saudi Arabia,332790,316405,4655,1035,6314085
Turkey,312966,274514,7929,1615,9936581
Pakistan,309581,295333,6451,576,3384186
Italy,308104,223693,35818,247,10999350
Philippines,301256,232906,5284,1758,3591341
Germany,285025,249500,9532,304,15642654
Indonesia,271339,199403,10308,0,3169783
Israel,227100,157537,1441,728,3372020
Ukraine,195504,85133,3903,177,2156653
Canada,151671,130328,9262,97,7049458
Ecuador,133981,102852,11273,367,416298
Bolivia,133222,92868,7800,71,295230
Qatar,124850,121738,214,58,755365
Romania,121235,97554,4687,512,2352650
Morocco,115241,94150,2041,374,2529397
Belgium,110976,19184,9969,109,3070677
Dominican Republic,110957,85220,2093,214,462287
Panama,110108,86796,2323,116,464739
Netherlands,108631,0,6366,127,2240526
Kazakhstan,107659,102530,1699,221,2895805
Kuwait,103199,94211,597,108,733893
Egypt,102736,94374,5869,41,135000
Oman,95907,86765,885,185,376700
Sweden,90923,0,5880,15,1532632
UAE,90618,79676,411,0,9320777
Guatemala,89702,78284,3213,5,312229
Poland,85980,67326,2424,110,3201501
Japan,81055,74151,1540,156,1938827
Belarus,77289,74046,813,0,1809522
Honduras,73840,25728,2271,15,174027
Portugal,72939,47380,1944,85,2501955
Ethiopia,72700,30029,1165,273,1249551
Costa Rica,72049,27760,828,238,219823
Venezuela,71940,61528,600,202,1927870
Nepal,71821,53013,467,0,978204
Bahrain,68775,62252,239,61,1398454
Czech Republic,63294,30936,591,168,1309467
Nigeria,58198,49722,1106,7,502545
Singapore,57685,57359,27,0,2692047
Uzbekistan,54819,51322,452,283,1377915
Switzerland,51864,42600,2064,35,1326290
Algeria,50914,35756,1711,31,0
Moldova,50534,37440,1279,592,259394
Armenia,49072,43576,948,0,280366
Ghana,46222,45417,299,6,475657
Kyrgyzstan,46090,42302,1063,24,267718
Austria,42214,33154,787,80,1545634
Azerbaijan,39895,37523,585,0,1095543
Afghanistan,39192,32635,1453,93,109868
Palestine,38253,27704,285,0,405872
Paraguay,37922,21757,782,155,267062
Kenya,37871,24581,689,44,509504
Lebanon,35242,15434,340,152,793149
Ireland,34560,23364,1802,19,1133275
Serbia,33312,31536,746,22,1111957
Libya,31828,17832,499,0,198524
El Salvador,28415,22643,826,89,378273
Australia,27016,24571,870,12,7516817
Bosnia and Herzegovina,26797,19746,820,0,232973
Denmark,26213,19350,648,28,3663906
South Korea,23516,21166,399,122,2290345
Hungary,23077,5099,730,36,680335
Cameroon,20735,19440,418,30,149000
Bulgaria,19997,14160,789,36,515208
Cote d'Ivoire,19600,19122,120,0,159285
North Macedonia,17483,14516,722,3,184097
Greece,17228,9989,376,68,1269055
Madagascar,16257,14922,229,15,69612
Croatia,16007,14405,269,25,289024
Senegal,14869,12028,306,18,172744
Zambia,14612,13727,332,0,149728
Tunisia,14392,5032,191,74,217785
Norway,13627,11190,270,2,1011121
Sudan,13606,6764,836,0,0
Albania,13153,7397,375,18,80323
Namibia,10918,8749,120,15,94974
Malaysia,10769,9785,133,8,1451697
Congo,10593,10093,271,0,0
Guinea,10512,9836,65,24,32458
Montenegro,10197,6368,158,17,66713
Maldives,10045,8754,34,12,147681
Myanmar,9991,2681,198,0,245154
French Guiana,9863,9500,65,6,65214
Tajikistan,9605,8385,75,0,0
Finland,9577,7850,343,2,960156
Gabon,8728,7934,54,2,163264
Haiti,8723,6551,227,0,27444
Slovakia,8600,4098,44,24,440331
Luxembourg,8311,6976,124,1,812220
Jordan,8061,4131,43,13,1155513
Zimbabwe,7803,6067,227,0,159036
Mozambique,7757,4769,54,0,132979
Mauritania,7462,7070,161,3,79334
Uganda,7364,3647,71,0,469003
Jamaica,5854,1624,88,6,76046
Malawi,5766,4185,179,4,52324
Cabo Verde,5701,5018,56,0,76576
Eswatini,5419,4802,108,11,31969
Cuba,5412,4732,120,5,584894
Djibouti,5409,5340,61,0,75899
Slovenia,5191,3457,146,30,216899
Nicaragua,5073,2913,149,0,0
Hong Kong,5060,4777,105,11,3311279
Equatorial Guinea,5028,4740,83,4,58976
Congo,5005,3887,89,0,0
Georgia,4960,1819,28,0,571486
Suriname,4831,4620,102,6,13628
Rwanda,4811,3091,29,0,486735
CAR,4806,1840,62,2,32059
Angola,4672,1639,171,8,85213
Guadeloupe,4487,2199,42,24,47049
Trinidad and Tobago,4312,2185,70,13,30600
