
sucountry,cases,recovered,deaths,critical,tests
World,232252046,208861556,4756629,94883,0
China,95986,90330,4636,12,160000000
USA,43725604,33162044,706058,22377,631838920
India,33651221,32894762,446948,8944,561661383
Brazil,21343304,20333908,594246,8318,57282520
UK,7631233,6159135,136105,916,297235180
Russia,7398415,6590933,203095,2300,189300000
Turkey,7013639,6472400,62938,633,84545253
France,6989613,6720032,116449,1609,139307228
Iran,5519728,4920978,119082,6411,31545337
Argentina,5249840,5109853,114849,1248,24252818
Colombia,4950253,4790128,126102,542,25330491
Spain,4946601,4708167,86229,837,63732506
Italy,4657215,4423988,130653,481,91122631
Indonesia,4206253,4020801,141381,0,37880343
Germany,4200990,3952000,93966,1435,70379237
Mexico,3619115,2971000,274703,4798,10516234
Poland,2902591,2660776,75571,147,20675000
South Africa,2895976,2758274,87001,546,17528759
Philippines,2470235,2267720,37405,3170,20795557
Ukraine,2387750,2243209,55557,177,12673213
Malaysia,2185131,1968538,25159,1070,29565187
Peru,2172261,0,199228,1043,17728752
Netherlands,1994901,1910871,18149,181,17043097
Iraq,1991628,1892413,22072,503,15116604
Japan,1689899,1627755,17421,1185,24412989
Czech Republic,1688953,1652454,30452,27,37860455
Chile,1650985,1606490,37432,394,21530105
Canada,1600901,1527573,27640,638,42704817
Bangladesh,1550371,1510167,27393,1641,9596929
Thailand,1549285,1408602,16143,4387,9201621
Israel,1262945,1192303,7649,694,20773083
Pakistan,1236888,1157322,27524,4267,19147075
Belgium,1233723,1144670,25554,216,19774019
Romania,1187773,1096136,36230,1195,12571618
Sweden,1149407,1107356,14781,42,12423746
Portugal,1066346,1016913,17952,83,18248783
Morocco,928571,897252,14132,613,9628024
Serbia,905677,775860,8008,212,5539038
Kazakhstan,874920,808300,10999,221,11575012
Cuba,847494,804954,7163,369,9324290
Switzerland,833383,754192,11053,209,10616632
Hungary,820078,781794,30151,54,6858523
Jordan,818796,795832,10669,484,9932178
Nepal,790662,759875,11087,0,4153833
Vietnam,746678,516449,18400,0,42517091
UAE,734596,726806,2089,0,82441188
Austria,734302,702343,10961,227,85386960
Tunisia,704914,672760,24732,332,2901357
Greece,644869,602797,14655,333,19168818
Lebanon,621735,588577,8277,200,4780275
Georgia,605360,573542,8787,0,8807657
Guatemala,548604,502366,13331,5,2493973
Saudi Arabia,546882,535892,8694,255,28672153
Belarus,528229,511666,4081,0,8362409
Costa Rica,521182,420204,6189,459,2295558
Sri Lanka,512531,453689,12609,0,4950195
Ecuador,507858,443880,32720,759,1821662
Bolivia,498595,456236,18696,220,2381530
Bulgaria,492365,429507,20449,418,4714649
Azerbaijan,479814,449047,6433,0,4814503
Panama,465993,455119,7201,61,3849622
Paraguay,459804,442632,16142,23,1829430
Myanmar,456620,410033,17465,0,4224798
Kuwait,411447,408338,2445,13,4159015
Slovakia,407799,385684,12596,101,3553956
Croatia,399054,381897,8580,94,2781837
Palestine,395677,363176,4018,72,2430466
Uruguay,388424,380931,6052,14,3548420
Ireland,383218,335824,5209,65,7300760
Honduras,363017,108939,9679,451,1030003
Venezuela,362040,345477,4395,681,3359014
Dominican Republic,356934,348057,4035,174,2043150
Denmark,356684,349396,2640,18,83348150
Ethiopia,340845,307856,5369,793,3436178
Libya,335991,253524,4588,0,1646849
Lithuania,324329,298885,4896,196,4868311
Oman,303551,295168,4093,23,25000000
Egypt,300945,254060,17149,90,3693367
South Korea,298402,266414,2441,339,14285340
Mongolia,292591,284712,1189,192,3855199
Slovenia,289225,271088,4531,75,1558294
Moldova,288377,272677,6679,169,1744794
Bahrain,274745,272626,1389,3,6365943
Armenia,257620,239113,5239,0,1682804
Kenya,248392,239730,5096,92,2533467
Qatar,236231,234134,604,18,2637276
Bosnia and Herzegovina,230801,192218,10422,0,1210173
Zambia,208829,204670,3645,47,2429418
Nigeria,204201,192421,2673,11,2997060
Algeria,202574,138737,5767,13,230861
North Macedonia,189551,170734,6577,0,1274003
Norway,186554,88952,850,19,7798210
Kyrgyzstan,178202,172764,2599,131,1716173
Botswana,176427,172051,2360,1,1735938
Uzbekistan,171588,166013,1218,23,1377915
Albania,167354,152780,2629,3,1181910
Afghanistan,155132,123639,7198,1124,759059
Latvia,154219,143294,2682,45,4282673
Estonia,153071,142275,1343,19,1892313
Mozambique,150494,146492,1909,32,899393
Finland,138578,46000,1062,21,7037461
Zimbabwe,129505,122128,4603,12,1376967
Montenegro,129285,119590,1892,11,718305
Namibia,127227,122690,3492,16,695621
Ghana,126621,121878,1146,42,1731175
Uganda,123066,95995,3143,349,1667531
Cyprus,117967,90755,552,39,9420908
Cambodia,108257,100182,2218,0,2389633
El Salvador,102024,84981,3174,127,1268090
Rwanda,96727,45459,1248,11,2752985
Australia,95807,74781,1220,301,36858517
Singapore,85953,74135,76,23,19108195
Cameroon,85414,80433,1368,152,1751774
Maldives,84290,82432,231,23,1468753
Jamaica,82349,51871,1824,31,593739
Luxembourg,77762,75765,835,8,3508918
Senegal,73728,71387,1855,9,791967
Malawi,61497,54474,2275,67,405812
Cote d'Ivoire,59778,57282,593,0,972843
Congo,56617,30858,1083,0,306299
Angola,54795,47194,1487,8,924815
Reunion,53241,52010,363,33,1279618
Guadeloupe,53140,2250,690,23,444795
Fiji,50701,36608,590,39,406462
Trinidad and Tobago,49822,44066,1451,22,343953
Eswatini,45742,43804,1212,10,342519
Madagascar,42898,41322,958,3,249510
Martinique,40545,104,582,1,359082
French Polynesia,40178,33500,611,30,26355
Suriname,39908,26864,845,19,127443
French Guiana,39790,9995,256,34,390869
Sudan,38201,32038,2894,0,238579
Cabo Verde,37400,36376,334,23,209870
Malta,37077,35781,457,4,1211456
Mauritania,35819,34210,768,22,467443
Syria,32580,23458,2198,0,103566
Guyana,30907,26246,754,33,310231
Guinea,30348,28703,377,24,552022
Gabon,29126,26541,178,23,1180246
Togo,25163,22027,222,0,507879
Benin,22958,17294,154,5,604310
Haiti,21540,19348,610,0,115741
Laos,21527,5568,16,0,476985
Seychelles,21257,20657,115,0,21504
Bahamas,20603,18265,522,15,143769
Mayotte,20219,2964,178,0,176919
Somalia,19723,9414,1103,0,222137
Belize,19600,17247,402,10,253798
Timor-Leste,19350,18192,113,0,169501
Papua New Guinea,19278,18254,225,7,186465
Tajikistan,17084,16960,124,0,0
Burundi,16356,773,38,0,345742
Curaçao,16339,15713,160,4,272684
Taiwan,16181,15178,841,0,5919972
Aruba,15405,14970,165,7,177885
Andorra,15167,14966,130,4,193595
Mauritius,15161,1854,71,0,358675
Mali,15153,14260,547,0,415160
Lesotho,14395,6830,403,0,146630
Burkina Faso,14131,13800,180,0,217086
Congo,14113,12421,191,0,188207
Nicaragua,13730,4225,203,0,0
Djibouti,12253,11838,162,0,217089
Hong Kong,12186,11891,213,0,25235157
South Sudan,11926,11375,128,4,226848
Equatorial Guinea,11806,10225,142,1,195087
Iceland,11632,11251,33,3,1044502
Channel Islands,11466,11033,97,0,911340
CAR,11371,6859,100,2,60228
Saint Lucia,11053,8658,183,13,78448
Gambia,9911,9548,335,3,102031
Yemen,8891,5500,1682,23,265253
Barbados,7401,6363,64,0,306755
Isle of Man,7364,6790,51,1,83753
Eritrea,6694,6628,42,0,23693
Sierra Leone,6393,4380,121,0,160729
Brunei,6286,4188,37,0,330478
Guinea-Bissau,6099,5283,135,4,97355
Niger,5974,5723,201,0,154030
New Caledonia,5959,58,72,56,42756
Liberia,5782,5458,283,2,128246
Gibraltar,5510,5346,97,2,357343
San Marino,5419,5269,90,2,78220
Chad,5031,4850,174,0,145170
