country,cases,recovered,deaths,critical,tests
World,178588344,163107291,3867125,82055,0
China,91534,86397,4636,18,160000000
USA,34393930,28675929,616913,3992,498230075
India,29822764,28670879,385501,8944,387167696
Brazil,17802176,16136968,498621,8318,52714701
France,5752872,5546926,110702,1740,90215804
Turkey,5359728,5224224,49071,856,58123990
Russia,5281309,4850659,128445,2300,144400000
UK,4610647,4297757,127956,210,200024844
Italy,4250898,4031605,127225,416,69515711
Argentina,4242763,3844329,88247,7467,15714020
Colombia,3888614,3616680,98746,8155,18671429
Spain,3757442,3544205,80652,793,51240666
Germany,3728583,3598100,90912,1210,63091197
Iran,3080526,2722612,82746,3316,22194745
Poland,2878466,2649879,74782,245,16872894
Mexico,2467643,1964300,230792,4798,7289606
Ukraine,2228192,2147972,51952,177,10603856
Peru,2023179,0,189933,2529,13673551
Indonesia,1963266,1779127,54043,0,18459028
South Africa,1796589,1632182,58441,546,12383955
Netherlands,1677596,1593147,17723,218,14444249
Czech Republic,1665815,1632814,30278,14,27635546
Chile,1505001,1431515,31259,3286,16284160
Canada,1407269,1368449,26023,567,36052705
Philippines,1346261,1260836,23385,2029,14339573
Iraq,1279697,1192285,16834,496,11199518
Sweden,1084636,1040578,14537,79,10423085
Romania,1080140,1044919,32302,181,9524657
Belgium,1078251,1007785,25117,247,14687400
Pakistan,946227,888505,21913,2413,14026336
Portugal,862926,818440,17061,94,12598069
Bangladesh,844970,778421,13399,1176,6288539
Israel,839769,833061,6428,25,14758111
Hungary,807428,734627,29950,43,6033519
Japan,780868,742848,14320,775,15698345
Jordan,745667,729368,9647,540,7642608
Serbia,715604,705239,6990,19,4321518
Switzerland,701627,674103,10869,65,8084820
Malaysia,685204,615326,4276,894,13687898
Austria,649309,635544,10677,86,50183597
Nepal,617947,549682,8641,0,3255579
UAE,608070,587160,1747,0,54512557
Lebanon,543267,529228,7815,77,4599186
Morocco,525924,512937,9233,101,6690836
Saudi Arabia,471959,453259,7650,1496,20799293
Ecuador,444395,407512,21234,469,1490507
Bulgaria,420964,392772,17987,208,3054028
Greece,417706,396880,12508,307,10248295
Bolivia,417195,332662,15924,200,1691398
Belarus,409385,402202,3025,0,6610898
Kazakhstan,406383,382461,4211,221,11575012
Paraguay,403392,338556,11411,563,1449915
Panama,392166,375487,6465,105,2857433
Slovakia,391248,377759,12478,36,2911736
Tunisia,378982,330331,13874,424,1597918
Croatia,359031,350163,8168,25,2101829
Georgia,357591,343377,5131,0,5494616
Uruguay,351378,317016,5207,405,2635307
Costa Rica,350630,272128,4473,472,1387706
Kuwait,335874,317031,1851,202,2815117
Azerbaijan,335399,329339,4961,0,3661027
Dominican Republic,314031,256874,3742,491,1649762
Palestine,312499,305658,3548,9,1872088
Denmark,291220,282878,2528,20,64564997
Guatemala,278409,251837,8595,5,1526338
Lithuania,278253,265023,4360,68,3656860
Egypt,276190,204701,15791,90,2869589
Ethiopia,274899,253634,4276,228,2813953
Ireland,268367,251952,4941,15,4729538
Bahrain,261988,251785,1286,210,4885243
Venezuela,258140,238241,2925,287,3359014
Slovenia,256872,250566,4411,35,1328538
Moldova,256054,249066,6165,52,1204211
Honduras,251149,91189,6719,578,764282
Oman,242723,213880,2626,382,1550000
Sri Lanka,235413,197259,2480,0,3743577
Armenia,224086,215893,4492,0,1142332
Qatar,220509,217901,582,76,2105547
Thailand,210782,176410,1577,1169,8129670
Bosnia and Herzegovina,204814,179858,9630,0,1022709
Libya,190426,175923,3173,0,1084910
Kenya,178078,122346,3437,113,1895028
Nigeria,167155,163540,2117,11,2231409
Cuba,164896,155960,1132,150,4734063
North Macedonia,155612,149722,5474,25,848334
South Korea,150238,141816,1996,149,10294048
Myanmar,147069,133452,3251,0,2666427
Latvia,136652,132019,2485,41,2828857
Algeria,135219,94093,3615,23,230861
Albania,132484,129903,2454,18,772270
Estonia,130751,126486,1267,5,1491764
Norway,129095,88952,790,7,6043353
Zambia,125157,103884,1554,864,1751491
Kyrgyzstan,113430,104302,1920,102,1221123
Uzbekistan,105219,101018,717,23,1377915
Afghanistan,100521,63426,4030,1124,552538
Montenegro,100036,98104,1605,6,436670
Ghana,94913,92881,793,9,1230125
Finland,94154,46000,967,12,5282675
Mongolia,88516,61725,411,126,3120389
Cameroon,80328,78162,1313,152,1718937
El Salvador,76697,71062,2321,32,1032660
Cyprus,73520,71933,374,18,7396845
Mozambique,72123,70030,844,17,572668
Maldives,71498,65178,203,90,953950
Luxembourg,70516,69294,818,1,3016850
Namibia,70112,57716,1107,82,482360
Uganda,68779,49026,584,24,1239128
Botswana,63247,58541,940,1,1244999
Singapore,62382,61987,34,1,12809152
Jamaica,49564,28333,1028,9,415589
Cote d'Ivoire,48007,47366,307,0,654588
Senegal,42259,40757,1158,6,545258
Madagascar,42076,40394,895,69,210614
Cambodia,41581,35940,394,0,1277758
Zimbabwe,41335,37143,1656,3,611022
Angola,37467,31569,853,18,608453
Congo,36957,27911,866,0,182264
Sudan,36347,30062,2737,0,232965
Malawi,34781,32824,1166,22,256582
Cabo Verde,31910,30907,281,23,163434
Malta,30588,30136,420,0,961384
Australia,30313,29272,910,1,19588343
Trinidad and Tobago,30183,20892,713,22,215999
Rwanda,30048,26393,378,16,1535396
Reunion,28441,26333,220,32,102720
French Guiana,26450,9995,137,36,274198
Syria,25035,21717,1837,0,103566
Gabon,24832,24165,157,17,850090
Guinea,23450,22250,168,24,462528
Mauritania,20288,19330,480,16,290318
Suriname,19576,14967,443,35,73581
Mayotte,19378,2964,173,6,176919
French Polynesia,18963,18787,142,0,26355
Guyana,18837,16895,442,21,174695
Eswatini,18800,17997,677,10,220583
Haiti,17048,12612,369,0,82056
Papua New Guinea,16861,16229,173,7,129533
Guadeloupe,16752,2250,229,23,212247
Somalia,14841,7137,775,0,142311
Mali,14375,10018,524,0,310404
Seychelles,14123,12505,55,0,21504
Andorra,13842,13650,127,3,193595
Taiwan,13768,8042,518,0,1714353
Togo,13701,13338,127,0,350623
Burkina Faso,13462,13287,167,0,193073
Tajikistan,13308,13218,90,0,0
Belize,13004,12551,328,1,145629
Vietnam,12414,4733,62,0,6282417
Curaçao,12314,12151,125,4,125153
Congo,12298,11211,161,0,158304
Bahamas,12242,11208,240,4,102786
Martinique,12178,98,98,5,191164
Hong Kong,11885,11608,210,1,16710131
Djibouti,11586,11421,154,0,167710
Aruba,11103,10967,107,14,172746
Lesotho,11010,6445,327,0,104835
South Sudan,10770,10514,115,0,174045
Equatorial Guinea,8698,8489,120,1,149330
Timor-Leste,8602,7397,19,0,92122
Benin,8140,7979,103,5,604310
Nicaragua,7696,4225,188,0,0
CAR,7101,6859,98,2,54814
Yemen,6875,3846,1352,23,92052
Iceland,6627,6576,30,1,726869
Gambia,6024,5827,181,3,81795
Niger,5459,5178,193,2,113889
Eritrea,5285,4743,19,0,23693
Saint Lucia,5206,5053,80,0,51456
Burundi,5121,773,8,0,309390
San Marino,5090,4999,90,0,67456
Chad,4945,4768,174,0,123671
Sierra Leone,4631,3212,82,0,153646
Gibraltar,4318,4206,94,0,269030
Channel Islands,4126,3994,86,0,563229
Barbados,4040,3980,47,0,178904
Comoros,3905,3745,146,0,0
Guinea-Bissau,3824,3556,69,4,71302
Liechtenstein,3026,2955,59,3,49126
Liberia,2834,2105,95,2,114035
New Zealand,2714,2665,26,0,2216363
Sint Maarten,2564,2465,32,2,28642
Monaco,2547,2473,33,1,51953
Bermuda,2504,2461,33,7,300645
Turks and Caicos,2423,2389,18,2,94789
Sao Tome and Principe,2360,2313,37,0,14270
St. Vincent Grenadines,2183,1934,12,2,52800
Saint Martin,2133,1399,12,7,27588
Laos,2047,1931,3,0,280011
Bhutan,1889,1544,1,0,798573
Mauritius,1701,1265,18,0,358675
Fiji,1648,452,6,2,164054
Caribbean Netherlands,1629,1599,17,0,8550
Isle of Man,1599,1566,29,1,66925
Antigua and Barbuda,1263,1221,42,0,16700
St. Barth,1005,462,1,0,26385
Faeroe Islands,760,744,1,0,296144
