country,cases,recovered,deaths,critical,tests
World,25378403,17701271,850163,61372,0
China,85031,80153,4634,5,90410000
USA,6173236,3425723,187224,15996,81830079
Brazil,3862311,3031559,120896,8318,14352484
India,3619169,2772928,64617,8944,41461636
Russia,990326,806982,17093,2300,36426850
Peru,647166,455457,28788,1514,3191850
South Africa,625056,538604,14028,539,3674872
Colombia,607938,450621,19364,1493,2715591
Mexico,591712,409127,63819,3334,1334331
Spain,455621,0,29011,751,8517446
Chile,409974,382584,11244,960,2400522
Argentina,408426,294007,8457,2232,1242269
Iran,373570,321421,21462,3759,3184857
UK,334467,0,41499,60,16273209
Saudi Arabia,314821,289667,3870,1545,5026127
Bangladesh,310822,201907,4248,0,1537749
Pakistan,295636,280547,6288,601,2603129
France,277943,86177,30606,402,6323472
Turkey,268546,243839,6326,945,7028390
Italy,268218,208536,35477,86,8591341
Germany,243295,217842,9364,245,11208091
Iraq,231177,172880,6959,542,1587326
Philippines,217396,157403,3520,837,2558157
Indonesia,172053,124185,7343,0,2224337
Canada,127940,113664,9117,50,5440447
Ukraine,119074,56734,2527,177,1536171
Qatar,118575,115430,197,66,624609
Bolivia,115354,56749,4938,71,239073
Israel,114020,92796,919,444,2279487
Ecuador,113648,101620,6555,377,328491
Kazakhstan,105684,96135,1523,221,2434444
Egypt,98727,72120,5399,41,135000
Dominican Republic,94241,66776,1681,220,367146
Panama,92065,65747,1995,157,334297
Romania,86785,37665,3578,492,1795633
Oman,85544,80459,677,156,309212
Kuwait,84636,76650,530,89,614129
Belgium,84599,18403,9891,72,2261043
Sweden,83958,0,5821,21,1094856
Guatemala,73912,61681,2740,5,241959
Belarus,71687,70452,676,0,1527049
Netherlands,70140,0,6224,43,1455274
UAE,69690,60600,382,0,7011895
Japan,67264,56164,1264,234,1455610
Poland,66870,46192,2033,85,2701553
Morocco,61399,46355,1111,31,1890964
Honduras,59645,10156,1842,44,142638
Portugal,57768,41885,1819,41,1976482
Singapore,56771,55586,27,0,1832813
Nigeria,53865,41513,1013,7,402070
Bahrain,51574,48654,189,34,1100729
Ethiopia,51122,18382,793,344,890929
Venezuela,45868,37091,381,99,1754575
Ghana,44205,42777,276,6,442185
Algeria,44146,30978,1501,29,0
Kyrgyzstan,43820,38198,1058,24,267718
Armenia,43750,37650,877,0,205450
Switzerland,42014,35800,2005,18,1010948
Uzbekistan,41424,38655,313,133,1377915
Costa Rica,39699,15737,418,133,146047
Nepal,38561,20822,221,0,682343
Afghanistan,38162,29089,1402,31,102598
Moldova,36700,25139,992,575,207925
Azerbaijan,36309,33703,531,0,917027
Kenya,34057,19688,574,44,450146
Serbia,31365,29931,711,48,925208
Ireland,28760,23364,1777,5,824712
Austria,27166,23070,733,30,1172092
Australia,25670,21116,611,31,6167592
El Salvador,25635,14013,713,275,312849
Czech Republic,24367,17547,423,33,896813
Palestine,22204,14787,152,0,263288
Bosnia and Herzegovina,19793,12961,598,0,185125
South Korea,19699,14903,323,70,1924170
Cameroon,19142,17651,411,30,149000
Cote d'Ivoire,17948,16553,115,0,126552
Paraguay,17105,9146,308,85,190169
Denmark,16891,15116,624,4,2433762
Lebanon,16870,4693,160,93,520110
Bulgaria,16190,11313,613,63,404683
Madagascar,14843,13802,191,53,57736
North Macedonia,14330,11062,600,3,147819
Senegal,13556,9388,284,36,145128
Libya,13423,1410,232,0,111448
Sudan,13189,6612,823,0,401
Zambia,12025,11454,287,0,114401
Norway,10643,9348,264,1,686202
Greece,10134,3804,262,35,940882
Croatia,10123,7212,184,13,166638
Congo,10045,9103,258,0,0
Albania,9380,5139,280,19,57618
Guinea,9371,8387,59,24,23588
Malaysia,9334,9048,126,7,1243540
French Guiana,9076,8620,58,13,52668
Tajikistan,8516,7309,68,0,0
Gabon,8505,7187,53,2,116252
Haiti,8209,5828,201,0,23322
Finland,8077,7200,335,1,637159
Maldives,7667,5036,28,12,111738
Namibia,7365,2929,72,16,60065
Mauritania,7016,6430,159,3,69937
Luxembourg,6673,0,124,2,640388
Zimbabwe,6412,5061,196,0,149748
Hungary,5961,3759,614,7,424270
Malawi,5536,3147,174,4,44296
Djibouti,5385,5319,60,0,67083
Equatorial Guinea,4941,3884,83,1,51944
Hong Kong,4802,4320,88,23,780415
Montenegro,4790,3963,98,0,48405
CAR,4700,1784,61,2,31042
Eswatini,4561,3478,91,11,30007
Nicaragua,4494,2913,137,0,0
Rwanda,4020,1918,16,0,404944
Suriname,4009,3073,67,23,8546
Congo,3979,1742,78,0,0
Cuba,3973,3327,94,6,392785
Slovakia,3876,2278,33,11,334344
Cabo Verde,3852,2867,40,0,76576
Mozambique,3821,2100,23,0,94696
Tunisia,3685,1562,76,15,142194
Thailand,3411,3252,58,1,749213
Somalia,3310,2481,98,0,0
Mayotte,3301,2964,40,1,13000
Sri Lanka,3012,2860,12,0,219162
Gambia,2963,1032,96,0,13354
Uganda,2928,1288,30,0,367423
Lithuania,2874,1837,86,5,637509
Slovenia,2865,2283,133,2,158236
Mali,2773,2169,126,0,37666
Syria,2703,614,109,0,0
Angola,2624,1063,107,24,64747
South Sudan,2519,1290,47,0,12044
Estonia,2373,2088,64,0,147902
Guinea-Bissau,2205,1127,34,5,1500
Bahamas,2167,782,50,83,11093
Benin,2145,1738,40,0,118206
Jamaica,2113,890,20,4,57075
Iceland,2105,1990,10,0,213608
Sierra Leone,2022,1594,70,0,0
Aruba,1997,765,10,7,21114
Jordan,1966,1468,15,3,819171
Yemen,1953,1123,564,0,120
Malta,1862,1313,12,0,188553
New Zealand,1729,1570,22,10,750808
Trinidad and Tobago,1683,672,21,5,23429
Reunion,1634,880,6,2,35419
Botswana,1633,224,6,1,109547
Uruguay,1585,1378,44,3,172081
Cyprus,1487,935,20,5,286736
Georgia,1469,1221,19,0,355486
Togo,1396,996,27,0,64679
Latvia,1393,1163,34,1,250709
Burkina Faso,1357,1058,55,0,0
Liberia,1304,872,82,0,0
Guyana,1234,687,36,13,8295
Niger,1175,1085,69,0,9052
Guadeloupe,1145,336,16,9,29595
Andorra,1124,902,53,3,137457
Lesotho,1085,528,31,0,15632
Vietnam,1040,695,32,0,1009145
Chad,1012,878,77,0,0
Belize,993,117,13,8,8050
Sao Tome and Principe,896,851,15,0,3792
Myanmar,775,352,6,0,157843
Diamond Princess,712,651,13,4,0
San Marino,710,658,42,0,6678
Channel Islands,625,545,48,0,68985
Martinique,596,98,16,3,12227
Tanzania,509,183,21,7,0
Turks and Caicos,505,148,3,3,2425
Taiwan,488,462,7,0,87291
French Polynesia,482,202,0,3,14029
Sint Maarten,460,179,17,8,2281
Papua New Guinea,459,232,5,0,15592
Burundi,445,357,1,0,24659
Comoros,423,399,7,0,0
Faeroe Islands,411,362,0,2,93086
Mauritius,355,335,10,0,227409
Isle of Man,336,312,24,0,9840
Eritrea,318,284,0,0,0
Mongolia,301,295,0,1,53417
Gibraltar,285,228,0,0,34102
Cambodia,273,265,0,1,96451
Saint Martin,213,79,5,11,2756
Cayman Islands,205,202,1,0,35195
Bhutan,195,135,0,0,97956
Barbados,173,145,7,0,17057
Bermuda,169,153,9,0,43629
Brunei,144,139,3,0,51103
Seychelles,136,127,0,0,0
Monaco,131,89,1,1,51953
Liechtenstein,107,97,1,0,900
Antigua and Barbuda,94,91,3,1,1900
Curaçao,67,35,1,0,1080
St. Vincent Grenadines,60,57,0,0,3472
British Virgin Islands,47,8,1,0,2853
Macao,46,46,0,0,4071
Fiji,28,23,2,0,6693
Timor-Leste,27,25,0,0,5146
Saint Lucia,26,25,0,0,5471
Grenada,24,24,0,0,6252
